사투리,표준어
또 드라마가 다양해져서 넷플릭스에서도 볼 수 있기 때문에,또 드라마가 다양해져서 넷플릭스에서도 볼 수 있기 때문에
우리 이는 주로 어~ 드라마를 많이 보나요?,우리 이는 주로 어~ 드라마를 많이 보나요?
네 저는,네 저는
막 엄청 챙겨보는 편은 아니지만,막 엄청 챙겨보는 편은 아니지만
또 제가 좋아하는 드라마는 여러 번 보기도 하고 그다음에,또 제가 좋아하는 드라마는 여러 번 보기도 하고 그다음에
뭐~ 넷플릭스나 이런 걸로 뭐~ 미드나 영국 드라마 이런 다른 나라 드라마도 많이 보는 것 같애요.,뭐~ 넷플릭스나 이런 걸로 뭐~ 미드나 영국 드라마 이런 다른 나라 드라마도 많이 보는 것 같애요.
주로 드라마를 보면 어떤 장르를 많이 보나요?,주로 드라마를 보면 어떤 장르를 많이 보나요?
뭐~ 로맨스 드라마 이런 것도 많이 좋아하는 편이고,뭐~ 로맨스 드라마 이런 것도 많이 좋아하는 편이고
사실 겁이 많아서 잘은 못 보지만 뭐~ 비밀의 숲,사실 겁이 많아서 잘은 못 보지만 뭐~ 비밀의 숲
약간 그런 것처럼 약간 추리물 그런 것도 좋아하는 편이에요.,약간 그런 것처럼 약간 추리물 그런 것도 좋아하는 편이에요.
혹시 언니는 어떤 드라마를 제일 즐겨서 봐요?,혹시 언니는 어떤 드라마를 제일 즐겨서 봐요?
나도,나도
최근에 봤던 거는 슬기로운 의사 생활도 정말 재밌게 봤었고,최근에 봤던 거는 슬기로운 의사 생활도 정말 재밌게 봤었고
최근에는 또 나는,최근에는 또 나는
뭐~ 펜트하우스란 드라마라든가 아니면 구미호뎐 그런 것도 막 봤어.,뭐~ 펜트하우스란 드라마라든가 아니면 구미호뎐 그런 것도 막 봤어.
저도 슬기로운 의사 생활 진짜 재밌게 봤어요.,저도 슬기로운 의사 생활 진짜 재밌게 봤어요.
슬기로운 의사 생활 보면서 내가 이제,슬기로운 의사 생활 보면서 내가 이제
또 과가 간호학과이다 보니까 보면서 이제 공감되는 부분도 있고 진짜,또 과가 간호학과이다 보니까 보면서 이제 공감되는 부분도 있고 진짜
되게 현실적으로 잘 표현한 드라마라 생각이 들었,되게 현실적으로 잘 표현한 드라마라 생각이 들었
맞네요 언니는 또,맞네요 언니는 또
약간 과가 간호학과 쪽이니까 더 공감되는 부분도 있었겠네요.,약간 과가 간호학과 쪽이니까 더 공감되는 부분도 있었겠네요.
저는 그~ 드라마에 나오는,저는 그~ 드라마에 나오는
오에스티가 너무 좋아 가지고,오에스티가 너무 좋아 가지고
그~ 드라마에 되게 더 몰입해서 봤던 것 같애요.,그~ 드라마에 되게 더 몰입해서 봤던 것 같애요.
맞아 아로하도 좋았고 진짜 오에스티가 너무 좋고 드라마 배우들이 연기를 너무 잘했어.,맞아 아로하도 좋았고 진짜 오에스티가 너무 좋고 드라마 배우들이 연기를 너무 잘했어.
맞아요 그~ 실제 그~ 의사가 된 것처럼 다들 연기를 엄청 잘하더라고요.,맞아요 그~ 실제 그~ 의사가 된 것처럼 다들 연기를 엄청 잘하더라고요.
또 나는 도깨비도 진짜 재밌게 봤었단 말이야.,또 나는 도깨비도 진짜 재밌게 봤었단 말이야.
도깨비 저도 진짜 재밌게 봤어요.,도깨비 저도 진짜 재밌게 봤어요.
