사투리,표준어
솔직히 요즘에 그~ 이제 청년 실업난,솔직히 요즘에 그~ 이제 청년 실업난
할튼 그런 거 때문에 장래 희망도 많이 생각을 하게 될 텐데,할튼 그런 거 때문에 장래 희망도 많이 생각을 하게 될 텐데
저는 저 같은 경우는 고등학생까지 어떤 걸 해야 되냐 뚜렷하게 생각을 안 해놨었거든요.,저는 저 같은 경우는 고등학생까지 어떤 걸 해야 되냐 뚜렷하게 생각을 안 해놓았었거든요.
해가지고 인제 솔직히 고삼 고이 때까지도 크게 생각은 안 하고 있었어요 일단 공부만 하고 성적만 그냥 쪼끔 올려두고,해가지고 인제 솔직히 고삼 고이 때까지도 크게 생각은 안 하고 있었어요 일단 공부만 하고 성적만 그냥 쪼끔 올려두고
이제 내가 구체적으로 막 이런 걸 해야겠다 저런 걸 해야겠다 크게 생각은 안 해놨었는데,이제 내가 구체적으로 막 이런 걸 해야겠다 저런 걸 해야겠다 크게 생각은 안 해놓았었는데
고삼 때 이제 엄마도 그렇고 누나도 그렇고 일단 다 간호사 생활하고 있고,고삼 때 이제 엄마도 그렇고 누나도 그렇고 일단 다 간호사 생활하고 있고
그래가지고 이제 아빠도 그렇고 누나도 그렇고 엄마도 그렇고 할 거 없으면은 그냥 간호사 간호학과를 들어가지고,그래가지고 이제 아빠도 그렇고 누나도 그렇고 엄마도 그렇고 할 거 없으면은 그냥 간호사 간호학과를 들어가지고
그냥 그쪽이 그래도 국시 치고 나면은 또 여러 병원에서,그냥 그쪽이 그래도 국시 치고 나면은 또 여러 병원에서
그래도 인력난 그~ 간호사 부족하고 하니까 들어가서 하는 게 나으니까,그래도 인력난 그~ 간호사 부족하고 하니까 들어가서 하는 게 나으니까
그~ 할 거 없으면은 그냥 간호학과나 들어가라 해가지고,그~ 할 거 없으면은 그냥 간호학과나 들어가라 해가지고
저 같은 경우는 간호학과 들어가서 그냥 간호사로 이제 일을 하게 됐거든요.,저 같은 경우는 간호학과 들어가서 그냥 간호사로 이제 일을 하게 됐거든요.
그래갖고 그러면은 어~ 그쪽은 혹시 뭐~ 장래 희망이나 꿈 이런 게 어떻게 되세요?,그래갖고 그러면은 어~ 그쪽은 혹시 뭐~ 장래 희망이나 꿈 이런 게 어떻게 되세요?
어~ 제가 좀 어릴 때부터 자동차를 되게 좋아했거든요.,어~ 제가 좀 어릴 때부터 자동차를 되게 좋아했거든요.
그래서 아빠도 자동차를 많이 좋아해서 자주 바꾸시고 그러셔가지고,그래서 아빠도 자동차를 많이 좋아해서 자주 바꾸시고 그러셔가지고
아빠랑 같이 모터쇼도 많이 가고 그래서 자동차를 쫌 되게 빨리 사고 싶어 했어요 그리 그러니까,아빠랑 같이 모터쇼도 많이 가고 그래서 자동차를 조금 되게 빨리 사고 싶어 했어요 그리 그러니까
자연스럽게 꿈도 자동차 연구원 엔지니어 쪽으로 자리를 잡게 되었고요.,자연스럽게 꿈도 자동차 연구원 엔지니어 쪽으로 자리를 잡게 되었고요.
네 근데 자동차 에~ 그래서 입시 때 자동차 관련된 학과를 보니까,네 근데 자동차 에~ 그래서 입시 때 자동차 관련된 학과를 보니까
쫌 괜찮은 학과가 안 보이더라고요 대표적인 게 기계공학과인데,조금 괜찮은 학과가 안 보이더라고요 대표적인 게 기계공학과인데
제가 희망하는 학교에는 기계공학과는 성적이 쫌 높은 편에 속해 있어요.,제가 희망하는 학교에는 기계공학과는 성적이 조금 높은 편에 속해 있어요.
제가 내신 제 내신으로는 쫌 부족하다고 생각을 해가지고,제가 내신 제 내신으로는 조금 부족하다고 생각을 해가지고
꿈을 살짝 어떻게 보면 바꿨다 학과를 바꿨다 라고 보면 맞는데,꿈을 살짝 어떻게 보면 바꾸었다 학과를 바꾸었다 라고 보면 맞는데
그래서 조선해양공학과로 꿈을 틀었거든요 그쪽이 아무래도 입결이 요즘 조선업이 안 좋아졌으니까,그래서 조선해양공학과로 꿈을 틀었거든요 그쪽이 아무래도 입결이 요즘 조선업이 안 좋아졌으니까
입결이 쫌 기계보다는 쫌 처지기 때문에 그쪽으로 일단 진학을 해가지고,입결이 조금 기계보다는 조금 처지기 때문에 그쪽으로 일단 진학을 해가지고
어~ 학점을 잘 따든가 해서 전과를 일단 할 생각입니다 기계과로,어~ 학점을 잘 따든가 해서 전과를 일단 할 생각입니다 기계과로
어~ 그러면 아직 어~ 그러면 간호사를 하실 생각이신 거네요.,어~ 그러면 아직 어~ 그러면 간호사를 하실 생각이신 거네요.
지금도 계속 간호사 생활은 하고 있는데 확실히 근데,지금도 계속 간호사 생활은 하고 있는데 확실히 근데
이제 취직을 해서 제가 이제 어~ 보니까 동생인 거 같아가지고 그~ 동생보다는 쪼끔,이제 취직을 해서 제가 이제 어~ 보니까 동생인 거 같아가지고 그~ 동생보다는 쪼끔
많이 살지는 않았는데 확실히 일을 하다 보니깐 자기 적성 그런 게 있더라고요.,많이 살지는 않았는데 확실히 일을 하다 보니깐 자기 적성 그런 게 있더라고요.
해갖고 제가 어~ 딱 그 학과 들어가서는 이게 맞는 거 같다라고 이제 생각을 쪼끔 했었는데,해갖고 제가 어~ 딱 그 학과 들어가서는 이게 맞는 거 같다라고 이제 생각을 쪼끔 했었는데
이제 막상 취직을 어~ 졸업 국시 치고 졸업하고 이제 이 일을 하면서,이제 막상 취직을 어~ 졸업 국시 치고 졸업하고 이제 이 일을 하면서
이게 나한테 맞는 건가 쫌 이런 생각이 또 많이 들더라고요.,이게 나한테 맞는 건가 조금 이런 생각이 또 많이 들더라고요.
해갖고 보면은 진짜 일을 이제 즐겁게 뭐~ 자기가 이제 하면서 하면은,해갖고 보면은 진짜 일을 이제 즐겁게 뭐~ 자기가 이제 하면서 하면은
쫌 배움도 있고 쫌 재밌게 하면은 그래도 스트레스도 쫌 덜 받고,조금 배움도 있고 조금 재밌게 하면은 그래도 스트레스도 조금 덜 받고
시간도 쫌 잘 갈 거고 확실히 그렇게 할 건데 이게 또 안 맞는 사람은,시간도 조금 잘 갈 거고 확실히 그렇게 할 건데 이게 또 안 맞는 사람은
어딜 뭐~ 어느 병원을 가도 이제 쫌 찐득하게 길게를 못하더라고요.,어딜 뭐~ 어느 병원을 가도 이제 조금 찐득하게 길게를 못하더라고요.
길게도 못하고 이제 그~ 선생님들하고 이제 그~ 사,길게도 못하고 이제 그~ 선생님들하고 이제 그~ 사
뭐~ 쪼그만한 사회라고 하죠 이제 같이 그~ 계급사회죠 거기도 이제 솔직히 이제 연차별로 나눠서 하니까,뭐~ 쪼그만한 사회라고 하죠 이제 같이 그~ 계급사회죠 거기도 이제 솔직히 이제 연차별로 나누어서 하니까
해갖고 이제 그 쌤들하고도 이제 뭐~ 친해진다거나 이런 것도 쫌 보기도 힘들고 이제,해갖고 이제 그 쌤들하고도 이제 뭐~ 친해진다거나 이런 것도 조금 보기도 힘들고 이제
그렇다 보니까 확실히 이제 자기가 어느 과를 가더라도 인제,그렇다 보니까 확실히 이제 자기가 어느 과를 가더라도 인제
어~ 쫌 확신이 있었으면 좋겠어요 해갖고 저 같은 경우는 해갖고,어~ 조금 확신이 있었으면 좋겠어요 해갖고 저 같은 경우는 해갖고
이걸 했었으면은 쫌 더 괜찮았을 거 같겠다 하는데 네 저 같은 경우도 솔직히,이걸 했었으면은 조금 더 괜찮았을 거 같겠다 하는데 네 저 같은 경우도 솔직히
지금 이제 되고 일단 뭐~ 간호사 취직해가지고 되고 나니까,지금 이제 되고 일단 뭐~ 간호사 취직해가지고 되고 나니까
또 따른 길이 또 또 하고 싶은 게 많이 보여가지고,또 다른 길이 또 또 하고 싶은 게 많이 보여가지고
이것도 한번 해보고 싶고 이제 뭐~ 근데 솔직히 자동차 이런 쪽도 쪼끔 관심은 있어 있긴 있어가지고,이것도 한번 해보고 싶고 이제 뭐~ 근데 솔직히 자동차 이런 쪽도 쪼끔 관심은 있어 있긴 있어가지고
이제 구체적으로 파고들면은 솔직히 제가 잘 모르긴 하지만 막 쫌 차에 대해서 막 많이 궁금도 하고,이제 구체적으로 파고들면은 솔직히 제가 잘 모르긴 하지만 막 조금 차에 대해서 막 많이 궁금도 하고
이제 막 요리 쪽도 관심도 있고 막 이런 식으로 되니까 음~,이제 막 요리 쪽도 관심도 있고 막 이런 식으로 되니까 음~
확실히 간호사 하면서 뭐~ 좋은 점도 있고 나쁜 점도 있었는데,확실히 간호사 하면서 뭐~ 좋은 점도 있고 나쁜 점도 있었는데
지금은 이제 따른 거를 한번 알아볼라고 그냥,지금은 이제 다른 거를 한번 알아볼라고 그냥
이제 야간에만 그냥 일하면서 이제 소방공무원 해갖고 지금 그냥 공무원 준비로 하고 있거든요.,이제 야간에만 그냥 일하면서 이제 소방공무원 해갖고 지금 그냥 공무원 준비로 하고 있거든요.
저랑 이제 간호사 쪼끔 안 맞는 거 같아가지고 그냥 그쪽 의료계통 해서 그냥 소방구급대원,저랑 이제 간호사 쪼끔 안 맞는 거 같아가지고 그냥 그쪽 의료계통 해서 그냥 소방구급대원
시험칠라고 준비를 하고 있는 거고 혹시나 이제 이게 또 안 되면은 또 따른 걸로 한번,시험칠라고 준비를 하고 있는 거고 혹시나 이제 이게 또 안 되면은 또 다른 걸로 한번
또 알아보고 싶 음~ 알아봐가지고 또 따른 길로 또 한 번 공부하고 하고 싶어가지고,또 알아보고 싶 음~ 알아봐가지고 또 다른 길로 또 한 번 공부하고 하고 싶어가지고
