사투리,표준어
혹시 최근에,혹시 최근에
감명 깊게 본 드라마가 있으신가요?,감명 깊게 본 드라마가 있으신가요?
드라마를 안 본 지가 되게 오래됐는데,드라마를 안 본 지가 되게 오래됐는데
최근에 또 그~ 제가 좋아하는 배우가,최근에 또 그~ 제가 좋아하는 배우가
주연으로 나온 드라마가 있어서 어~ 이제 한 일 회 이 회 정도 보는 게 있는데 그~ 팬트 하우스 라는 그 드라마 보고 있습니다.,주연으로 나온 드라마가 있어서 어~ 이제 한 일 회 이 회 정도 보는 게 있는데 그~ 팬트 하우스 라는 그 드라마 보고 있습니다.
아직까지 뭐~ 줄거리 파악도 잘 안 되고,아직까지 뭐~ 줄거리 파악도 잘 안 되고
무슨 내용인지는 잘 모르겠지만은,무슨 내용인지는 잘 모르겠지만은
내용은 잘 모르겠네요.,내용은 잘 모르겠네요.
보고 있습니다.,보고 있습니다.
저는 인제 외국 드라마도 좋아하고 한국 드라마를 좋아하는 편인데,저는 인제 외국 드라마도 좋아하고 한국 드라마를 좋아하는 편인데
일본 드라마라든지 중국 드라마라든지 안 그러면 미국 드라마라든지,일본 드라마라든지 중국 드라마라든지 안 그러면 미국 드라마라든지
영국 드라마라던지 뭐~ 가리지 않고 다 보는 편인데요.,영국 드라마라던지 뭐~ 가리지 않고 다 보는 편인데요.
아무래도 뭐~ 일을 할 때도 있고 아니면 공부할 때는 집중을 해야 되니까,아무래도 뭐~ 일을 할 때도 있고 아니면 공부할 때는 집중을 해야 되니까
드라마는 또 한 번 보면 끊을 수가 없잖아요 그래서,드라마는 또 한 번 보면 끊을 수가 없잖아요 그래서
웬만하면 종영이 돼서 뭔가 그게 완결이 되면 인제,웬만하면 종영이 돼서 뭔가 그게 완결이 되면 인제
뭐~ 주말 같은 때 몰아 본다던지 아니면 뭐~ 왜 우리가,뭐~ 주말 같은 때 몰아 본다던지 아니면 뭐~ 왜 우리가
추석 명절이나 이럴 때 시간이 좀 많이 남잖아요 그래서 그런,추석 명절이나 이럴 때 시간이 좀 많이 남잖아요 그래서 그런
쫌 시간이 넉넉할 때 오히려 이렇게 한꺼번에 몰아 보기를 하는 편인 거 같애요.,조금 시간이 넉넉할 때 오히려 이렇게 한꺼번에 몰아 보기를 하는 편인 거 같애요.
