사투리,표준어
거 우리가 제주도 갔을 때,그 우리가 제주도 갔을 때
그때가 가을인가?,그때가 가을인가?
초가을인가 그렇지 않으면은,초가을인가 그렇지 않으면은
늦여름인가 모르겠네?,늦여름인가 모르겠네?
아~ 그때 제주도 갔을 때가 아마 제가 알기로는,아~ 그때 제주도 갔을 때가 아마 제가 알기로는
늦여름에서 가을 사이였던 것 같은데요.,늦여름에서 가을 사이였던 것 같은데요.
제주도 갔을 때가 아마 가을이었던 것 같애요.,제주도 갔을 때가 아마 가을이었던 것 같애요.
그때 낙엽이 안 떨어진 것 같은데 우리 한라산 그~,그때 낙엽이 안 떨어진 것 같은데 우리 한라산 그~
등반 갔을 때는 그~ 늦여름인가 보,등반 갔을 때는 그~ 늦여름인가 보
그때 그~ 제주도 갔을 때,그때 그~ 제주도 갔을 때
그~ 저~ 낙엽 같은 거 안 떨어지고 그랬잖아 그지?,그~ 저~ 낙엽 같은 거 안 떨어지고 그랬잖아 그지?
그때 제주도 갔을 때 그~ 가을 들어가는 초가을,그때 제주도 갔을 때 그~ 가을 들어가는 초가을
여름에서 초가을 정도 됐어요.,여름에서 초가을 정도 됐어요.
그때가 쫌 더웠던 것 같거든요 그래서,그때가 조금 더웠던 것 같거든요 그래서
낙엽은 못 봤던 것 같고 그~ 예전에 제주도는,낙엽은 못 봤던 것 같고 그~ 예전에 제주도는
예전에 제가 저 혼자 제주도 갔을 때 보니까 어~,예전에 제가 저 혼자 제주도 갔을 때 보니까 어~
그~ 가을보다 봄이 좋던데요.,그~ 가을보다 봄이 좋던데요.
봄이나 여름에 가니까,봄이나 여름에 가니까
그~ 또 진짜 우리나라 안 같고 외국 같은 느낌 많이 들어서,그~ 또 진짜 우리나라 안 같고 외국 같은 느낌 많이 들어서
그때 봄에 갔을 때는 뭐~ 유채꽃도 많이 피고 여름에는 또,그때 봄에 갔을 때는 뭐~ 유채꽃도 많이 피고 여름에는 또
바다에서 놀기도 좋고 해서 제주도가 참 좋았던 기억이 나네요.,바다에서 놀기도 좋고 해서 제주도가 참 좋았던 기억이 나네요.
어~ 혹시 또 그~ 가 좋아하는 계절이,어~ 혹시 또 그~ 가 좋아하는 계절이
어~ 저는 그~ 봄이나 여름을 좋아하는데 어떤 계절을 좋아하세요?,어~ 저는 그~ 봄이나 여름을 좋아하는데 어떤 계절을 좋아하세요?
나도 어~ 여름보다는,나도 어~ 여름보다는
