사투리,표준어
웬툰 뭐~ 어떤 거 봐 장르,웬툰 뭐~ 어떤 거 봐 장르
나는 약간 액션 보기도 하고 판타지물 보기도 하고,나는 약간 액션 보기도 하고 판타지물 보기도 하고
그 다음에 약간 멜로물,그 다음에 약간 멜로물
어머 멜로물,어머 멜로물
그런 거 좋아하거든 약간 좀 연애 이야기하고 이런 거,그런 거 좋아하거든 약간 좀 연애 이야기하고 이런 거
나는 있잖아 연애 얘기를 아 그냥 연애 얘기를 좋아하긴 해.,나는 있잖아 연애 얘기를 아 그냥 연애 얘기를 좋아하긴 해.
굉장히  달달하고 간질간질하고 그래서 되게 좋은데,굉장히  달달하고 간질간질하고 그래서 되게 좋은데
웹툰을 다 보고 나면은,웹툰을 다 보고 나면은
살짝 그런 느낌이 들어가지고 나는 살짝 연애물을 가끔씩만 봐.,살짝 그런 느낌이 들어가지고 나는 살짝 연애물을 가끔씩만 봐.
막 그렇게 막 자주 보진 않아.,막 그렇게 막 자주 보진 않아.
그럼 니가 보는 장르는 뭔데?,그럼 너가 보는 장르는 뭔데?
나도 로맨스를 보긴 해 근데 나랑 전혀 상관없을 거 같은 판타지로맨스 같은 거,나도 로맨스를 보긴 해 근데 나랑 전혀 상관없을 거 같은 판타지로맨스 같은 거
판타지 로맨스 예를들면 제목이,판타지 로맨스 예를들면 제목이
이게 완전 판타지는 아니고 그냥 이제 연예인이랑 연애하는 건데 유일무이 로맨스 아나?,이게 완전 판타지는 아니고 그냥 이제 연예인이랑 연애하는 건데 유일무이 로맨스 알아?
아니 모르지.,아니 모르지.
월요일 웹툰에 유일무이 로맨스라고 있는데,월요일 웹툰에 유일무이 로맨스라고 있는데
연예인이랑 연애하는 내용이거든,연예인이랑 연애하는 내용이거든
그래서 절대 일어날 수 없는 일이  나오거든,그래서 절대 일어날 수 없는 일이  나오거든
그래 가지고 이런 거 가끔 보고,그래 가지고 이런 거 가끔 보고
네이버 웹툰인가?,네이버 웹툰인가?
네이버 웹툰 니 네이버 웹툰 자주 보나?,네이버 웹툰 너 네이버 웹툰 자주 보나?
나 웹툰 그치 옛날에 많이 봤지 요즘에는 많이 보진 않는다만,나 웹툰 그렇지 옛날에 많이 봤지 요즘에는 많이 보진 않는다만
요즘에는 왜 바빠서?,요즘에는 왜 바빠서?
어 뭐~ 바쁘다기 보다는 모르겠다 옛날에는,어 뭐~ 바쁘다기 보다는 모르겠다 옛날에는
이것도 보고 저것도 보고 했는데 요즘에는 잘 안보게 되드라 왠지 모르겠는데,이것도 보고 저것도 보고 했는데 요즘에는 잘 안보게 되더라 왠지 모르겠는데
나는 원래 되게 책 보는 것도 좋아하고 이래 가지고 웹툰도 엄청 많이 보거든,나는 원래 되게 책 보는 것도 좋아하고 이래 가지고 웹툰도 엄청 많이 보거든
그래 가지고 웹툰 계속 보다가 지금은 취업준비한다고 내가 구월부터 취업준비를 시작을 했어 그래 가지고 구월부터 웹툰을 안 봐가지고,그래 가지고 웹툰 계속 보다가 지금은 취업준비한다고 내가 구월부터 취업준비를 시작을 했어 그래 가지고 구월부터 웹툰을 안 봐가지고
좀 밀려있다 지금,좀 밀려있다 지금
구월부터 지금 몇월이냐 꽤 많이 미뤄있는데,구월부터 지금 몇월이냐 꽤 많이 미뤄있는데
근데 막상 이제 그~ 나 되게 웹툰 보는 거 좋아해서 진짜 웹툰 하루라도 거르는 거 진짜 싫어하거든,근데 막상 이제 그~ 나 되게 웹툰 보는 거 좋아해서 진짜 웹툰 하루라도 거르는 거 진짜 싫어하거든
