사투리,표준어
어~ 자격증에 대해서 우리가 솔직히 할 말이 쫌 있긴 있는데 요즘에 취업할려면 뭐~ 자격증은 누구나 가지고 있어야 된다 이런 말들이 많다 아이가 그 니는 또,어~ 자격증에 대해서 우리가 솔직히 할 말이 조금 있긴 있는데 요즘에 취업할려면 뭐~ 자격증은 누구나 가지고 있어야 된다 이런 말들이 많지 않냐 그 너는 또
내가 알기로 니가 준비하고 있는 과정 속에서 그런 게 뭐~ 그렇게 되게 많을 거고,내가 알기로 너가 준비하고 있는 과정 속에서 그런 게 뭐~ 그렇게 되게 많을 거고
그런데 니가 생각했을 때는 어떤 자격증을 짐 니 뭐~ 생각해두고 있어?,그런데 너가 생각했을 때는 어떤 자격증을 짐 네 뭐~ 생각해두고 있어?
나는 쫌 짐 여러 가지 자격증을 생각 중인데 쫌  하나하나 얘기를 하자면은 나는,나는 조금 짐 여러 가지 자격증을 생각 중인데 조금  하나하나 얘기를 하자면은 나는
제일 중요한 거는,제일 중요한 거는
아마 토익이지 않을까 싶은데 왜냐면은 토익이 진짜 다방면으로 많이,아마 토익이지 않을까 싶은데 왜냐면은 토익이 진짜 다방면으로 많이
특히 대한민국에서는 토익이 진짜 다방면으로 많이 사용되잖아 예를 들면 우리 진짜 가까이 있는 군대만 생각해도 군대,특히 대한민국에서는 토익이 진짜 다방면으로 많이 사용되잖아 예를 들면 우리 진짜 가까이 있는 군대만 생각해도 군대
어~ 니도 그렇고 나도 그렇고 카투사로 지원할 건데 카투사 지원 요건이 토익이다 보니까 토익을 준비하는 게 붙는 거 같고,어~ 너도 그렇고 나도 그렇고 카투사로 지원할 건데 카투사 지원 요건이 토익이다 보니까 토익을 준비하는 게 붙는 거 같고
그리고,그리고
대학에서도 우리 필수 교양 과목 중에 대학 영어가 있는데 그거를 체 면제 할라면은,대학에서도 우리 필수 교양 과목 중에 대학 영어가 있는데 그거를 체 면제 할라면은
그 수업을 안 들을려면 토익이 필요하잖아 그래서 나는 그것도 중요한 거 같고 그리고 우리 취업 할 때도,그 수업을 안 들을려면 토익이 필요하잖아 그래서 나는 그것도 중요한 거 같고 그리고 우리 취업 할 때도
사실 토익은,사실 토익은
그냥 약간 기본 기본 베이스로 깔고 가는,그냥 약간 기본 기본 베이스로 깔고 가는
추세일 정도로 토익이 그냥 거의,추세일 정도로 토익이 그냥 거의
대한민국에서는 무조건 필요한,대한민국에서는 무조건 필요한
자격증이 됐잖아 그래서 나는 토익을,자격증이 됐잖아 그래서 나는 토익을
토익이 제일 중요하다고 생각하고 이번 방학 때 아마 토익을 준비하지 않을까 싶다 근데 니는,토익이 제일 중요하다고 생각하고 이번 방학 때 아마 토익을 준비하지 않을까 싶다 근데 너는
니도 내가 알기로는,너도 내가 알기로는
그 군대도 일찍 빨리 가야 되고,그 군대도 일찍 빨리 가야 되고
대학 영어도 당연히 면제해야 되니까 토익을 따야 되는 걸로 아는데 토익 언제 딸 생각이야?,대학 영어도 당연히 면제해야 되니까 토익을 따야 되는 걸로 아는데 토익 언제 딸 생각이야?
근데 사실 뭐~,근데 사실 뭐~
토익 같은 거는 빨리 따면 되게 좋은데 그게 이제 유효기간이 이 년이다 보니까,토익 같은 거는 빨리 따면 되게 좋은데 그게 이제 유효기간이 이 년이다 보니까
나도 원래 타야 되면 이번 겨울방학 때 따는 게 제일 이상적인 플랜이긴 하단 말이야 왜냐하면 내년 말이나 아니면 내후년 초에 군대를 가야 되니까 근데,나도 원래 타야 되면 이번 겨울방학 때 따는 게 제일 이상적인 플랜이긴 하단 말이야 왜냐하면 내년 말이나 아니면 내후년 초에 군대를 가야 되니까 근데
내가 이제 생각해봤을 때,내가 이제 생각해봤을 때
반수 해서 만약에 성공을 하면은 내년,반수 해서 만약에 성공을 하면은 내년
내년 말쯤에 아 모르겠어 그거는 이제 내년 말쯤에 종강하자마자 갈 수도 있고 아니면 만약에 내가 여기 계속 남아서 학생회장을 하게 되면 애초에 내후년에 갈 거 같단 말이야.,내년 말쯤에 아 모르겠어 그거는 이제 내년 말쯤에 종강하자마자 갈 수도 있고 아니면 만약에 내가 여기 계속 남아서 학생회장을 하게 되면 애초에 내후년에 갈 거 같단 말이야.
내년에 종강하고 그리고 내후년에 이제 어떤 애들이 학생회장 나올지 쫌 보고 거네 게네들한테 어떻게 하는지도 쫌 알려주고 그렇게 나가야 될 거 같애서 그거는,내년에 종강하고 그리고 내후년에 이제 어떤 애들이 학생회장 나올지 조금 보고 거네 게네들한테 어떻게 하는지도 조금 알려주고 그렇게 나가야 될 거 같애서 그거는
만약에 내가 여기 계속 남아서 학생회장을 하게 되면 내후년에 갈 거 같고 반수를 하게 되면 그냥 반수 성공을 하면 내년 말쯤에 갈 거 같은데,만약에 내가 여기 계속 남아서 학생회장을 하게 되면 내후년에 갈 거 같고 반수를 하게 되면 그냥 반수 성공을 하면 내년 말쯤에 갈 거 같은데
어~ 토익은 어찌됐던 간에 지금 겨울에 따 놓으면 그때까지는 유효한 거니까 내가 카투사 지원하면 토익도 칠백팔십 점 이상인가 넘어야 되거든 근데 대영이 팔백오십 점이란 말이야  애초에 나는 이제 대학 영어 면제를 목표로 공부를 해야 되는데 내가 저번에 여름방학 때도 강남에서,어~ 토익은 어찌됐던 간에 지금 겨울에 따 놓으면 그때까지는 유효한 거니까 내가 카투사 지원하면 토익도 칠백팔십 점 이상인가 넘어야 되거든 근데 대영이 팔백오십 점이란 말이야  애초에 나는 이제 대학 영어 면제를 목표로 공부를 해야 되는데 내가 저번에 여름방학 때도 강남에서
토익 학원을 다니면서 쫌 해봤는데,토익 학원을 다니면서 조금 해봤는데
되게 힘들더라고 그러니까,되게 힘들더라고 그러니까
말로는 뭐~ 준비한다 준비한다 카는데 솔직히 종강하고 나면 정신도 헤어질 거 분명하고 좀,말로는 뭐~ 준비한다 준비한다 하는데 솔직히 종강하고 나면 정신도 헤어질 거 분명하고 좀
니도 그렇고 나도 그렇고 알바하게 된다 아이가 그러면은 진짜 힘들단 말이야 심적으로나 육체적으로나 그러면은 자격증 공부할 솔직히 짬이 잘 안 날 수도 있어 우리가 생각하는 거만큼 얼마나 독하냐 게 하느냐에 따른 문제인데나 같은 경우는 이제,너도 그렇고 나도 그렇고 알바하게 되지 않냐 그러면은 진짜 힘들단 말이야 심적으로나 육체적으로나 그러면은 자격증 공부할 솔직히 짬이 잘 안 날 수도 있어 우리가 생각하는 거만큼 얼마나 독하냐 게 하느냐에 따른 문제인데나 같은 경우는 이제
방학 때 그런 식으로 에너지를 쏟아버리면 학기 중에 되게 힘들어한단 말이야.,방학 때 그런 식으로 에너지를 쏟아버리면 학기 중에 되게 힘들어한단 말이야.
