사투리,표준어
엄마는 내 아르바이트 억수로 많이 해 본 거 모르제?,엄마는 나 아르바이트 대단히 많이 해 본 거 모르지?
내 진짜 많이 해봤그든,나 진짜 많이 해봤거든
옛날에 뭐~ 핸드폰 팔이도 해 봤고 전단지도 돌려봤고,옛날에 뭐~ 핸드폰 팔이도 해 봤고 전단지도 돌려봤고
공항에서 짐 빼는 일도 해봤고 이상한 것도 막 해봤었거든,공항에서 짐 빼는 일도 해봤고 이상한 것도 막 해봤었거든
근데 내가 지금 생각해 보니까,근데 내가 지금 생각해 보니까
예전에 엄마 그~ 고깃집에서 일한 거 아나?,예전에 엄마 그~ 고깃집에서 일한 거 아니?
불판 닦아주는 거 그때 시급이 사천 원이었나?,불판 닦아주는 거 그때 시급이 사천 원이었나?
시급이 사천 원이었는데 내 한 번은 어린이날이었는데 거기가 십일 층이었거든,시급이 사천 원이었는데 나 한 번은 어린이날이었는데 거기가 십일 층이었거든
시급이 사천 원이었거든 진짜 싸지 않나?,시급이 사천 원이었거든 진짜 싸지 않아?
니가 왜 그~ 시급 불판 돌리는 거는 아마 대학교 일이 학년이니까,네가 왜 그~ 시급 불판 돌리는 거는 아마 대학교 일이 학년이니까
그래 한 십 년 전이네,그래 한 십 년 전이네
그지 한 십 년 전이지,그지 한 십 년 전이지
요즘에 한 팔천 원대 가까이까지 올랐으니까,요즘에 한 팔천 원대 가까이까지 올랐으니까
거의 반밖에 안 되지 근데 그때도 그거는 많이 받는 거였다,거의 반밖에 안 되지 근데 그때도 그거는 많이 받는 거였다
따른 데는 뭐~ 이천 원 이천삼백 원 받는 데도 있었거든,다른 데는 뭐~ 이천 원 이천삼백 원 받는 데도 있었거든
엄마는 그거 받고 일할 수 있을 거 같나?,엄마는 그거 받고 일할 수 있을 거 같아?
글쎄 정말로 내가 나는 못 할 거 같다 근데 니 그거 받아가 뭐 했노?,글쎄 정말로 내가 나는 못 할 거 같다 근데 너 그거 받아서 뭐 했어?
그때 뭐~ 학교 다녔으니까 그게 또 일당으로 받았거든,그때 뭐~ 학교 다녔으니까 그게 또 일당으로 받았거든
그래가주고 그걸로 차비도 쓰고,그래가지고 그걸로 차비도 쓰고
학교 가서 밥도 먹고 밥이 그때 한 삼천 원 이천 원 했었나?,학교 가서 밥도 먹고 밥이 그때 한 삼천 원 이천 원 했었나?
그라먼 일당 받았으면 그거 시급이 사천 원 거트먼 몇 시간 했노?,그러면 일당 받았으면 그거 시급이 사천 원 같으면 몇 시간 했어?
한 다섯 시간 했나?,한 다섯 시간 했나?
다섯 시간 해가지고 하루에 이만 원 받았지,다섯 시간 해가지고 하루에 이만 원 받았지
이만 원 받아갖고 학교 가서 밥 먹고 왔다 갔다 하고 가끔 애들이랑 술도 먹고,이만 원 받아갖고 학교 가서 밥 먹고 왔다 갔다 하고 가끔 애들이랑 술도 먹고
아니 근데 알바하다가 진짜 이상한 사람들 진짜 많은 거 같다.,아니 근데 알바하다가 진짜 이상한 사람들 진짜 많은 거 같다.
엄마는 뭐~ 가게 가면은 알바들한테 잘해주나?,엄마는 뭐~ 가게 가면은 알바들한테 잘해주니?
엄마는 가게 같은 걸 안 해 봤잖아,엄마는 가게 같은 걸 안 해 봤잖아
그래서 직접 내가 경영은 안 해 봤지마는,그래서 직접 내가 경영은 안 해 봤지마는
그래 나는 그런 거 보통 식당이고 뭐~ 이래 가면은 젊은 사람들이 서비스하고 이러면은,그래 나는 그런 거 보통 식당이고 뭐~ 이렇게 가면은 젊은 사람들이 서비스하고 이러면은
아이고 싶어갖고 뭐 입고 있는공 싶어가 한 번 더 쳐다봐지고,아이고 싶어갖고 뭐 입고 있는고 싶어서 한 번 더 쳐다봐지고
고마워요라는 말도 한 번 해 주고,고마워요라는 말도 한 번 해 주고
잘 먹을게요 잘  맛있어요 카고 얘기하지,잘 먹을게요 잘  맛있어요 하고 얘기하지
엄마는 진짜 잘하고 있는 거 같다 나는,엄마는 진짜 잘하고 있는 거 같다 나는
일할 때 그런 거 안 해 주는 사람들  상관은 없어 안 해도 되는데,일할 때 그런 거 안 해 주는 사람들  상관은 없어 안 해도 되는데
이상하게 나도 사람이다 보니까 그렇게 얘기해 주는 사람들이 쫌 좋더라고,이상하게 나도 사람이다 보니까 그렇게 얘기해 주는 사람들이 조금 좋더라고
그니까 더 친절하게 하고 안주 같은 거도 더 주게 되고,그러니까 더 친절하게 하고 안주 같은 거도 더 주게 되고
웃으면서 이제 서비스할려고 하지 그래서,웃으면서 이제 서비스할려고 하지 그래서
엄마는 저번에 보니까 뭐~ 알바들 뭐~ 편하게 해 준다고 막 무슨 밥 먹고 나서,엄마는 저번에 보니까 뭐~ 알바들 뭐~ 편하게 해 준다고 막 무슨 밥 먹고 나서
우리가 뭐~ 다 치워 놓고 와야 된다고 막 다 치울라고 막 그라드만은 뭐~,우리가 뭐~ 다 치워 놓고 와야 된다고 막 다 치우려고 막 그러더만은 뭐~
그 정도까지는 안 해도 되고 그냥 뭐~ 감사합니다 이렇게 하면은 될 거 같은데,그 정도까지는 안 해도 되고 그냥 뭐~ 감사합니다 이렇게 하면은 될 거 같은데
엄마는 뭐~ 생각나는 알바생 같은 거 있나?,엄마는 뭐~ 생각나는 알바생 같은 거 있어?
알바생도 그렇고 요새,알바생도 그렇고 요새
정말 가끔이긴 하지마는 지하철 타머는 난 옛날부터,정말 가끔이긴 하지마는 지하철 타면은 난 옛날부터
이삼십 대 젊은 사람 사십 대 중에서도,이삼십 대 젊은 사람 사십 대 중에서도
가방을 메고 있는데 가방 종류를 이래 보마,가방을 메고 있는데 가방 종류를 이렇게 보면
저 사람이 오늘 한 열 시간 근무를 했구나 아니면은,저 사람이 오늘 한 열 시간 근무를 했구나 아니면은
쪼금 마이 걷는 종류의 업무를 하는 사람이구나,쪼금 많이 걷는 종류의 업무를 하는 사람이구나
이런 거 피곤해 보인다라던지,이런 거 피곤해 보인다라던지
되게 젊은 여자애들이라도,되게 젊은 여자애들이라도
이래 올라타는 거 이렇게 느낌으로,이렇게 올라타는 거 이렇게 느낌으로
자는 오늘 되게 피곤한 밤샘 일을 했든지 뭐~,쟤는 오늘 되게 피곤한 밤샘 일을 했든지 뭐~
마이 했겠다 싶은 아들 학교 공부하는 아들,많이 했겠다 싶은 아이들 학교 공부하는 아이들
이라면 내가 절대 안 앉고 자리 비워놓지 앉으라고,이러면 내가 절대 안 앉고 자리 비워놓지 앉으라고
그거 진짜 잘하는 거다 왜냐면,그거 진짜 잘하는 거다 왜냐면
약간 눈치 보이거든 지하철 타면 너무 다리가 아픈데,약간 눈치 보이거든 지하철 타면 너무 다리가 아픈데
자리에 이게 앉을라고 하면은 약간 눈치 보이고 약간 그런데 약간 또,자리에 이게 앉으려고 하면은 약간 눈치 보이고 약간 그런데 약간 또
어른들 옆에 있으면은 또,어른들 옆에 있으면은 또
서 있어야 되니까 약간 그런 거 눈치 보이는데 엄마가 만약에,서 있어야 되니까 약간 그런 거 눈치 보이는데 엄마가 만약에
거기서 약간 비켜주는 식으로 하면 나도 약간 덜 눈치 보이고 약간 앉을 거 같다.,거기서 약간 비켜주는 식으로 하면 나도 약간 덜 눈치 보이고 약간 앉을 거 같다.
전에 내가 어뜬 게 있었냐 하면은,전에 내가 어떤 게 있었냐 하면은
니도 군대에 가 있을 때인데 엄마가 군인이,너도 군대에 가 있을 때인데 엄마가 군인이
백화점 봉지 같은 거 쇼핑 가방 종이 가방을 하나 떡 들고,백화점 봉지 같은 거 쇼핑 가방 종이 가방을 하나 떡 들고
그~ 안에 분명히 뭐~ 뻔하지,그~ 안에 분명히 뭐~ 뻔하지
인제 막 그~ 부대에서 나왔던지 하여튼 그런 휴가 그기인데,인제 막 그~ 부대에서 나왔던지 하여튼 그런 휴가 그기인데
그~ 이~ 이래 보이끼네 첫 휴가 같은 느낌이 딱 들어,그~ 이~ 이렇게 보니까 첫 휴가 같은 느낌이 딱 들어
군빨이 빡 들어가주구 지하철에서 무조건 꼿꼿하게 서가 있어야 되고,군빨이 빡 들어가지고 지하철에서 무조건 꼿꼿하게 서서 있어야 되고
그래갖고는 딱 서가 있는데 그기 되게 안쓰러워 보이더라고,그래갖고는 딱 서서 있는데 그거 되게 안쓰러워 보이더라고
쫌 편안하게 앉아가 가게끔 해 주고 싶어갖고,조금 편안하게 앉아서 가게끔 해 주고 싶어갖고
니 쫌 앉아라 내가 그카이께네,너 조금 앉아라 내가 그러니까
군인은 앉으면 안 됩니더 이카더라고,군인은 앉으면 안 됩니다 이러더라고
아니 근데 그 사람은 그냥 군인이잖아 알바가 아니잖아,아니 근데 그 사람은 그냥 군인이잖아 알바가 아니잖아
군인 하니까 약간 생각나는데 내 말년 휴가인가?,군인 하니까 약간 생각나는데 나 말년 휴가인가?
그때 말년 휴가 때,그때 말년 휴가 때
빨리 일하고 싶으니까 내가 그때 공항에 취직했었거든,빨리 일하고 싶으니까 내가 그때 공항에 취직했었거든
공항에 취직해가지고 비행기 안에 들어가는 짐 있잖아 그거 캐리어,공항에 취직해가지고 비행기 안에 들어가는 짐 있잖아 그거 캐리어
그거 이제 안에 들어가서 싣는 알바를 했었는데,그거 이제 안에 들어가서 싣는 알바를 했었는데
한 번은 해외로 가야 되는 거 내가 제주도로 보내가지고 그 캐리어를,한 번은 해외로 가야 되는 거 내가 제주도로 보내가지고 그 캐리어를
그래가지고 내 이제 위에 있는 사람이 이제 경위서 같은 거 쓰고,그래가지고 내 이제 위에 있는 사람이 이제 경위서 같은 거 쓰고
나는 하루인가 이틀인가 일하다가 뭐~ 나오지 말라대 갑자기,나는 하루인가 이틀인가 일하다가 뭐~ 나오지 말라대 갑자기
나오지 말라 그러드라고 그래가지고 막 당황했었던 기억이 있는데,나오지 말라 그러더라고 그래가지고 막 당황했었던 기억이 있는데
그거보다야 니 공항에서 일할 때 허벅지에 그~ 캐리어 널짜갖고,그거보다야 너 공항에서 일할 때 허벅지에 그~ 캐리어 떨어뜨려갖고
그~ 허벅지 완전히 찢어졌잖아,그~ 허벅지 완전히 찢어졌잖아
그래가 엄마가 갑자기 연락받고 니 데리고 병원 가갖고 막,그래서 엄마가 갑자기 연락받고 너 데리고 병원 가갖고 막
그때 상사였나 그~,그때 상사였나 그~
공항에 상사가 죄송하다꼬 막 그카는 거 그거,공항에 상사가 죄송하다고 막 그러는 거 그거
그때 야 진짜 그랬는데,그때 야 진짜 그랬는데
그때가 아마,그때가 아마
아침 여덟 시인가 그때마다 인천 공항으로 가는 캐리어 차가 들어온단 말이야,아침 여덟 시인가 그때마다 인천 공항으로 가는 캐리어 차가 들어온단 말이야
근데 인천 공항은 국제선이기 때문에 캐리어가 억수 무거워,근데 인천 공항은 국제선이기 때문에 캐리어가 대단히 무거워
그니까 그거를 이제 허리 힘으로는 못 드니까 다리에 한 번 얹어놓고,그러니까 그거를 이제 허리 힘으로는 못 드니까 다리에 한 번 얹어놓고
그래가주고 딱 옮기고 이렇게 하는데 그때,그래가지고 딱 옮기고 이렇게 하는데 그때
그 사람 캐리어 이 지퍼가 뿌러져 있는 거가 이제 내 허벅지에 걸려가지고,그 사람 캐리어 이 지퍼가 부러져 있는 거가 이제 내 허벅지에 걸려가지고
확 하면서 그때 다쳤지,확 하면서 그때 다쳤지
