사투리,표준어
사람들마다,사람들마다
벌이도 다르고,벌이도 다르고
쓰는 범위도 다르고 생각을 하거든요 뭐~ 저 같은 경우에도,쓰는 범위도 다르고 생각을 하거든요 뭐~ 저 같은 경우에도
전 쫌 반 프리랜서로 활동을 하다 보니까,전 조금 반 프리랜서로 활동을 하다 보니까
일정한 부분도 있는데 똠 비상적으로 들어오는 수입도 있고,일정한 부분도 있는데 똠 비상적으로 들어오는 수입도 있고
그리고 제가 쓰는 주로 소비하는,그리고 제가 쓰는 주로 소비하는
그런 반면에서도 그~ 시기 별로도 쪼금씩 달라요.,그런 반면에서도 그~ 시기 별로도 쪼금씩 달라요.
이때는 욧 요 부분에 돈을 더 많이 쓰고,이때는 욧 요 부분에 돈을 더 많이 쓰고
또 어떤 시기에는 또 저 부분에 또 돈을 많이 쓰고,또 어떤 시기에는 또 저 부분에 또 돈을 많이 쓰고
그래서 쫌 사람들마다 아무래도 그런 취미라던가,그래서 조금 사람들마다 아무래도 그런 취미라던가
이제 생각하는 것들 계획들 이제 이런 것들이 다 다르다 보니깐,이제 생각하는 것들 계획들 이제 이런 것들이 다 다르다 보니깐
대체적으로 다들 그렇게,대체적으로 다들 그렇게
각자의 다양한 그런 소비 패턴을 쫌 가지고 있다고 생각을 하는데,각자의 다양한 그런 소비 패턴을 조금 가지고 있다고 생각을 하는데
뭐~ 혹시 주로 돈을 쓰는 곳이 쫌,뭐~ 혹시 주로 돈을 쓰는 곳이 조금
어느 부분에서 쫌 많이 쓰시는지,어느 부분에서 조금 많이 쓰시는지
그리고 쫌 관심 분야가 쫌 어떤 곳이고,그리고 조금 관심 분야가 조금 어떤 곳이고
거기에 대해선 내가 어느 정도까지 쫌 금전을 투자할 수 있는지,거기에 대해선 내가 어느 정도까지 조금 금전을 투자할 수 있는지
쫌 그런 부분에 대한 이야기를 쫌 들려주셨음 좋겠습니다.,조금 그런 부분에 대한 이야기를 조금 들려주셨음 좋겠습니다.
사실은 총각 때에는,사실은 총각 때에는
이렇게 별로 돈을,이렇게 별로 돈을
많이 안 쓰는 거 같애요 그~ 대학교 때는 대학 등록금이 제일 또 컸던 거 같고,많이 안 쓰는 거 같애요 그~ 대학교 때는 대학 등록금이 제일 또 컸던 거 같고
그 외적으로는,그 외적으로는
