사투리,표준어
제가 주식에 관해서 이제 관심이 되게 많지만 이게 처음에,제가 주식에 관해서 이제 관심이 되게 많지만 이게 처음에
시작하는 게 많이 어렵더라고요 근데 주변에도 뭐~ 주식을 해서 뭐~ 생활비를 번다거나,시작하는 게 많이 어렵더라고요 근데 주변에도 뭐~ 주식을 해서 뭐~ 생활비를 번다거나
아니면은 뭐~ 정말 대박이 나는 경우도 있고 이런데 저는,아니면은 뭐~ 정말 대박이 나는 경우도 있고 이런데 저는
주식을 시도하는 거 자체가 좀 겁이 많이 나던데 혹시 주식 해보신 적 있으세요?,주식을 시도하는 거 자체가 좀 겁이 많이 나던데 혹시 주식 해보신 적 있으세요?
주식을 아직까지 해본 적은 없는데 해보고 싶기는 해요.,주식을 아직까지 해본 적은 없는데 해보고 싶기는 해요.
그런데 아직까지 이게 워낙,그런데 아직까지 이게 워낙
유동성이 있는 거다 보니까 저는 안전을 좀 추구하는 편이라서,유동성이 있는 거다 보니까 저는 안전을 좀 추구하는 편이라서
이거를 계속 들여다보면서 지켜볼 자신이 없어가지고 아직까지는,이거를 계속 들여다보면서 지켜볼 자신이 없어가지고 아직까지는
적금이나 그냥 저금 위주 아니면 그냥 나중에,적금이나 그냥 저금 위주 아니면 그냥 나중에
돌려받을 수 있는 그런 목돈 굴리는 걸로 하고 있지 주식은,돌려받을 수 있는 그런 목돈 굴리는 걸로 하고 있지 주식은
잘 모르기도 하고 이래서 아직까지 해본 적은 없어요.,잘 모르기도 하고 이래서 아직까지 해본 적은 없어요.
하시고 계세요?,하시고 계세요?
아니요 저는 하고 있지는 않은데 주변에서 보면 정말 말씀하신 것처럼 주식을 한다고 하면,아니요 저는 하고 있지는 않은데 주변에서 보면 정말 말씀하신 것처럼 주식을 한다고 하면
다들 휴대폰만 보고 있더라고요 그래서 제가 이번에 병원에 갔는데도 간호사분도 계속 그렇게 휴대폰에,다들 휴대폰만 보고 있더라고요 그래서 제가 이번에 병원에 갔는데도 간호사분도 계속 그렇게 휴대폰에
그런 화면만 보고 계시는 걸 보면서 아~ 생각보다 주식을 많이 하시는데 막 일상생활이 좀 불가능하겠구나라는 생각이 들고,그런 화면만 보고 계시는 걸 보면서 아~ 생각보다 주식을 많이 하시는데 막 일상생활이 좀 불가능하겠구나라는 생각이 들고
그리고 아무래도 돈이 잃을 수도 있다는 그런 게 있어서 모험 정신이 없다 보니,그리고 아무래도 돈이 잃을 수도 있다는 그런 게 있어서 모험 정신이 없다 보니
주식을 하는 게 조금 생각보다 도전하기가 쉽지 않더라고요.,주식을 하는 게 조금 생각보다 도전하기가 쉽지 않더라고요.
그럼 혹시 주식 말고 혹시 뭐~ 다른 데 투자를 하신다거나 아니면은 혹시 뭐~ 돈을 뭐~ 적금 예금을 드시는 게 있으세요?,그럼 혹시 주식 말고 혹시 뭐~ 다른 데 투자를 하신다거나 아니면은 혹시 뭐~ 돈을 뭐~ 적금 예금을 드시는 게 있으세요?
적금은 드는 건 있었 있는데,적금은 드는 건 있었 있는데
그거는 어차피 그냥 적금 기준이다 보니까 웬만하면 이자율 높은 걸로 할려고,그거는 어차피 그냥 적금 기준이다 보니까 웬만하면 이자율 높은 걸로 할려고
직장인 관련으로 된 그런 걸로 했다가,직장인 관련으로 된 그런 걸로 했다가
뭐~ 뺀 적도 많고 다시 한 적도 많긴 한데 지금 가지고 있기는 하거든요.,뭐~ 뺀 적도 많고 다시 한 적도 많긴 한데 지금 가지고 있기는 하거든요.
근데 예전에 그~ 보험 관련으로 연금성 저축이라고 하나요?,근데 예전에 그~ 보험 관련으로 연금성 저축이라고 하나요?
왜 넣으면 넣을수록 이자율이 높아지고 나중에 받을 수 있는 환급률이 높아지는 건데,왜 넣으면 넣을수록 이자율이 높아지고 나중에 받을 수 있는 환급률이 높아지는 건데
중간중간에 중도 인출도 가능하고 그래서 괜찮은 게 있어가지고,중간중간에 중도 인출도 가능하고 그래서 괜찮은 게 있어가지고
넣은 적은 있었는데 그게 저는 그냥 적금이나 주식이나 이런 것보다는 훨씬 더 괜찮더라고요.,넣은 적은 있었는데 그게 저는 그냥 적금이나 주식이나 이런 것보다는 훨씬 더 괜찮더라고요.
근데 단점은 보험 같은 경우는 무조건 넣었다가 중간에 빼버리면은,근데 단점은 보험 같은 경우는 무조건 넣었다가 중간에 빼버리면은
손해를 보는 경우가 있다 보니까 근데 그때 사정이 있어서 해지를 하기는 했었는데 지금 생각해보면 그냥,손해를 보는 경우가 있다 보니까 근데 그때 사정이 있어서 해지를 하기는 했었는데 지금 생각해보면 그냥
냅둘 걸 괜히 해지를 한 거 같은 좀 안타까운 부분이 있긴 한데,놔둘 걸 괜히 해지를 한 거 같은 좀 안타까운 부분이 있긴 한데
한번 들어놓으면은 어~ 연금성 보장 같은 경우는 진짜 괜찮은 거 같더라고요 웬만한 적금 같은 거보다도,한번 들어놓으면은 어~ 연금성 보장 같은 경우는 진짜 괜찮은 거 같더라고요 웬만한 적금 같은 거보다도
혹시 그런 쪽으로는 넣으신 거 있으세요?,혹시 그런 쪽으로는 넣으신 거 있으세요?
어~ 저도 보험으로 해가지고 이제 적금 드는 게 있어가지고,어~ 저도 보험으로 해가지고 이제 적금 드는 게 있어가지고
왜 추천을 받아서 들긴 했었는데 솔직히,왜 추천을 받아서 들긴 했었는데 솔직히
보험을 생각해서 들기보다는 오히려 이자를 생각해서,보험을 생각해서 들기보다는 오히려 이자를 생각해서
