사투리,표준어
@이름은 어떤 가수 좋아해?,@이름은 어떤 가수 좋아해?
나 태민이라는 가수 좋아하지.,나 태민이라는 가수 좋아하지.
태민이,태민이
언제 데뷔했어?,언제 데뷔했어?
태민이 이천팔년 오월 이십오일 샤이니도 데뷔했지.,태민이 이천팔년 오월 이십오일 샤이니도 데뷔했지.
야 니 그걸 아는 거야?,야 너 그걸 아는 거야?
뭐가?,뭐가?
언제 데뷔했는지도 아나?,언제 데뷔했는지도 아니?
당연한 거 아이가?,당연한 거 아니야?
아니,아니
그때,그때
태민이가 메인 댄서로 데뷔했잖아.,태민이가 메인 댄서로 데뷔했잖아.
니 그때도 태민이한테 관심 있었어?,너 그때도 태민이한테 관심 있었어?
당연하지 내 그때 초등학교 시절이었거든?,당연하지 나 그때 초등학교 시절이었거든?
그때 학교 마치고 딱 집에 와 가지고,그때 학교 마치고 딱 집에 와 가지고
이~ 데뷔하는 걸 이~ 뮤직 뱅크고 뭐고 다 찾아 가지고,이~ 데뷔하는 걸 이~ 뮤직 뱅크고 뭐고 다 찾아 가지고
이거 이거 나오면,이거 이거 나오면
가 가지고 쪼로록 앉아서 보고 티비 보고,가 가지고 쪼로록 앉아서 보고 티비 보고
졸라 말하는 거,졸라 말하는 거
학교 마치고 그거 보는 거 국룰이었지.,학교 마치고 그거 보는 거 국룰이었지.
니 그거 앎 브로마이드?,너 그거 앎 브로마이드?
브로마이드 알지.,브로마이드 알지.
브로마이드 문구점에서 사 가지고 맨날,브로마이드 문구점에서 사 가지고 맨날
스티커랑 사진 겁나 오려 가지고,스티커랑 사진 굉장히 오려 가지고
폰에 붙이고 다녔음.,폰에 붙이고 다녔음.
카고 그거 해 가지고 이거 엽서 써 가지고 보내면 당첨됨.,그리고 그거 해 가지고 이거 엽서 써 가지고 보내면 당첨됨.
야 나 그 사진 내 폰에 붙여놨디 그~ 태민이 그~,야 나 그 사진 내 폰에 붙여놨어 그~ 태민이 그~
모자 쓰고 누너예 때,모자 쓰고 누너예 때
모자 쓰고,모자 쓰고
모자 딱 잡고 씩 웃는 바가지 머리 시절.,모자 딱 잡고 씩 웃는 바가지 머리 시절.
귀여운 시절.,귀여운 시절.
그러면 그때는 그냥 관심만 있었는데.,그러면 그때는 그냥 관심만 있었는데.
아이다 그때부터,아니다 그때부터
내 한 중학교 이 학년?,나 한 중학교 이 학년?
중학교 일 학년 때 딱 반에 드갔는데,중학교 일 학년 때 딱 반에 들어갔는데
친구가 탬덕이고 내가 그때 키빠였단 말이야?,친구가 탬덕이고 내가 그때 키빠였단 말이야?
그래서 그~,그래서 그~
탬덕 친구가 옆에 와 가지고,탬덕 친구가 옆에 와 가지고
그~ 그때 당시로는,그~ 그때 당시로는
