사투리,표준어
내가 내가 진정해야 되는 거다 언니는 안 해도 되는 거다.,내가 내가 진정해야 되는 거다 언니는 안 해도 되는 거다.
근데 이게 다이어트 요요 오는 올 수 밖에 없는 이게,근데 이게 다이어트 요요 오는 올 수 밖에 없는 이게
언니야 유지하기가 힘들다.,언니 유지하기가 힘들다.
그니까 이게 내가 참을 한 일 주일 정도 참잖아?,그러니까 이게 내가 참을 한 일 주일 정도 참잖아?
삼 사키로 빼잖아,삼 사키로 빼잖아
그 다음 일 주일은 음식을 못 참겠어,그 다음 일 주일은 음식을 못 참겠어
그럼 또 먹으면 또 찐다 아이가?,그럼 또 먹으면 또 찌지 않니?
어 그럼 그대로 되는 거야,어 그럼 그대로 되는 거야
언니야 나는 다이어트를 할 수 없다 난 먹는 게 너무 맛있다.,언니 나는 다이어트를 할 수 없다 난 먹는 게 너무 맛있다.
아니 지금 우리 동네에,아니 지금 우리 동네에
하는 사람 몇 명이나 있어?,하는 사람 몇 명이나 있어?
언니야 나도 우리 동네에,언니 나도 우리 동네에
그 요새 한약,그 요새 한약
한약 한의원에서 정비환이라고 팔대?,한약 한의원에서 정비환이라고 팔대?
언니야 그거 환이가?,언니 그거 환이야?
어 환 환,어 환 환
아 그래 그래 언니야 내 어제,아 그래 그래 언니 나 어제
맞았다 아이가,맞았지 않니
그래가지고,그래가지고
아 니 왜 살이 왜 그래 빠졌는데 그랬더만,아 너 왜 살이 왜 그렇게 빠졌는데 그랬더구만
니 멍  이랬거든,너 멍  이랬거든
그랬더만,그랬더구만
언니야 그랬더만,언니 그랬더구만
갸 억수로 내 보다 더 뚱뚱해 언니야,걔 대단히 나 보다 더 뚱뚱해 언니
그래가지고 십 키로 빠졌는데 이제 내 하고 인제 비슷한 기라,그래가지고 십 키로 빠졌는데 이제 나 하고 인제 비슷한 거야
그래가 니 얼굴 살 너무 많이 빠졌다 이랬더만,그래서 너 얼굴 살 너무 많이 빠졌다 이랬더구만
언니 무 볼래 그러니까 뭔데 이러니까 한약이라는 거야 그래서 내가 야 나는 한약 옛날에,언니 먹어 볼래 그러니까 뭔데 이러니까 한약이라는 거야 그래서 내가 야 나는 한약 옛날에
있다 아이가 옛날에 케이비에 있을 때 한약에 그 언니가,있지 않니 옛날에 케이비에 있을 때 한약에 그 언니가
살 빼는 약 둘이 먹자 이래가지고 한약에서 십 오만 원 인가 십 육만 원,살 빼는 약 둘이 먹자 이래가지고 한약에서 십 오만 원 인가 십 육만 원
