사투리,표준어
니는 제일 좋아하는 게임이 뭔대?,너는 제일 좋아하는 게임이 뭔대?
나는 뭐~ 요즘 그냥 롤하고 있지 니는?,나는 뭐~ 요즘 그냥 롤하고 있지 너는?
나는 원래 옵치였는데 지금은 에이펙스 레전드 지금하고 있는데 진짜 재밌거든.,나는 원래 옵치였는데 지금은 에이펙스 레전드 지금하고 있는데 진짜 재밌거든.
근데 내가 쫌 에프피에스장르 좀 선호해가지고,근데 내가 조금 에프피에스장르 좀 선호해가지고
롤 같은 거는 쪼끔 내가 해봤는데 나한테는 그렇게 맞지 않아가지고,롤 같은 거는 쪼끔 내가 해봤는데 나한테는 그렇게 맞지 않아가지고
니는 지금 롤이 제일 니가 좋아하는 게임이가?,너는 지금 롤이 제일 네가 좋아하는 게임이야?
롤을 제일 좋아하고 뭐~ 어렸을 때부터 많이 즐긴 거는 아닌데 요즘에는 진짜 갑자기 시작해서 쫌 푹 빠진 거 게임이거든.,롤을 제일 좋아하고 뭐~ 어렸을 때부터 많이 즐긴 거는 아닌데 요즘에는 진짜 갑자기 시작해서 조금 푹 빠진 거 게임이거든.
롤이 뭐~ 에프피에스를 니가 좋아한다고 해서 쪼끔 안 맞을 수는 있는데,롤이 뭐~ 에프피에스를 네가 좋아한다고 해서 쪼끔 안 맞을 수는 있는데
롤도 확실히 게임을 해보면 알겠지만은 다섯명의 팀끼리 합쳐가지고,롤도 확실히 게임을 해보면 알겠지만은 다섯명의 팀끼리 합쳐가지고
그래서 쪼끔 여러 가지 스킬도 쓰고 수싸움을 하면서 이 사람 어딨을까 무슨 행동을 하고 있을까 그리고 이거는 왜 했을까 라는 그런 여러 가지 생각 같은 거를 쪼금 많이 하게 되는 게임이거든.,그래서 쪼끔 여러 가지 스킬도 쓰고 수싸움을 하면서 이 사람 어딨을까 무슨 행동을 하고 있을까 그리고 이거는 왜 했을까 라는 그런 여러 가지 생각 같은 거를 쪼금 많이 하게 되는 게임이거든.
나는 확실히 그게 쫌 매력이 있어가지고 롤에 요즘 시간을 많이 투자하고 있거든.,나는 확실히 그게 조금 매력이 있어가지고 롤에 요즘 시간을 많이 투자하고 있거든.
근데 롤이 그~ 에이오에스 장르라서 살짝 스킬이나 이런 거를 쪼금 맞추거나 이런데,근데 롤이 그~ 에이오에스 장르라서 살짝 스킬이나 이런 거를 쪼금 맞추거나 이런데
근데 그게 삼인칭인가 뭐~ 어쨌든 잘 모르겠는데 나는 살짝 일인칭을 선호해가지고,근데 그게 삼인칭인가 뭐~ 어쨌든 잘 모르겠는데 나는 살짝 일인칭을 선호해가지고
그리고 내가 말했듯이 에프피에스 총 게임 같은 거,그리고 내가 말했듯이 에프피에스 총 게임 같은 거
그거를 해야 내가 좀 진정한 내 게임실력을 보여줄 수 있는 게임이 아닐까 싶은데,그거를 해야 내가 좀 진정한 내 게임실력을 보여줄 수 있는 게임이 아닐까 싶은데
니는 에프피에스는 선호하지 않는 편이가?,너는 에프피에스는 선호하지 않는 편이야?
나도 뭐~ 에프피에스 같은 거를 아예 안 해 본 거는 아닌데 확실히 뭔가 에프피에스는,나도 뭐~ 에프피에스 같은 거를 아예 안 해 본 거는 아닌데 확실히 뭔가 에프피에스는
