사투리,표준어
그럼 소비에 대해서 경제 관념에 대해서 얘기해 볼까요?,그럼 소비에 대해서 경제 관념에 대해서 얘기해 볼까요?
소비 어~ 많이 바꼈죠 패턴이 바꼈죠 지금,소비 어~ 많이 바뀌었죠 패턴이 바뀌었죠 지금
코로나 땜에 바뀐 게 있죠.,코로나 땜에 바뀐 게 있죠.
근데 코로나가 오기 이전부터 소비 패턴이 많이 바꼈어요 우리 휴대폰이 생기고 나서,근데 코로나가 오기 이전부터 소비 패턴이 많이 바뀌었어요 우리 휴대폰이 생기고 나서
오프라인에서 온라인으로 옮겨 왔는데,오프라인에서 온라인으로 옮겨 왔는데
그전에 뭐~ 이마트라든지 생각해 보면 한 십 전 전만 해도,그전에 뭐~ 이마트라든지 생각해 보면 한 십 전 전만 해도
이마트 롯데마트 홈플러스가 폭발적으로 전국에 증가했잖아요.,이마트 롯데마트 홈플러스가 폭발적으로 전국에 증가했잖아요.
그때는 이제 대면이라고 하죠.,그때는 이제 대면이라고 하죠.
직접 보고 하는 게 정말 큰 거였는데 어느 순간 처음에는,직접 보고 하는 게 정말 큰 거였는데 어느 순간 처음에는
그~ 옷에 관련된 건 젊은 애들이 원하는 옷이라든지 아기들 용품이라든지,그~ 옷에 관련된 건 젊은 애들이 원하는 옷이라든지 아기들 용품이라든지
그런 게 온라인에 제일 먼저 등장해서 팔리기 시작하다가,그런 게 온라인에 제일 먼저 등장해서 팔리기 시작하다가
그러면 그~ 뭐지 백화점이라든지 마트라든지 그거조차 인제 안으로 들어오고,그러면 그~ 뭐지 백화점이라든지 마트라든지 그거조차 인제 안으로 들어오고
지금 제일,지금 제일
바꾸게 만든 게 택배 땜에 그런 거 같아요.,바꾸게 만든 게 택배 땜에 그런 거 같아요.
택배의 이 고마움을 진짜 요새 절실하게 느끼고 살잖아요.,택배의 이 고마움을 진짜 요새 절실하게 느끼고 살잖아요.
소비의 패턴을 바꾼 거는 아마 택배 땜에 그렇지 않을까 라는 생각도 많이 해요.,소비의 패턴을 바꾼 거는 아마 택배 땜에 그렇지 않을까 라는 생각도 많이 해요.
또 주도한 게 씨제이잖아요.,또 주도한 게 씨제이잖아요.
사실 씨제이가 택배를 하기 택배라는 거 문화 자체가 사실은,사실 씨제이가 택배를 하기 택배라는 거 문화 자체가 사실은
우리가 참 낯설었었어요 우리는 가서 보지 않으면 못 샀거든요.,우리가 참 낯설었었어요 우리는 가서 보지 않으면 못 샀거든요.
그리고 우리 세대 오십 대가 사실 저는 아직도 가서 보고 샀었어요.,그리고 우리 세대 오십 대가 사실 저는 아직도 가서 보고 샀었어요.
뭐가 바꼈냐면 택배도 중요한데 그 택배를 움직이는 게 저는 홈 쇼핑이라 생각해요.,뭐가 바뀌었냐면 택배도 중요한데 그 택배를 움직이는 게 저는 홈 쇼핑이라 생각해요.
