사투리,표준어
안녕하세요.,안녕하세요.
안녕하세요.,안녕하세요.
저희 학교를 주제로 얘기해볼까요?,저희 학교를 주제로 얘기해볼까요?
혹시 학교에서 뭐~ 기억에 남았던 일 같은 거 있어요?,혹시 학교에서 뭐~ 기억에 남았던 일 같은 거 있어요?
고일 때,고일 때
그땐 코로나 전이니까 되게 축제 많이 하잖아요.,그땐 코로나 전이니까 되게 축제 많이 하잖아요.
야자를 하는데 너무 가고 싶은 거예요.,야자를 하는데 너무 가고 싶은 거예요.
제가 중삼 때 오케스트라 했었는데 그 쌤이랑 같이,제가 중삼 때 오케스트라 했었는데 그 쌤이랑 같이
맛있는 거 사준다 이러고 야자를 쨌거든요.,맛있는 거 사준다 이러고 야자를 쨌거든요.
그랬는데,그랬는데
그 쌤이 그러면 그 선생님 전화 한 번 시켜줘,그 쌤이 그러면 그 선생님 전화 한 번 시켜줘
친구를 시켜서 전화를 시켰어요 쌤인 척 하라고,친구를 시켜서 전화를 시켰어요 쌤인 척 하라고
되게 강심장이셨다.,되게 강심장이셨다.
걔네는 아프다고 하고 째도 안 걸렸는데 저는 걸리더라고요.,걔네는 아프다고 하고 째도 안 걸렸는데 저는 걸리더라고요.
야자 많이 쨌어요?,야자 많이 쨌어요?
하기 싫으면 그냥 아픈 척하고,하기 싫으면 그냥 아픈 척하고
저도 고등학교 때 저희 학교는 산에 있었거든요.,저도 고등학교 때 저희 학교는 산에 있었거든요.
산 중턱에 있었는데,산 중턱에 있었는데
거기서 이제 야자를 째고 튈라면은 담을 넘고 산을 내려가야 돼요.,거기서 이제 야자를 째고 튈라면은 담을 넘고 산을 내려가야 돼요.
야자를 째기에는 쫌 그렇고 그때 방과후가 너무 하기 싫어가지고,야자를 째기에는 조금 그렇고 그때 방과후가 너무 하기 싫어가지고
방과 후 시간에 이제 친구들이랑 같이 담 넘어서 산을 내려갔는데,방과 후 시간에 이제 친구들이랑 같이 담 넘어서 산을 내려갔는데
그때가 여름이었거든요.,그때가 여름이었거든요.
산 내려갔는데 얼마 안 걸리거든요 한 십 분?,산 내려갔는데 얼마 안 걸리거든요 한 십 분?
근데 그 십 분 동안 모기가 거짓말 안 치고 한 삼십 방?,근데 그 십 분 동안 모기가 거짓말 안 치고 한 삼십 방?
온몸에 다 물리고,온몸에 다 물리고
그 이후로 다시는 거기로 안 가고,그 이후로 다시는 거기로 안 가고
째고 싶거나 할 때,째고 싶거나 할 때
담임쌤한테 가가지고,담임쌤한테 가가지고
쌤 저 배아파요 이렇게 조퇴하고 그랬어요.,쌤 저 배아파요 이렇게 조퇴하고 그랬어요.
그렇게 하면 안 속여지지 않나요?,그렇게 하면 안 속여지지 않나요?
고이 때는 안 속여졌는데 고삼 때 담임쌤이,고이 때는 안 속여졌는데 고삼 때 담임쌤이
풀어 놓는 쌤이었단 말이에요.,풀어 놓는 쌤이었단 말이에요.
공부 억지로 시키면 솔직히 애들 다 하기 싫어하잖아요 억지로 시키면은,공부 억지로 시키면 솔직히 애들 다 하기 싫어하잖아요 억지로 시키면은
그거 알고 쫌 많이 풀어주고,그거 알고 조금 많이 풀어주고
쌤 저 생리 터졌어요 이러면은,쌤 저 생리 터졌어요 이러면은
웃으면서 또 이러면서 조퇴서 써주고,웃으면서 또 이러면서 조퇴서 써주고
그래서 되게 자주 할 수 있었어요.,그래서 되게 자주 할 수 있었어요.
제가 고삼 때 저는 울산 사람이거든요.,제가 고삼 때 저는 울산 사람이거든요.
울산에 춘해보건대학교라는 데가 있고,울산에 춘해보건대학교라는 데가 있고
동의대였나 간호학과를 두 군데 지원했는데,동의대였나 간호학과를 두 군데 지원했는데
다 떨어져가지고,다 떨어져가지고
지금은 전자공학과예요.,지금은 전자공학과예요.
그 학과 남자 많아요?,그 학과 남자 많아요?
이학년 때 이제 처음 전자공학과 오고,이학년 때 이제 처음 전자공학과 오고
근데 이제 코로나가 터져가지고 전자공학 친구들도 한 명도 못 사겼거든요.,근데 이제 코로나가 터져가지고 전자공학 친구들도 한 명도 못 사귀었거든요.
한 일주일에 두 번씩 수업 가는데,한 일주일에 두 번씩 수업 가는데
한 반에,한 반에
한 오십 명 이렇게 있으면은,한 오십 명 이렇게 있으면은
여자가 한 다섯 명 정도밖에 없어요.,여자가 한 다섯 명 정도밖에 없어요.
