사투리,표준어
저는 어릴 때 강아지에게 물릴 뻔한 기억이 있어서,저는 어릴 때 강아지에게 물릴 뻔한 기억이 있어서
어~ 개를 딱히 좋아하진 않습니다.,어~ 개를 딱히 좋아하진 않습니다.
근데 요즘 어~ 산책을 나가거나 아니면 등산을 가보면,근데 요즘 어~ 산책을 나가거나 아니면 등산을 가보면
반려동물을 어~ 같이 동반해서 오는 사람들이 굉장히 많아요.,반려동물을 어~ 같이 동반해서 오는 사람들이 굉장히 많아요.
혹시 반려동물 키우고 계시는 게 있는지,혹시 반려동물 키우고 계시는 게 있는지
어떤 종류인지 어떻게 어~ 키우고 계시는지 얘기해주실 수 있나요?,어떤 종류인지 어떻게 어~ 키우고 계시는지 얘기해주실 수 있나요?
저는 강아지를 키우고 있는데,저는 강아지를 키우고 있는데
종류는 포메라니안이에요.,종류는 포메라니안이에요.
저희 어머니께서도 지나가는 강아지를 별로 안 좋아하셨는데,저희 어머니께서도 지나가는 강아지를 별로 안 좋아하셨는데
이제 제가 데리고 오다 보니까,이제 제가 데리고 오다 보니까
강아지가 귀여워서 이제는 어머니도 좋아하시고,강아지가 귀여워서 이제는 어머니도 좋아하시고
강아지를 키우다 보니 가족이 화목해진 거 같아요.,강아지를 키우다 보니 가족이 화목해진 거 같아요.
혹시 다른 동물들도 다 별로 안 좋아하시나요?,혹시 다른 동물들도 다 별로 안 좋아하시나요?
어~ 집에서 기르는 거는 쪼끔 꺼려합니다.,어~ 집에서 기르는 거는 쪼끔 꺼려합니다.
왜냐하면 가족들 중에 알러지가 심한 사람들이 많고요.,왜냐하면 가족들 중에 알러지가 심한 사람들이 많고요.
그리고 털갈이를 할 때마다 쪼끔 곤란했던 기억이 있어요.,그리고 털갈이를 할 때마다 쪼끔 곤란했던 기억이 있어요.
그까 반려동물을 어~ 지금은 집 안에서 키우시잖아요.,그러니까 반려동물을 어~ 지금은 집 안에서 키우시잖아요.
예전에 저희는 이제 집 강아지,예전에 저희는 이제 집 강아지
뭐~ 집 개 그런 큰 종류의 개들을 키운 적이 있었거든요.,뭐~ 집 개 그런 큰 종류의 개들을 키운 적이 있었거든요.
근데 털갈이할 때마다 남편도 알러지가 좀 심하고,근데 털갈이할 때마다 남편도 알러지가 좀 심하고
아이들도 심해서 어~ 오래 키우기가 힘들더라고요.,아이들도 심해서 어~ 오래 키우기가 힘들더라고요.
어~ 근데 아이들이 자라면서,어~ 근데 아이들이 자라면서
어~ 강아지와 함께했던 기억들이 굉장히 오래 남아서,어~ 강아지와 함께했던 기억들이 굉장히 오래 남아서
어릴 적에 강아지를 키우거나 애완동물을 키우는 건 참 좋을 것 같애요.,어릴 적에 강아지를 키우거나 애완동물을 키우는 건 참 좋을 것 같애요.
가끔 남편이 새를 키워보고 싶어 하는데,가끔 남편이 새를 키워보고 싶어 하는데
어~ 새를 키우려고 하니까 집 안에서는 쪼끔 곤란할 거 같고,어~ 새를 키우려고 하니까 집 안에서는 쪼끔 곤란할 거 같고
저희 집은 마당이 있거든요?,저희 집은 마당이 있거든요?
그래서 마당에서 키우고 싶은데,그래서 마당에서 키우고 싶은데
또 길고양이들이 저녁에 자주 출몰하기 때문에,또 길고양이들이 저녁에 자주 출몰하기 때문에
그게 쪼끔 걱정이 돼서 키우기가 곤란할 거 같고요.,그게 쪼끔 걱정이 돼서 키우기가 곤란할 거 같고요.
그리고 어~ 어항에 물고기도 키워본 적이 있는데,그리고 어~ 어항에 물고기도 키워본 적이 있는데
