사투리,표준어
커서 나중에 졸업하면 뭐 한댔지?,커서 나중에 졸업하면 뭐 한댔지?
솔직히,솔직히
대학교 입학 할 때는 쪼끔 꿈이라는 게,대학교 입학 할 때는 조금 꿈이라는 게
확실하게 잡혀 있는 편이었는데,확실하게 잡혀 있는 편이었는데
약간 지금은,약간 지금은
내가 이제 과가 일어과,내가 이제 과가 일어과
복수 전공으로 중국어 이렇게 하니까,복수 전공으로 중국어 이렇게 하니까
약간 졸업 해도 어딜 가야 될 지 모르겠는?,약간 졸업 해도 어딜 가야 될 지 모르겠는?
사실 처음에는 좀,사실 처음에는 좀
번역을 하고 싶었어 그냥 좀 프리랜서로,번역을 하고 싶었어 그냥 좀 프리랜서로
너무 꿈에 차 있는 이야기긴 하지,너무 꿈에 차 있는 이야기긴 하지
원래 경력이 없는,원래 경력이 없는
프리랜서 라는게 말이 안 되는 소리니까,프리랜서 라는게 말이 안 되는 소리니까
그래서 이제 좀 방향을 많이 틀어서,그래서 이제 좀 방향을 많이 틀어서
통번역을 하면서 어디 회사에 들어가서,통번역을 하면서 어디 회사에 들어가서
약간 뭐~,약간 뭐~
경력을 쌓는?,경력을 쌓는?
그럼 방향 쪽으로 생각을 하고 있긴 한데,그럼 방향 쪽으로 생각을 하고 있긴 한데
정확하게 아직은 잘 모르겠다.,정확하게 아직은 잘 모르겠다.
니는?,너는?
나도 일단은,나도 일단은
꿈이라고 하기에는,꿈이라고 하기에는
나는 솔직히 대학도 그냥 성적 맞춰서 간 것도 크고,나는 솔직히 대학도 그냥 성적 맞춰서 간 것도 크고
아니면은 그냥 고등학교 때 쌤들이,아니면은 그냥 고등학교 때 쌤들이
이게 뭐~ 전망이 좋다더라 이런 과가,이게 뭐~ 전망이 좋다더라 이런 과가
괜찮다더라 이래서 간 게 크기 때문에,괜찮다더라 이래서 간 게 크기 때문에
지금은,지금은
내가 하고 싶은 일이 잘 없는 거 같다.,내가 하고 싶은 일이 잘 없는 거 같다.
뭔가 커서 나중에 졸업을 해서 이런 일을 할 거야 이렇다기보다는 일단,뭔가 커서 나중에 졸업을 해서 이런 일을 할 거야 이렇다기보다는 일단
대학을 졸업하는 게,대학을 졸업하는 게
최근에 가장 목표고,최근에 가장 목표고
졸업할려면 토익도 따야 되고 자격,졸업할려면 토익도 따야 되고 자격
증 같은 거 준비 해야 되고 이런 게 당장 눈 앞에 놓인 목표?,증 같은 거 준비 해야 되고 이런 게 당장 눈 앞에 놓인 목표?
라고 할 수 있지.,라고 할 수 있지.
어릴 때는,어릴 때는
그냥 장래 희망 이라던가 꿈이라던가 이런게 막연하게라도 있었던 거 같은데,그냥 장래 희망 이라던가 꿈이라던가 이런게 막연하게라도 있었던 거 같은데
대학 들어오면서는,대학 들어오면서는
현실을 더,현실을 더
보게 된다고 해야 되나?,보게 된다고 해야 되나?
좀 꿈이라기보다는,좀 꿈이라기보다는
취직,취직
뭐~ 업종 이런 생각을 더 많이 하는 거 같다.,뭐~ 업종 이런 생각을 더 많이 하는 거 같다.
니는 어때?,너는 어때?
약간 있지 옛날에는 그래도 좀,약간 있지 옛날에는 그래도 좀
내가 좋아하는 일을 하면서,내가 좋아하는 일을 하면서
약간 벌이가 안 되더라도 내가 행복한 게 낫지.,약간 벌이가 안 되더라도 내가 행복한 게 낫지.
나는 그래도 솔직히 주변 사람들이,나는 그래도 솔직히 주변 사람들이
일본어로 과를 들어가서 뭐~ 그게 얼마나 좋겠냐,일본어로 과를 들어가서 뭐~ 그게 얼마나 좋겠냐
요새는 중국어가 낫더라 뭐~ 다른 과를,요새는 중국어가 낫더라 뭐~ 다른 과를
가는 게 어떻겠냐 뭐~ 이런 식으로 말도 많이 했었고,가는 게 어떻겠냐 뭐~ 이런 식으로 말도 많이 했었고
