사투리,표준어
혹시 차 있어요?,혹시 차 있어요?
저 차는 없는데 저 자차는 없긴 한데,저 차는 없는데 저 자차는 없긴 한데
저는 차 있어요.,저는 차 있어요.
드라이브 같은 거 좋아하세요?,드라이브 같은 거 좋아하세요?
드라이브를 처음 차 뽑았을 때 개 되게 좋아했거든요.,드라이브를 처음 차 뽑았을 때 개 되게 좋아했거든요.
가고 싶고 막 그랬는데,가고 싶고 막 그랬는데
이제 운전을 쫌 자주 하다 보니.,이제 운전을 조금 자주 하다 보니.
되게 체력적으로 쫌 소모되지 않아요?,되게 체력적으로 조금 소모되지 않아요?
체력 소모 엄청 심해요 운전할 때,체력 소모 엄청 심해요 운전할 때
신경 써야 될게 너무 많은 거 같애요.,신경 써야 될게 너무 많은 거 같애요.
스트레스 쫌 겁나 받아요.,스트레스 조금 엄청 받아요.
어~ 진짜요 안 한다면서요.,어~ 진짜요 안 한다면서요.
저 운전병이었어가지고.,저 운전병이었어가지고.
누구보다 운전 잘하겠네,누구보다 운전 잘하겠네
버스 운전을 했었는데 이십오 인승 짝은 거.,버스 운전을 했었는데 이십오 인승 작은 거.
사십오 인승 그~ 시내버스 군용 버스 했었는데,사십오 인승 그~ 시내버스 군용 버스 했었는데
뒤에 사람들을 이렇게 태우고 가니까,뒤에 사람들을 이렇게 태우고 가니까
뒤집어지면 죽는다 살짝 이런 생각으로.,뒤집어지면 죽는다 살짝 이런 생각으로.
근데 운전하면은 진짜 피곤하고 어깨도 많이 아프고,근데 운전하면은 진짜 피곤하고 어깨도 많이 아프고
신경 써야 될 것도 너무 많잖아요 옆도 봐야 되고.,신경 써야 될 것도 너무 많잖아요 옆도 봐야 되고.
차라리 고속도로가 편하지.,차라리 고속도로가 편하지.
차라리 고속도로 편해 고속도로는 그냥 가면 되잖아요.,차라리 고속도로 편해 고속도로는 그냥 가면 되잖아요.
밟으면 가는데 시내에서는 뒤에 빵빵거리는 사람들이 너무 많아 가주고.,밟으면 가는데 시내에서는 뒤에 빵빵거리는 사람들이 너무 많아 가지고.
그렇게 많이 안 해봐 가지고 정확하겐 모르는데,그렇게 많이 안 해봐 가지고 정확하겐 모르는데
시내에서 빵빵 버리면 그냥 브레이크에 발을 살 올리라 카든데.,시내에서 빵빵 버리면 그냥 브레이크에 발을 살 올리라 하든데.
발을 사악 올리면은 그~ 난리 나는 거 아니에요?,발을 사악 올리면은 그~ 난리 나는 거 아니에요?
그러면 저희는 안 화나는데 그 사람만 화가 나니까.,그러면 저희는 안 화나는데 그 사람만 화가 나니까.
이게 쫌 여성 운전자라서 그런지  모르겠는데,이게 조금 여성 운전자라서 그런지  모르겠는데
차도 짝은 거거든요.,차도 작은 거거든요.
그래서 그런지 저 진짜 운전하면서 진짜 쫌 서러웠던 적 진짜 많아요.,그래서 그런지 저 진짜 운전하면서 진짜 조금 서러웠던 적 진짜 많아요.
경차 살짝 무시하는 그런 게 있지 않아요?,경차 살짝 무시하는 그런 게 있지 않아요?
엄청 무시하고 일단은 여자 운전자라는 생각을 가지고 있나 봐요.,엄청 무시하고 일단은 여자 운전자라는 생각을 가지고 있나 봐요.
내가 잘못한 거 아닌데 막 지가 막 썽질을 내 막.,내가 잘못한 거 아닌데 막 지가 막 성질을 내 막.
또 성격이 그러신 그러시다면서요.,또 성격이 그러신 그러시다면서요.
소심한 그런 성격이 쪼끔은 있다는 거 아니었어요?,소심한 그런 성격이 조금은 있다는 거 아니었어요?
지금은 이게 성격이 진짜 막 많이 바껴 가지고,지금은 이게 성격이 진짜 막 많이 바뀌어 가지고
한 번 도로 주행할 때 어떤 일이 있었냐면은,한 번 도로 주행할 때 어떤 일이 있었냐면은
제가 좀 경차라는 거에 대한 약간 그런 엄청 막 뒤에서 아저씨들이 막 뭐라 하고,제가 좀 경차라는 거에 대한 약간 그런 엄청 막 뒤에서 아저씨들이 막 뭐라 하고
그런 사람도 있어요 막 나는 운전 잘 하고 고 있는데 갑자기 뒤에서 빵 하면서,그런 사람도 있어요 막 나는 운전 잘 하고 고 있는데 갑자기 뒤에서 빵 하면서
그 사람이 따라와요 따라와서 보복운전 있잖아요.,그 사람이 따라와요 따라와서 보복운전 있잖아요.
바짝 붙여 가주고 운전자를 확인 한단 말이에요.,바짝 붙여 가지고 운전자를 확인 한단 말이에요.
굳이 그냥 가면 되는데 굳이 싸울라고.,굳이 그냥 가면 되는데 굳이 싸우려고.
했으면서 그냥 가지.,했으면서 그냥 가지.
그냥 가지 꼭 그렇게 꼭 그렇게 확인을 하고 가더라고요 그~ 아재들이.,그냥 가지 꼭 그렇게 꼭 그렇게 확인을 하고 가더라고요 그~ 아재들이.
진짜 그런 것들을 한 번 몇 번씩 겪으니까 그날 또 기분도 안 좋았어요,진짜 그런 것들을 한 번 몇 번씩 겪으니까 그날 또 기분도 안 좋았어요
기분도 안 좋은데 막 옆에서 막 그카 그니까 너무 짜증이 나는 거야 진짜.,기분도 안 좋은데 막 옆에서 막 그카 그러니까 너무 짜증이 나는 거야 진짜.
그냥 갑자기 미쳤는지 제가 그냥 달리다가,그냥 갑자기 미쳤는지 제가 그냥 달리다가
문을 살짝 열 길래 그~ 저도 그냥 바로 문 빵 열고,문을 살짝 열 길래 그~ 저도 그냥 바로 문 빵 열고
뭐 임마 뭘 쳐다보는데 이러면서 막,뭐 임마 뭘 쳐다보는데 이러면서 막
싸웠어요?,싸웠어요?
제가 너무 막 소리를 막 지르고 막 운전하다가,제가 너무 막 소리를 막 지르고 막 운전하다가
그래 가주고 갑자기 근데 그렇게 막,그래 가지고 갑자기 근데 그렇게 막
