사투리,표준어
최근에 어떤 게임을 하세요?,최근에 어떤 게임을 하세요?
솔직히 말해서 방금 한 이십 분 전까지 피시방에서 친구가 롤 리그 오브 레전드라는 게임을 했고,솔직히 말해서 방금 한 이십 분 전까지 피시방에서 친구가 롤 리그 오브 레전드라는 게임을 했고
그~ 이후에 최근에 자주 하는 게임은 플레이스테이션 포라고 알고 계실라나 모르겠는데 이게 콘솔이란 게임기인데 거기에서,그~ 이후에 최근에 자주 하는 게임은 플레이스테이션 포라고 알고 계실라나 모르겠는데 이게 콘솔이란 게임기인데 거기에서
용과 같이를 용과 같이라는 일본 게임을 주로 최근에 하고 있습니다.,용과 같이를 용과 같이라는 일본 게임을 주로 최근에 하고 있습니다.
리그 오브 레전드라고 말씀하셨는데 원래 전 배울려고 했었거든요 아는 후배한테 배울려고 했는데,리그 오브 레전드라고 말씀하셨는데 원래 전 배울려고 했었거든요 아는 후배한테 배울려고 했는데
네 시간만에 접었어요 너무 어려워가지고 혹시 주로 하시는 챔피언 있으세요?,네 시간만에 접었어요 너무 어려워가지고 혹시 주로 하시는 챔피언 있으세요?
저는 이게 롤은 이게 포지션 별로 나뉘잖아요 이게 저는 포지션을,저는 이게 롤은 이게 포지션 별로 나뉘잖아요 이게 저는 포지션을
아시 그니까 기억을 다 정보를 아실려나 모르겠는데 탑 미드 정글 바텀 서폿 이렇게 있는데,아시 그러니까 기억을 다 정보를 아실려나 모르겠는데 탑 미드 정글 바텀 서폿 이렇게 있는데
저는 서폿 외에는 전부 다 가는 편이고,저는 서폿 외에는 전부 다 가는 편이고
주로 하는 챔피는 챔피언은 탱커 막 든든한 챔피언들 막  앞에서 막아 주는 막,주로 하는 챔피는 챔피언은 탱커 막 든든한 챔피언들 막  앞에서 막아 주는 막
아실려나 모르겠는데 가렌하고 말파이트 모데카이저 막 이렇게 튼튼한 챔프를 좋아하는 편입니다 혹시,아실려나 모르겠는데 가렌하고 말파이트 모데카이저 막 이렇게 튼튼한 챔프를 좋아하는 편입니다 혹시
네 시간 만에 접으셨다 하셨는데 선생님이 좋지 않았던 게 아닐까 제도 저희 누나가,네 시간 만에 접으셨다 하셨는데 선생님이 좋지 않았던 게 아닐까 제도 저희 누나가
롤은 쫌 최근에 시작해 최근은 아니고 일 년 전에 시작하셨 시작했는데 그때도 남자 친구랑 을 시작했는데 막 남자 친구랑 맨날 욕먹어서,롤은 조금 최근에 시작해 최근은 아니고 일 년 전에 시작하셨 시작했는데 그때도 남자 친구랑 을 시작했는데 막 남자 친구랑 맨날 욕먹어서
막 하기 싫다 하더라구요 근데 저랑 같이하니까 저도 쫌 잘 하는 편은 아니어가지고 누나랑 막 아~ 막 누나도 죽고 저도 죽고 아~ 막 둘 다 죽었노 이런  하면서,막 하기 싫다 하더라구요 근데 저랑 같이하니까 저도 조금 잘 하는 편은 아니어가지고 누나랑 막 아~ 막 누나도 죽고 저도 죽고 아~ 막 둘 다 죽었어 이런  하면서
저랑 하다 보니까 재밌다더라구요 그러면서 전 남친이랑 헤어지고 누나 직장 쉴 때마다 저한테 와가지고 비 막 밤새,저랑 하다 보니까 재밌다더라구요 그러면서 전 남친이랑 헤어지고 누나 직장 쉴 때마다 저한테 와가지고 비 막 밤새
하루 종일 롤 하고 그러는데 그런 거 보면은 선생님이 좋지 않지 않았나 생각이 듭니다.,하루 종일 롤 하고 그러는데 그런 거 보면은 선생님이 좋지 않지 않았나 생각이 듭니다.
선생님이 저보다 한 살 어렸어요 후배 남자 후배였는데,선생님이 저보다 한 살 어렸어요 후배 남자 후배였는데
후배가 약간 아~ 누나 너무 못해  내가 할게 이러면서,후배가 약간 아~ 누나 너무 못해  내가 할게 이러면서
갑자기 자기 혼자서 한 세 시간을 하더라고요 제 아이디 가지고  어떻게 보면 배운 게 배운 겐 아니죠.,갑자기 자기 혼자서 한 세 시간을 하더라고요 제 아이디 가지고  어떻게 보면 배운 게 배운 겐 아니죠.
아니라서 최근에도 그래도 쪼금은 하긴 했었어요 했는데,아니라서 최근에도 그래도 쪼금은 하긴 했었어요 했는데
생각보다 옛날에 제가 스타크래프트를 좀 했었는데 그거보다는 좀 덜 재밌더라구요.,생각보다 옛날에 제가 스타크래프트를 좀 했었는데 그거보다는 좀 덜 재밌더라구요.
음~ 스타크래프트도 하는 것도 다 까먹었어요 까먹고 그나마 최근에 했던 게,음~ 스타크래프트도 하는 것도 다 까먹었어요 까먹고 그나마 최근에 했던 게
오버워치랑 총 쏘는 거 십구금 게임인데 아~ 배틀그라운드 그 게임을 했었는데 배틀그라운드도 이제,오버워치랑 총 쏘는 거 십구금 게임인데 아~ 배틀그라운드 그 게임을 했었는데 배틀그라운드도 이제
핵이 생기다 보니까 재미가 너무 없어지더라구요.,핵이 생기다 보니까 재미가 너무 없어지더라구요.
오버워치도 그렇고 핵이 너무 많이 늘어가지고 핵 유저들이 엄청 많아져가지고,오버워치도 그렇고 핵이 너무 많이 늘어가지고 핵 유저들이 엄청 많아져가지고
항상 예전부터 생각하던 건데  여자분들은 대부분 게임을 하면은,항상 예전부터 생각하던 건데  여자분들은 대부분 게임을 하면은
대부분 다 에프피에스 게임을 많이 좋아하더라구요 그니까 제가,대부분 다 에프피에스 게임을 많이 좋아하더라구요 그러니까 제가
에프피에스 게임을 안 좋아하는데 그게 에프피에스는 약간 피지컬이라고 해서 마우스 빠르기  약간 순간 판단력 이런 게 되게 좋아야 되는데,에프피에스 게임을 안 좋아하는데 그게 에프피에스는 약간 피지컬이라고 해서 마우스 빠르기  약간 순간 판단력 이런 게 되게 좋아야 되는데
전 왠지 모르겠는데,전 왠지 모르겠는데
이게 손가락이 되게 느리더라구요 머릿속으로는 빠르게 빠르게 되는데 손가락이 빨리 안 가져가지고 에임 소위 말하는 에임이 별로 안 좋거든요.,이게 손가락이 되게 느리더라구요 머릿속으로는 빠르게 빠르게 되는데 손가락이 빨리 안 가져가지고 에임 소위 말하는 에임이 별로 안 좋거든요.
그래가지고 제가 총 게임을 별로 안 좋아하는데 오버워치 처음 나왔을 때 약간 쫌,그래가지고 제가 총 게임을 별로 안 좋아하는데 오버워치 처음 나왔을 때 약간 조금
오버워치는 총 쏘는 거뿐만 아니라 뭐~ 근접 공격 캐리 뭐~ 그런 것도 있어가지고,오버워치는 총 쏘는 거뿐만 아니라 뭐~ 근접 공격 캐리 뭐~ 그런 것도 있어가지고
그거만 할려고 했는데 오버워치도 결국 에프피에스는 에프피에스더라구요 해 보니까,그거만 할려고 했는데 오버워치도 결국 에프피에스는 에프피에스더라구요 해 보니까
결제해서 했는데 샀는데 아~ 아마 한 한  서른 시간 했나 친구랑 같이  그렇게 하다가 결국,결제해서 했는데 샀는데 아~ 아마 한 한  서른 시간 했나 친구랑 같이  그렇게 하다가 결국
제가 볼 때는 육만 오천 원 주고 결제를 했는데 뽕을 못 뽑지 않았나 생각 들고,제가 볼 때는 육만 오천 원 주고 결제를 했는데 뽕을 못 뽑지 않았나 생각 들고
배틀그라운드는 해 봤는데 제가 스리디 멀미가 좀 심하더라구요 그래가지고 아는 형이랑,배틀그라운드는 해 봤는데 제가 스리디 멀미가 좀 심하더라구요 그래가지고 아는 형이랑
친구랑 같이했는데 괜히 제가 걸림돌이 돼가지고 막 막 형 살려 줘 살려 줘 막 이렇게 하면서 막,친구랑 같이했는데 괜히 제가 걸림돌이 돼가지고 막 막 형 살려 줘 살려 줘 막 이렇게 하면서 막
결국 괜히 걸림돌만 돼서 다 같이 죽기만 하고 그랬던 기억이 나네요.,결국 괜히 걸림돌만 돼서 다 같이 죽기만 하고 그랬던 기억이 나네요.
혹시 그거 말고는 뭐~ 아~ 스타크래프트 하셨다고 했지 스타크래프트는 그러면 한 몇 살 때쯤 하셨나요?,혹시 그거 말고는 뭐~ 아~ 스타크래프트 하셨다고 했지 스타크래프트는 그러면 한 몇 살 때쯤 하셨나요?
스타크래프트 초등학교 때 했었어가지고 그때 기억만 있고 어떻게 했으며,스타크래프트 초등학교 때 했었어가지고 그때 기억만 있고 어떻게 했으며
잘했는지 못했는지도 기억은 안 나요 그냥 했었다만 기억이 나가지구,잘했는지 못했는지도 기억은 안 나요 그냥 했었다만 기억이 나가지구
그럼 에프피에스를 못한다고 하셨는데 그러면 어떤 쪽을 좋아하시는 건가요?,그럼 에프피에스를 못한다고 하셨는데 그러면 어떤 쪽을 좋아하시는 건가요?
약간 전략적인 그런 게임을 좋아하시는 건가요?,약간 전략적인 그런 게임을 좋아하시는 건가요?
네 주로 그니까 손가락 빠르기랑 순간 판단력,네 주로 그러니까 손가락 빠르기랑 순간 판단력
이 두 개가 제 스스로 약간 약점이라고 생각하기 때문에 그 두 개를 필요로 하지 않는 약간,이 두 개가 제 스스로 약간 약점이라고 생각하기 때문에 그 두 개를 필요로 하지 않는 약간
시간제한도 없고 굳이 따지자면 전략을 쓰는,시간제한도 없고 굳이 따지자면 전략을 쓰는
그런 게임에 턴제 턴제 전략형 알피지 시뮬레이션 그런 게임을 좋아하는 편이예요.,그런 게임에 턴제 턴제 전략형 알피지 시뮬레이션 그런 게임을 좋아하는 편이예요.
굳이 따지면 최근에 한 게 굳이 따지자면 어~ 뭐가 있지?,굳이 따지면 최근에 한 게 굳이 따지자면 어~ 뭐가 있지?
혹시 막 턴제 게임이라던가 뭐~ 그런 걸 쫌 아는 게임이 있으신가요?,혹시 막 턴제 게임이라던가 뭐~ 그런 걸 조금 아는 게임이 있으신가요?
턴제 게임이라고 하시면 아레나 에이에프케이?,턴제 게임이라고 하시면 아레나 에이에프케이?
모바일 그거를 잠깐 했었는데 저는 턴제가 제 취향은 아니더라고요.,모바일 그거를 잠깐 했었는데 저는 턴제가 제 취향은 아니더라고요.
그 자체가 약 챔피언을 잘 뽑아야 되고 카드를 잘못 뽑으면 엄청 망해버리는 그런 게임이다 보니까 완전,그 자체가 약 챔피언을 잘 뽑아야 되고 카드를 잘못 뽑으면 엄청 망해버리는 그런 게임이다 보니까 완전
운빨  운빨이라서 그런 게임은 너무 싫더라고요 저는 그냥 서서히 제가 키워가는 걸 좋아하지,운빨  운빨이라서 그런 게임은 너무 싫더라고요 저는 그냥 서서히 제가 키워가는 걸 좋아하지
그렇게 운빨인 게임 별로 안 좋아해가지고 그래서 약간 리그 오브,그렇게 운빨인 게임 별로 안 좋아해가지고 그래서 약간 리그 오브
레전드도 안 좋아하는 경향이 없지 않아 있었던 거 같아요 약간 엠엠오는 아닌데,레전드도 안 좋아하는 경향이 없지 않아 있었던 거 같아요 약간 엠엠오는 아닌데
알피지 알피지 게임을 좀 좀 좋아하는 편이예요.,알피지 알피지 게임을 좀 좀 좋아하는 편이예요.
턴제 게임 중에는 뭐~ 아이에프케이 아레나라고 하셨는데  거기,턴제 게임 중에는 뭐~ 아이에프케이 아레나라고 하셨는데  거기
핸드폰 게임 대부분이 소위 말하는 갓챠라 해서 뽑기 시스템으로,핸드폰 게임 대부분이 소위 말하는 갓챠라 해서 뽑기 시스템으로
별 하나부터 별 다섯 개까지 막 랜덤으로 막 나오고 하잖아요.,별 하나부터 별 다섯 개까지 막 랜덤으로 막 나오고 하잖아요.
