사투리,표준어
야 니 엠비티아이 해 봤어?,야 너 엠비티아이 해 봤어?
뭐 나왔어 나는 이에스에프제이 사교적인 외교관?,뭐 나왔어 나는 이에스에프제이 사교적인 외교관?
이거 나오던데?,이거 나오던데?
사교적인 외교관 그건 그게 뭐야 나는,사교적인 외교관 그건 그게 뭐야 나는
아이엔티제이 용의 주도한 전략가 이거 나왔어.,아이엔티제이 용의 주도한 전략가 이거 나왔어.
완전 다르네 나는 진짜 외향적으로 나왔고,완전 다르네 나는 진짜 외향적으로 나왔고
니는 내향적으로 나왔네?,너는 내향적으로 나왔네?
근데 이거 분석을 보면은 이게 딱히 맞는 건지 잘 모르겠어.,근데 이거 분석을 보면은 이게 딱히 맞는 건지 잘 모르겠어.
우리 사실 성격 되게 비슷하다 아이가 근데 니랑 나랑 완전 정반대로 나왔잖아.,우리 사실 성격 되게 비슷하지 않니 근데 너랑 나랑 완전 정반대로 나왔잖아.
나는 내향적인 게 육십팔 프로 직관형 에너지 에너지 직관형 오십육프로,나는 내향적인 게 육십팔 프로 직관형 에너지 에너지 직관형 오십육프로
본성 이성적 사고형 오십삼 프로,본성 이성적 사고형 오십삼 프로
전술 오십일 프로,전술 오십일 프로
자아 자아 신중형 팔십육 프로 나 안 신중한대 뭔 소리야.,자아 자아 신중형 팔십육 프로 나 안 신중한대 뭔 소리야.
근데 나도 글 읽어 보는데,근데 나도 글 읽어 보는데
보면은 막 충동적인 걸 싫어한다 돼 있거든 근데 진짜 나도 맞는 게 충동적인 걸 너무 싫어해 나는,보면은 막 충동적인 걸 싫어한다 돼 있거든 근데 진짜 나도 맞는 게 충동적인 걸 너무 싫어해 나는
어디를 가든 여행을 가도 계획이 딱딱,어디를 가든 여행을 가도 계획이 딱딱
뭐 몇 시 버스 몇 시 지하철 몇 번 출구,뭐 몇 시 버스 몇 시 지하철 몇 번 출구
이런 거를 다 계획을 하고 뭐~ 어디 식당을 가도,이런 거를 다 계획을 하고 뭐~ 어디 식당을 가도
오늘은 쉬는지 몇 시에 여는지,오늘은 쉬는지 몇 시에 여는지
이런 게,이런 게
내 머릿속에 데이터가 다 박혀 있어야지 여행을 가는 타입이었어가지고,내 머릿속에 데이터가 다 박혀 있어야지 여행을 가는 타입이었어가지고
이런 거 비교해보니까 나는 맞는 거 같더라.,이런 거 비교해보니까 나는 맞는 거 같더라.
맞아 우리 어디 식당 하나가도 니 맨날 운전하고 있을 때 나한테,맞아 우리 어디 식당 하나가도 너 맨날 운전하고 있을 때 나한테
