사투리,표준어
요새 내가 좋아하는 스타일은,요새 내가 좋아하는 스타일은
는 그래도 쫌 나는 어~ 살짝 매직 하고,는 그래도 조금 나는 어~ 살짝 매직 하고
펌이 쫌 썪인 그런 그런 머리를 쫌 좋아해 가주고,펌이 조금 섞인 그런 그런 머리를 조금 좋아해 가주고
그니까 꼽슬이긴 한데 이렇게,그러니까 꼽슬이긴 한데 이렇게
정 그냥 쫌 엉망진창 그런 정도의 그런 꼽슬이 아니라 쫌 정돈되면서 쫌 예쁘게 이렇게 말려 있는,정 그냥 조금 엉망진창 그런 정도의 그런 꼽슬이 아니라 조금 정돈되면서 조금 예쁘게 이렇게 말려 있는
그런 헤어를 쫌 좋아하고 일단  패션은 그리고 나는 또 쫌,그런 헤어를 조금 좋아하고 일단  패션은 그리고 나는 또 조금
어~ 쫌 박스?,어~ 조금 박스?
그니까 쫌 위에 좀 펑퍼짐하게 입는,그러니까 조금 위에 좀 펑퍼짐하게 입는
그런 게 쫌 편하고 이렇게 하니까 나는 그런 패션도 좋아하고,그런 게 조금 편하고 이렇게 하니까 나는 그런 패션도 좋아하고
메이크업은 나는 되도록이면 나는 눈 화장 이런 데 되게 관심이 많은데,메이크업은 나는 되도록이면 나는 눈 화장 이런 데 되게 관심이 많은데
난 눈 화장 하는데 제일 신경 쓰는 게 속눈썹이랑,난 눈 화장 하는데 제일 신경 쓰는 게 속눈썹이랑
그~ 펄 펄 들어간 거,그~ 펄 펄 들어간 거
난 그렇게 화장하는 스타일을 좀 많이 좋아해.,난 그렇게 화장하는 스타일을 좀 많이 좋아해.
엄마는 무슨 스타일 좀 좋아해?,엄마는 무슨 스타일 좀 좋아해?
나는 어~ 뭐~,나는 어~ 뭐~
머리 헤어스타일 같은 경우에,머리 헤어스타일 같은 경우에
어~ 웨이브가 굵은 웨이브가 있는,어~ 웨이브가 굵은 웨이브가 있는
매직을 하고 굵은 웨이브가 있는 아직 자연스러운 스타일을 참 좋아하긴 좋아하는데,매직을 하고 굵은 웨이브가 있는 아직 자연스러운 스타일을 참 좋아하긴 좋아하는데
근데 그런 스타일을 만들려면 내 머리를 우선 매직 파마를 한 다음에,근데 그런 스타일을 만들려면 내 머리를 우선 매직 파마를 한 다음에
디지털 펌인가 그~ 쪼끔 쫌 가격대가 비싼 그런 웨이브를 넣어 줌으로써 이게,디지털 펌인가 그~ 쪼끔 조금 가격대가 비싼 그런 웨이브를 넣어 줌으로써 이게
아주 자연스러운 그니까 약간 인형 머리 같은 그런 스타일이 된대.,아주 자연스러운 그러니까 약간 인형 머리 같은 그런 스타일이 된대.
뭐~ 근데 그런 스타일 좋아할 뿐이지,뭐~ 근데 그런 스타일 좋아할 뿐이지
뭐~ 굳이 미용실은 가지 않고 엄마 나는 뭐~ 집에서,뭐~ 굳이 미용실은 가지 않고 엄마 나는 뭐~ 집에서
