사투리,표준어
혹시 지금 남자친구 있으신가요?,혹시 지금 남자친구 있으신가요?
아 아니요 지금은 남자친구 없구요 오래 만났던 남자친구가 있었는데,아 아니요 지금은 남자친구 없구요 오래 만났던 남자친구가 있었는데
삼 년 정도 만났었거든요 삼 년 아 삼 년이 아니라 오 년 정도 만났는데,삼 년 정도 만났었거든요 삼 년 아 삼 년이 아니라 오 년 정도 만났는데
어~ 저는 결혼할 생각이 없는데 그 친구는 결혼할 생각이 있어서,어~ 저는 결혼할 생각이 없는데 그 친구는 결혼할 생각이 있어서
그~  헤어졌구요 작년,그~  헤어졌구요 작년
가을쯤에 헤어져서 이제 거의 한 일 년 정도 혼자,가을쯤에 헤어져서 이제 거의 한 일 년 정도 혼자
그냥 연애 안 하고 있습니다 혹시 뭐 연애나 결혼하셨나요?,그냥 연애 안 하고 있습니다 혹시 뭐 연애나 결혼하셨나요?
아~ 저는 연애한 지는 한,아~ 저는 연애한 지는 한
이제 한 일 년?,이제 한 일 년?
다 되 가는 거 같은데,다 되 가는 거 같은데
오 년이면,오 년이면
되게 길게 하신 것 같은데,되게 길게 하신 것 같은데
그냥 결혼하자고만 해서 헤어지신 건가요 아니면 다른 이유가 또 있으신지 궁금하네요.,그냥 결혼하자고만 해서 헤어지신 건가요 아니면 다른 이유가 또 있으신지 궁금하네요.
전에 남자친구가 저랑 나이 차이가 적지는 않은 편이었거든요 네 살 차이였는데 그래서,전에 남자친구가 저랑 나이 차이가 적지는 않은 편이었거든요 네 살 차이였는데 그래서
저도 이제 쪼끔 저는 이제 이십 대 후반이거든요 이십 대 후반이고,저도 이제 쪼끔 저는 이제 이십 대 후반이거든요 이십 대 후반이고
그 친구는 삼십 대가 넘어가고 하다 보니까 친구들이 쫌 주변에 한 명 두 명 결혼을 하고 해서,그 친구는 삼십 대가 넘어가고 하다 보니까 친구들이 조금 주변에 한 명 두 명 결혼을 하고 해서
결 자기도 계속 결혼을 하고 싶다는 식으로 얘기를 하더라구요.,결 자기도 계속 결혼을 하고 싶다는 식으로 얘기를 하더라구요.
근데 저는 처음부터 결혼할 생각은 없었어서,근데 저는 처음부터 결혼할 생각은 없었어서
연애를 하면 했지 결혼은,연애를 하면 했지 결혼은
별로 하고 싶지 않았거든요 그래서 결혼을 안 하게 됐구요.,별로 하고 싶지 않았거든요 그래서 결혼을 안 하게 됐구요.
이렇게 얘기가 나오다 보니까,이렇게 얘기가 나오다 보니까
제가 이 친구랑 결혼할 마음이 없는데,제가 이 친구랑 결혼할 마음이 없는데
계속 얘를 붙잡고 있는 게 얘의 입장에서는,계속 얘를 붙잡고 있는 게 얘의 입장에서는
기회를 뺏는 거일 수도 있잖아요 그래서 얘기를 하다가 그냥 뭐~,기회를 뺏는 거일 수도 있잖아요 그래서 얘기를 하다가 그냥 뭐~
