사투리,표준어
그럼 자격증에 대해서 말해 볼까요?,그럼 자격증에 대해서 말해 볼까요?
야 나는 요즘 생각이 좀 많은 게,야 나는 요즘 생각이 좀 많은 게
요즘 코로나 시기잖아 코로나 시기 보니까 카페에 이제 일거리도 많이 줄,요즘 코로나 시기잖아 코로나 시기 보니까 카페에 이제 일거리도 많이 줄
이제 손님도 많이 줄고 거기다가 매출이 감소하다 보니까 사장님이 이제 곧,이제 손님도 많이 줄고 거기다가 매출이 감소하다 보니까 사장님이 이제 곧
이제 폐업을 하실 거라고 하대 하더라고,이제 폐업을 하실 거라고 하대 하더라고
그렇다 보니까,그렇다 보니까
내가 앞으로 해야 할,내가 앞으로 해야 할
일은 계속 해야 되잖아 아직 나는,일은 계속 해야 되잖아 아직 나는
어~ 은퇴를 하기에는 너무 이른 나이이기 때문에,어~ 은퇴를 하기에는 너무 이른 나이이기 때문에
근데 생각을 해 보니까 내가 학교에서 이제,근데 생각을 해 보니까 내가 학교에서 이제
작업 치료사 면허증을 국시를 통해서,작업 치료사 면허증을 국시를 통해서
따고 나서는 솔직히 운전 면허,따고 나서는 솔직히 운전 면허
이것 밖에 없는 거야 그리고,이것 밖에 없는 거야 그리고
이제 내일배움카드로 해서 바리스타자격증을 따긴 땄는데,이제 내일배움카드로 해서 바리스타자격증을 따긴 땄는데
솔직히 내가,솔직히 내가
그 자격증을 딴 데가 그렇게 막,그 자격증을 딴 데가 그렇게 막
신뢰성 있는 그런,신뢰성 있는 그런
협회에서 딴 자격증이 아니란 말이야.,협회에서 딴 자격증이 아니란 말이야.
그래서 전부 다 애매모호한 거야.,그래서 전부 다 애매모호한 거야.
그리고 거기다가 이번에 폐업을 하게 되면은,그리고 거기다가 이번에 폐업을 하게 되면은
내가 이번에는 실업 급여를 받게 되거든?,내가 이번에는 실업 급여를 받게 되거든?
근데 실업 급여를 받으면서도 교육을 받을 수 있는 환경을 환경을,근데 실업 급여를 받으면서도 교육을 받을 수 있는 환경을 환경을
되는 거야 내가 이제 쉬는 타임이 있으니까,되는 거야 내가 이제 쉬는 타임이 있으니까
그렇다 보니까 내가 여태까지 어~ 배워 보고 싶다고,그렇다 보니까 내가 여태까지 어~ 배워 보고 싶다고
이제 이런 자격증을 따면은 앞으로 내,이제 이런 자격증을 따면은 앞으로 내
향후 몇 년 동안은 직업을 삼을 수 있을 거라고 생각하는 것들을 배워 보고  싶거든?,향후 몇 년 동안은 직업을 삼을 수 있을 거라고 생각하는 것들을 배워 보고  싶거든?
그 중에 하나는 이제 내가 집에서 이제,그 중에 하나는 이제 내가 집에서 이제
유튜브 통해서 레시피 보면서 간간이 만드는 베이킹,유튜브 통해서 레시피 보면서 간간이 만드는 베이킹
그 중에서 제빵은 나랑 성격이 뭔가 안 맞고,그 중에서 제빵은 나랑 성격이 뭔가 안 맞고
제과에 대해서 배워 보고 싶고,제과에 대해서 배워 보고 싶고
또 요즘은 언택트 시대라고 하잖아.,또 요즘은 언택트 시대라고 하잖아.
그래서 컴퓨터 활용 능력을 좀 더 늘리고 싶어.,그래서 컴퓨터 활용 능력을 좀 더 늘리고 싶어.
특히 포토샵이랑 아니면 일러스트,특히 포토샵이랑 아니면 일러스트
이런 것들에 대해서 배워 보고 싶은 생각이 드는 거야.,이런 것들에 대해서 배워 보고 싶은 생각이 드는 거야.
그리고 이런 부분들을 내가 계속 공부를 하게 되면,그리고 이런 부분들을 내가 계속 공부를 하게 되면
이런 것들로 내가 온라인을 통해서 수익을 얻을 수 있다라는 그런 글을 많이 보게 되거든?,이런 것들로 내가 온라인을 통해서 수익을 얻을 수 있다라는 그런 글을 많이 보게 되거든?
많이 접하고 있고?,많이 접하고 있고?
그래서 요런 자격증 공부를 해 볼까 생각을 하는 중이야.,그래서 요런 자격증 공부를 해 볼까 생각을 하는 중이야.
너는 요즘 들어 배우고 싶거나 아니면은 자격증을 따고 싶다고 생각하는 것들이 있어?,너는 요즘 들어 배우고 싶거나 아니면은 자격증을 따고 싶다고 생각하는 것들이 있어?
나도 너랑 같은 졸업 동기로서,나도 너랑 같은 졸업 동기로서
작업치료 면허증 외에는 딱히 없는 거야 작업 치료와 관련된,작업치료 면허증 외에는 딱히 없는 거야 작업 치료와 관련된
교육 이수증이나 이런 거는 되게 많은데,교육 이수증이나 이런 거는 되게 많은데
병원을 나서고 나면 내가 뭐를 할 수 있을까라는 생각이 작년부터 들어 가지고,병원을 나서고 나면 내가 뭐를 할 수 있을까라는 생각이 작년부터 들어 가지고
그래서 이제 집을 가다가 복도에,그래서 이제 집을 가다가 복도에
이제 인터넷으로 들으면 이게 자격증 주는 것도 있는 이거 교육 들어 가지고 시험 치면 주는 게 있어 가지고,이제 인터넷으로 들으면 이게 자격증 주는 것도 있는 이거 교육 들어 가지고 시험 치면 주는 게 있어 가지고
내가 최근에 딴 거는 이미지 메이킹이 급하고,내가 최근에 딴 거는 이미지 메이킹이 급하고
이 이미지 메이킹 같은 경우에는,이 이미지 메이킹 같은 경우에는
아~ 개인적으로 좀 배우고 보고 싶었어 나 이미지가 어떻게 바뀔 수가 있는지,아~ 개인적으로 좀 배우고 보고 싶었어 나 이미지가 어떻게 바뀔 수가 있는지
이 이미지라는 게 사람이 시각화 눈으로 보는 게 있어 가지고,이 이미지라는 게 사람이 시각화 눈으로 보는 게 있어 가지고
이 사람이 약간 임원쪽이나 이쪽이야.,이 사람이 약간 임원쪽이나 이쪽이야.
근데 늘,근데 늘
내가 다른 사람들한테 좀 멋있어 보고 싶고 뭐~ 이렇게 보이고 싶어 하는 거야.,내가 다른 사람들한테 좀 멋있어 보고 싶고 뭐~ 이렇게 보이고 싶어 하는 거야.
그거를 이미지 코칭 해 주는 거야.,그거를 이미지 코칭 해 주는 거야.
그게 이미지 메이킹 해 가지고 이미지 메이킹 이 급이고,그게 이미지 메이킹 해 가지고 이미지 메이킹 이 급이고
또 내가 우리 병원에 환자분이나 상사나,또 내가 우리 병원에 환자분이나 상사나
분노가 조절을 하도 못 해 가지고,분노가 조절을 하도 못 해 가지고
이러고 있다가 나도 내 성격 베릴 거 같아가지고,이러고 있다가 나도 내 성격 버릴 거 같아가지고
분노조절상담사를 땄어.,분노조절상담사를 땄어.
일 급으로,일 급으로
또 거 그거랑,또 거 그거랑
분노조절상담사랑,분노조절상담사랑
나중에 내가 아동을 가고 싶은 생각이 있어 가지고 아니면,나중에 내가 아동을 가고 싶은 생각이 있어 가지고 아니면
또 생각을 해 봤지 아~ 이것도 이제 자격증 딴 따는 것도,또 생각을 해 봤지 아~ 이것도 이제 자격증 딴 따는 것도
감각 통화 자격증도 있으니까,감각 통화 자격증도 있으니까
감각 통화 자격증에서 내가 좀 더,감각 통화 자격증에서 내가 좀 더
어~ 좀 엄마랑 얘기나 부모님이랑 좀 잘 해 가지고 요새는 좀 말도 잘 해야지.,어~ 좀 엄마랑 얘기나 부모님이랑 좀 잘 해 가지고 요새는 좀 말도 잘 해야지.
그게 있으니까 부모 상담사를 땄어.,그게 있으니까 부모 상담사를 땄어.
근데 이거를 따도 보니까 너무 보건 계열쪽이고 아~ 회사에서는 뭐 쓸 만한 게 없나 하다가,근데 이거를 따도 보니까 너무 보건 계열쪽이고 아~ 회사에서는 뭐 쓸 만한 게 없나 하다가
요샌 공무원 준비한다고 근현대사 자격증을 딴다거나 컴활 자격증이라던가 아이티큐나 이런 거 따잖아?,요샌 공무원 준비한다고 근현대사 자격증을 딴다거나 컴활 자격증이라던가 아이티큐나 이런 거 따잖아?
나는 뭐~ 아이티큐 있으니까 다시 재시험만 봐 가지고 등급 유지만 시키면 되는데 요새는 또 삼 년 만에 갱신을 해야 되더라고,나는 뭐~ 아이티큐 있으니까 다시 재시험만 봐 가지고 등급 유지만 시키면 되는데 요새는 또 삼 년 만에 갱신을 해야 되더라고
나는 옛날에 따 가지고 갱신 할 필요는 없고 자격증 시험 한 번만 치면 되는데,나는 옛날에 따 가지고 갱신 할 필요는 없고 자격증 시험 한 번만 치면 되는데
좀 어렵더라 한 번 봤더니까?,좀 어렵더라 한 번 봤더니까?
자격증 시험도 옛날에는 한자나 이런 게 있었는데 요샌 다 컴퓨터로 많이 치더라고,자격증 시험도 옛날에는 한자나 이런 게 있었는데 요샌 다 컴퓨터로 많이 치더라고
또 그거랑,또 그거랑
이제 또 회사에 취업하고 싶어 가지고 알아보니까,이제 또 회사에 취업하고 싶어 가지고 알아보니까
나는 서비스 쪽에 나중에 가도 잘 해겠다는 생각이 들어 가지고 씨에스 리더스라는 자격증을 땄어 이번 올해 일 월 달에,나는 서비스 쪽에 나중에 가도 잘 하겠다는 생각이 들어 가지고 씨에스 리더스라는 자격증을 땄어 이번 올해 일 월 달에
씨에스 리더스 자격증 같은 부분은 고객이 어떤 거를 만족을 하는지,씨에스 리더스 자격증 같은 부분은 고객이 어떤 거를 만족을 하는지
그니까 서비스도 전문화가 돼야 되는 거야 언제까지 고객은 왕이다,그러니까 서비스도 전문화가 돼야 되는 거야 언제까지 고객은 왕이다
고객님 하면서 맞춰 줄 수가 없어 가지고 그 서비스에 대한 기준을,고객님 하면서 맞춰 줄 수가 없어 가지고 그 서비스에 대한 기준을
놔두는 게 씨에스 리더스 자격증이야.,놔두는 게 씨에스 리더스 자격증이야.
그~ 이번에 턱걸이로 통과를 했어 나는 그걸 삼 주 만에 시험을 쳐 가지고,그~ 이번에 턱걸이로 통과를 했어 나는 그걸 삼 주 만에 시험을 쳐 가지고
같이 일한 선생님을 꼬셔 가지고 같이 하죠 했다가 그 선생님은 떨어지고,같이 일한 선생님을 꼬셔 가지고 같이 하죠 했다가 그 선생님은 떨어지고
나도 떨어졌다가,나도 떨어졌다가
문제가 한 문제 잘못 돼 가지고 간신히 붙었지.,문제가 한 문제 잘못 돼 가지고 간신히 붙었지.
그 때 내가 시험을 치면서,그 때 내가 시험을 치면서
내 앞에 사람 문제를 컨닝 두 번을 했어.,내 앞에 사람 문제를 컨닝 두 번을 했어.
그 친구 이름 아직도 기억이 나 라고,그 친구 이름 아직도 기억이 나 라고
그~ 세상에 이란 애는 좀 싫어져 가지고 어~ 그건 좀 뭐~ 예삿일이고,그~ 세상에 이란 애는 좀 싫어져 가지고 어~ 그건 좀 뭐~ 예삿일이고
아무튼,아무튼
이제 씨에스 리더스를 따게 됐고 이거 있으면 그래도 나중에,이제 씨에스 리더스를 따게 됐고 이거 있으면 그래도 나중에
좀 씨에트 팀이나 이런 인사부나 이런 데에 서비스업 쪽에서는 나름 좀 좋게 보지 않을까라는 생각이 들어서,좀 씨에트 팀이나 이런 인사부나 이런 데에 서비스업 쪽에서는 나름 좀 좋게 보지 않을까라는 생각이 들어서
이쪽을 따게 됐고,이쪽을 따게 됐고
래는 나도,래는 나도
이게 국가에서 지원해주는 이제,이게 국가에서 지원해주는 이제
너가 말한 국가 근로 이제 그~ 실업 그러,너가 말한 국가 근로 이제 그~ 실업 그러
어~ 갑자기  기억이 안 나네?,어~ 갑자기  기억이 안 나네?
아무튼 이제 국비 지원 해 주는 거 국비를 가지고 에스엠에이티라는 자격증을 신청 하게 됐어.,아무튼 이제 국비 지원 해 주는 거 국비를 가지고 에스엠에이티라는 자격증을 신청 하게 됐어.
이 에스엠에이티라는 거가 씨에스보다 좀 더 전문화 된 국가 공인 자격증인데,이 에스엠에이티라는 거가 씨에스보다 좀 더 전문화 된 국가 공인 자격증인데
이거는 기업에서,이거는 기업에서
이제 씨에스 기업에 씨에스야,이제 씨에스 기업에 씨에스야
이게 종사자 업무 종사자들이 어떻게 해야 되나 생각 들면 이건 기업에서 중간 관리자들이,이게 종사자 업무 종사자들이 어떻게 해야 되나 생각 들면 이건 기업에서 중간 관리자들이
어떻게 고객한테 씨에스를 해고 경영에 대한 씨에스를 놔두는 거야 경영 서비스 업에 대한,어떻게 고객한테 씨에스를 하고 경영에 대한 씨에스를 놔두는 거야 경영 서비스 업에 대한
어떻게 하면 고객이  수 있고 이 서비스 사에 이걸 이용해 가지고 이런 서비스 가지고 서비스 사업을 하는 거지.,어떻게 하면 고객이  수 있고 이 서비스 사에 이걸 이용해 가지고 이런 서비스 가지고 서비스 사업을 하는 거지.
이것도  어~ 한 그걸 어떻게 알게 됐냐면,이것도  어~ 한 그걸 어떻게 알게 됐냐면
무역과 나온 이제 내 친구에 친구가 있는데 얘가 얘기를 해 주더라고,무역과 나온 이제 내 친구에 친구가 있는데 얘가 얘기를 해 주더라고
보통 씨에스가 있으면 웬만한 일반 회사 취업이 될 건데,보통 씨에스가 있으면 웬만한 일반 회사 취업이 될 건데
에스엠에이티까지 따면 더더욱 좋다라고 설명을 해 주는 거야.,에스엠에이티까지 따면 더더욱 좋다라고 설명을 해 주는 거야.
나는 요새 이제 집에 집 운동 집 운동 안 하니까 머리가 쓸 게 없어 가지고,나는 요새 이제 집에 집 운동 집 운동 안 하니까 머리가 쓸 게 없어 가지고
뭔가 엄청난 노력을 되게 하고 싶은데,뭔가 엄청난 노력을 되게 하고 싶은데
그렇다고 내가,그렇다고 내가
게 회계나 이런 데는 내 스타일은 아니고,게 회계나 이런 데는 내 스타일은 아니고
난 좀 사람하고 교류하거나 이런 거에 대해서 살짝 머리 쓰는 게 좋은데,난 좀 사람하고 교류하거나 이런 거에 대해서 살짝 머리 쓰는 게 좋은데
그러기에는 보건 계열이 제일 만만하고 좋긴 하지만 아~ 이걸로 돈 벌어 먹는 건 아닌 거 같고 일반 회사도 들어 가 보고 싶고 그래 가지고,그러기에는 보건 계열이 제일 만만하고 좋긴 하지만 아~ 이걸로 돈 벌어 먹는 건 아닌 거 같고 일반 회사도 들어 가 보고 싶고 그래 가지고
그 친구에 말을 인제 들어 가지고,그 친구에 말을 인제 들어 가지고
에스엠에이티가 에이 비 씨 하면서 세 가지가 있는데,에스엠에이티가 에이 비 씨 하면서 세 가지가 있는데
에이는 매너나 이런 내용이라가서 좀 굉장히 재밌어 근데 뒤로 갈수록,에이는 매너나 이런 내용이라가서 좀 굉장히 재밌어 근데 뒤로 갈수록
