사투리,표준어
호칭을 뭘로 불러요  님이라고 불러요?,호칭을 뭘로 불러요  님이라고 불러요?
네 저는 그렇게 불러 주시면 되고 저는 그러면,네 저는 그렇게 불러 주시면 되고 저는 그러면
저는 그러면 저는 그럼  님이라고 불러도 괜찮아요?,저는 그러면 저는 그럼  님이라고 불러도 괜찮아요?
예 예.,예 예.
님 혹시 요즘 인기가 좋은 사 차 산업 혁명이 있는데,님 혹시 요즘 인기가 좋은 사 차 산업 혁명이 있는데
그~ 사 차 산업 혁명 중에서 특히 관심이 가는 쪽이 있나요?,그~ 사 차 산업 혁명 중에서 특히 관심이 가는 쪽이 있나요?
어~ 네 저는 요즘에 그런 관심사 아~,어~ 네 저는 요즘에 그런 관심사 아~
이 차 네 저는 요즘에 그~ 사 차 산업 혁명 중,이 차 네 저는 요즘에 그~ 사 차 산업 혁명 중
그~ 에이아이 네 인공지능을 쫌 관심 있게 보고 있습니다.,그~ 에이아이 네 인공지능을 조금 관심 있게 보고 있습니다.
요새 제가 지금 대학생인데,요새 제가 지금 대학생인데
어~ 제가 지금 전공하고 있는 분야에도,어~ 제가 지금 전공하고 있는 분야에도
에이아이 인공지능 기술이 되게 많이 적용이 되어 있더라구요.,에이아이 인공지능 기술이 되게 많이 적용이 되어 있더라구요.
그래서 지금 그 부분도 활발하게 공부를 하고 있습니다.,그래서 지금 그 부분도 활발하게 공부를 하고 있습니다.
어제 잠시 티비를 보다가,어제 잠시 티비를 보다가
그~ 인공지능 그~ 이 저 이천십육 년에 혹시 알파고랑,그~ 인공지능 그~ 이 저 이천십육 년에 혹시 알파고랑
이세돌이랑 그~ 바둑 둔 거 기억나세요?,이세돌이랑 그~ 바둑 둔 거 기억나세요?
게서 그~ 그거를,그래서 그~ 그거를
어~ 일단은 그때는 사 승 일 패로 알파고가 이겼는데,어~ 일단은 그때는 사 승 일 패로 알파고가 이겼는데
어제 티비를 보다가 문득 이세돌 구단을 이긴 또 다른,어제 티비를 보다가 문득 이세돌 구단을 이긴 또 다른
진 누구라는 사람이 나왔던데 그 사람이 앞으로 알파고 말고,진 누구라는 사람이 나왔던데 그 사람이 앞으로 알파고 말고
그~ 앞으로 다시 이세돌 이세돌처럼 그~ 알파고랑 붙으면,그~ 앞으로 다시 이세돌 이세돌처럼 그~ 알파고랑 붙으면
어떻게 될 거냐고 물어봤더니 그 사람은 일단은 그때,어떻게 될 거냐고 물어봤더니 그 사람은 일단은 그때
그때랑 지금이랑 많이 다르기 때문에 연구도 많이 했고,그때랑 지금이랑 많이 다르기 때문에 연구도 많이 했고
해 볼 만한 게임이라고 얘기를 하더라구요 게서 혹시,해 볼 만한 게임이라고 얘기를 하더라구요 그래서 혹시
그~ 앞으로 인공지능이 우리 사회에,그~ 앞으로 인공지능이 우리 사회에
미칠 영향 이런 거를 생각해 보셨어요?,미칠 영향 이런 거를 생각해 보셨어요?
네 생각해 봤습니다 네 인공지능이,네 생각해 봤습니다 네 인공지능이
바둑 등 스포츠 같은 분야에서도 되게 많이 대체될 거라 생각합니다.,바둑 등 스포츠 같은 분야에서도 되게 많이 대체될 거라 생각합니다.
하지만 이~ 인공지능이 모든 분야를 대체를 하면서,하지만 이~ 인공지능이 모든 분야를 대체를 하면서
인간이 활동할 수 있는 분야가 쫌 쭐어들지 않을까라는 좀 걱정도 좀 들기도 하고요.,인간이 활동할 수 있는 분야가 조금 줄어들지 않을까라는 좀 걱정도 좀 들기도 하고요.
그래서 이~ 에이아이 산업이 활발하게 된다면 이~,그래서 이~ 에이아이 산업이 활발하게 된다면 이~
쭐어들 수 있는 일자리를,줄어들 수 있는 일자리를
에이아이 기술 부수 또 프로그래밍 할 수 있는 직종으로,에이아이 기술 부수 또 프로그래밍 할 수 있는 직종으로
인력을 더 늘릴 수 있으면은,인력을 더 늘릴 수 있으면은
실업 문제도 쫌 해결되지 않을까 그렇게 생각합니다.,실업 문제도 조금 해결되지 않을까 그렇게 생각합니다.
요새 그러면 그~  님께서는 알파고나 인공지능 거 같,요새 그러면 그~  님께서는 알파고나 인공지능 거 같
인공지능 같이 말고 쫌 다른 쪽으로,인공지능 같이 말고 조금 다른 쪽으로
에이아이가 어떻게 적용될 수 있다고 생각을 하시는 겁니까?,에이아이가 어떻게 적용될 수 있다고 생각을 하시는 겁니까?
저는 에이아이 하면 생각나는 게,저는 에이아이 하면 생각나는 게
어~ 저희 애들을 초등학교 때는,어~ 저희 애들을 초등학교 때는
애들을 데리고 많이 어디론가 돌아다녔던 거 같애요 박물관이랑 과학관이랑,애들을 데리고 많이 어디론가 돌아다녔던 거 같애요 박물관이랑 과학관이랑
어~ 여러 가지 역사랑 관계되는 곳들을 여러 다녔는데,어~ 여러 가지 역사랑 관계되는 곳들을 여러 다녔는데
그중에서도 기억에 남는 게 그~ 초읍에 가면 엘지 과학관이라고 있었어요.,그중에서도 기억에 남는 게 그~ 초읍에 가면 엘지 과학관이라고 있었어요.
그때 저희 애들을 삼 삼 학년 사 학년 오 학년 고 정도 때일 거 같은데,그때 저희 애들을 삼 삼 학년 사 학년 오 학년 고 정도 때일 거 같은데
그때 당시에 그~ 엘지  과학관에 가면,그때 당시에 그~ 엘지  과학관에 가면
어~ 누구 누구야 엘지야 뭐~ 지금 냉장고에 뭐가 있어라고 얘기를 하면,어~ 누구 누구야 엘지야 뭐~ 지금 냉장고에 뭐가 있어라고 얘기를 하면
그~ 냉장고에 뭐가 들었다든지 이런 거를 다 얘기를 해 주는 거예요.,그~ 냉장고에 뭐가 들었다든지 이런 거를 다 얘기를 해 주는 거예요.
