사투리,표준어
첫 번째 주제 드라마입니다.,첫 번째 주제 드라마입니다.
니 요즘 보는 드라마 있어?,너 요즘 보는 드라마 있어?
나는 드라마를 자주 보는 스타일은 아닌데,나는 드라마를 자주 보는 스타일은 아닌데
요새는 넷플릭스 자주 본다 왜냐하면,요새는 넷플릭스 자주 봐 왜냐하면
실시간 방송은 잘 안 보는 편이라서 재방송으로 돌려보는 한 번에 몰아 보는 게,실시간 방송은 잘 안 보는 편이라서 재방송으로 돌려보는 한 번에 몰아 보는 게
재밌어서 그렇게 본다.,재밌어서 그렇게 봐.
추천해 주는 거 추천해 줄 거 있어 드라마 중에?,추천해 주는 거 추천해 줄 거 있어 드라마 중에?
니는 어떤 스 어떤 장르 드라마 좋아하는데?,너는 어떤 스 어떤 장르 드라마 좋아하는데?
나는 일단 예쁘고 잘생겨야 돼.,나는 일단 예쁘고 잘생겨야 돼.
그래야 보는 맛이 있거든.,그래야 보는 맛이 있거든.
내용이 재미없더라도 눈이 쫌 즐거우니까.,내용이 재미없더라도 눈이 조금 즐거우니까.
니가 내한테 예전에 말했던 드라마는 전부 거의 장르물이지 않았나?,네가 나한테 예전에 말했던 드라마는 전부 거의 장르물이지 않았니?
약간 범죄나 스릴러물이나 로맨스 같은 거는,약간 범죄나 스릴러물이나 로맨스 같은 거는
추천 안 해 줬던 거 같은데 자 니 연애물이나 이런 것도 자주 보나?,추천 안 해 줬던 거 같은데 자 너 연애물이나 이런 것도 자주 보니?
자주 보는 건 아니고 니가,자주 보는 건 아니고 네가
말하는 것처럼 더 많이 보는 거 같긴 해.,말하는 것처럼 더 많이 보는 거 같긴 해.
근데 요즘은 거의 다 로맨스 드라마였으니까,근데 요즘은 거의 다 로맨스 드라마였으니까
혹시 거기서 추천해 줄 만한 게 있을까?,혹시 거기서 추천해 줄 만한 게 있을까?
근데 알다시피 내가 로맨스 드라마를 잘 안 보는데 옛날 드라마도 괜찮나?,근데 알다시피 내가 로맨스 드라마를 잘 안 보는데 옛날 드라마도 괜찮니?
괜찮지.,괜찮지.
그럼 니 커피프린스 일 호점 들어봤나?,그럼 너 커피프린스 일 호점 들어봤니?
그 드라마 유명해서 너무 잘 알지.,그 드라마 유명해서 너무 잘 알지.
주인공 누구누구 나오게?,주인공 누구누구 나오게?
공유 김동욱 여자 그~ 여자 배우 누구지?,공유 김동욱 여자 그~ 여자 배우 누구지?
이름이 갑자기 생각이 안 난다.,이름이 갑자기 생각이 안 나.
니 웃기네?,너 웃기네?
여자 연예인만 이름 기억 안 하네?,여자 연예인만 이름 기억 안 하네?
윤은혜 알고 윤은혜 이름 들어봤제?,윤은혜 알고 윤은혜 이름 들어봤지?
이름이 생각이 안 났어.,이름이 생각이 안 났어.
아무튼 그~ 커피프린스 일 호점이,아무튼 그~ 커피프린스 일 호점이
주지훈도 나온다.,주지훈도 나온다.
맞제?,맞지?
그건 궁이지.,그건 궁이지.
궁에 주지훈이 나오는구나.,궁에 주지훈이 나오는구나.
거기 여주인공도 윤은혜,거기 여주인공도 윤은혜
그래서 내가 헷갈렸나 보다.,그래서 내가 헷갈렸나 보다.
커피프린스 일 호점이 여름에 나왔는데,커피프린스 일 호점이 여름에 나왔는데
연출이 여자가 했어.,연출이 여자가 했어.
그까 여자 감독이 했어.,그러니까 여자 감독이 했어.
그래서 이~ 여자 심리를 너무 잘 알아.,그래서 이~ 여자 심리를 너무 잘 알아.
그래서 약간 대놓고 노리는 장면 같은 거는 없는데,그래서 약간 대놓고 노리는 장면 같은 거는 없는데
뭔가 설레고,뭔가 설레고
여름마다 찾게 되는 그런 맛이 있어 그리고 스타일이 안 촌시러워 지금 봐도,여름마다 찾게 되는 그런 맛이 있어 그리고 스타일이 안 촌스러워 지금 봐도
배우들 이런 스타일이 옷 말고 뭐~ 이런,배우들 이런 스타일이 옷 말고 뭐~ 이런
화장 같은 거를 약간 진하게 안 하고 거의 뭐~ 노 메이크업하다시피 이케 스타일을 해서,화장 같은 거를 약간 진하게 안 하고 거의 뭐~ 노 메이크업하다시피 이렇게 스타일을 해서
되게 질리지 않고 매년 찾게 되는 드라마 중에 하나 그리고 오에스티가 들어봤제?,되게 질리지 않고 매년 찾게 되는 드라마 중에 하나 그리고 오에스티가 들어봤지?
유명하지.,유명하지.
근데 왜 드라마는 안 봤어?,근데 왜 드라마는 안 봤어?
잘 모르겠어.,잘 모르겠어.
그런 심보가 있나?,그런 심보가 있나?
유명한 거는 약간 잘 안 보게 되는 그런 심보가 있나 봐.,유명한 거는 약간 잘 안 보게 되는 그런 심보가 있나 봐.
그럼 니가 자주 봤던 로맨스 드라마는 뭔데?,그럼 네가 자주 봤던 로맨스 드라마는 뭔데?
생각해 보니까 잘 없는 거 같애.,생각해 보니까 잘 없는 거 같애.
거의 다 스릴러 아니면 장르물 아니면,거의 다 스릴러 아니면 장르물 아니면
약간 의학 드라마 낭만 낭만 닥터 김사부 재밌게 봤다.,약간 의학 드라마 낭만 낭만 닥터 김사부 재밌게 봤어.
그니까 나는 약간 장르물에,그러니까 나는 약간 장르물에
약간 장르는 구십 프로고 십 프로가 연애가 이~ 로맨스가 섞여 있으면,약간 장르는 구십 프로고 십 프로가 연애가 이~ 로맨스가 섞여 있으면
그나마 보는데 아예 백 프로,그나마 보는데 아예 백 프로
로맨스를 다 때려 박은 김은숙 표 드라마는 별로 좋아하지 않아.,로맨스를 다 때려 박은 김은숙 표 드라마는 별로 좋아하지 않아.
나도 마찬가지 그런 거 같애.,나도 마찬가지 그런 거 같애.
얘기해 보니까 그런 거 같애.,얘기해 보니까 그런 거 같애.
낭만 닥터 김사부도 약간 거의 팔구십 프로는 약간,낭만 닥터 김사부도 약간 거의 팔구십 프로는 약간
젊은 의사들의 성장 토리이고 나머지는,젊은 의사들의 성장 토리이고 나머지는
그 곳에서 피우는 꽃피우는 로맨스가 약간 엠에스지가 쳐져서,그 곳에서 피우는 꽃피우는 로맨스가 약간 엠에스지가 쳐져서
더 재미있게 느껴지는 것 같아.,더 재미있게 느껴지는 것 같아.
그러면 장르물 중에 추천해 줄 드라마 있어?,그러면 장르물 중에 추천해 줄 드라마 있어?
근데 내가 이거 봤나라고 하면 니는 거의 다 봤더라고.,근데 내가 이거 봤니라고 하면 너는 거의 다 봤더라고.
그래서 나는 다른 국가의 장르물을 추천해 주고 싶은데,그래서 나는 다른 국가의 장르물을 추천해 주고 싶은데
니 넷플릭스 가입되어 있제?,너 넷플릭스 가입되어 있지?
가입되어 있지.,가입되어 있지.
혹시 영국 드라마 셜록 봤나?,혹시 영국 드라마 셜록 봤니?
간간이 봤어.,간간이 봤어.
그~ 베네딕트 컴버배치 나오는 그거?,그~ 베네딕트 컴버배치 나오는 그거?
근데 그게 시즌 포까지 나오거든?,근데 그게 시즌 포까지 나오거든?
근데 이게 한 편당 두세 편 이까 세 편?,근데 이게 한 편당 두세 편 이까 세 편?
그 정도로 짧아.,그 정도로 짧아.
그래서 니가 틈틈이 시간 날 때,그래서 네가 틈틈이 시간 날 때
한번 봤으면 좋겠어.,한번 봤으면 좋겠어.
재밌어?,재밌어?
이게 연출이랑 배우들 연기랑,이게 연출이랑 배우들 연기랑
그 다음에 이런 분위기라고 해야 되나?,그 다음에 이런 분위기라고 해야 되나?
튼 그게 삼위일체가 돼가지고 진짜 재밌다.,튼 그게 삼위일체가 돼가지고 진짜 재밌어.
근데 나 약간 질질 끄는 거,근데 나 약간 질질 끄는 거
안 좋아해서 시리즈물 별로 안 좋아해.,안 좋아해서 시리즈물 별로 안 좋아해.
근데 에피소드 형식이면 괜찮아.,근데 에피소드 형식이면 괜찮아.
이까 최종 보스는 따로 있고 그 보스를,이까 최종 보스는 따로 있고 그 보스를
찾아가는 과정에서 에피소드가 계속 생기는 그런 형태인 거야.,찾아가는 과정에서 에피소드가 계속 생기는 그런 형태인 거야.
무슨 말인지 알겠지?,무슨 말인지 알겠지?
니가 봤을 씨에스아이는 다 각각 에피소드이지만,니가 봤을 씨에스아이는 다 각각 에피소드이지만
셜록은 일단은 큰 보스가 있어.,셜록은 일단은 큰 보스가 있어.
최종 빌런 그래서 니가 쪼끔,최종 빌런 그래서 니가 쪼끔
한 편이라도 안 보면 이해하기 어려울 수도 있겠지만 그래도,한 편이라도 안 보면 이해하기 어려울 수도 있겠지만 그래도
이런 장르물이 만약에 한 번이라도,이런 장르물이 만약에 한 번이라도
어~ 다른 국가의 장르물이라도 보고 싶다면 꼭 추천할게.,어~ 다른 국가의 장르물이라도 보고 싶다면 꼭 추천할게.
아니 뭐~ 싫은 건 아니고,아니 뭐~ 싫은 건 아니고
그러면 니가 이때까지 재밌게 봤던 드라마는 뭐야?,그러면 네가 이때까지 재밌게 봤던 드라마는 뭐야?
커피프린스 일 호점이랑 로맨스물은 커피프린스 일 호점,커피프린스 일 호점이랑 로맨스물은 커피프린스 일 호점
아니면 킹덤 요새 계속 하고 있는 킹덤,아니면 킹덤 요새 계속 하고 있는 킹덤
그 다음에 궁 라이프 온 마스,그 다음에 궁 라이프 온 마스
옛날 드라마라서 니가 알지는 모르겠지만 개와 늑대의 시간,옛날 드라마라서 니가 알지는 모르겠지만 개와 늑대의 시간
그건 또 뭐야?,그건 또 뭐야?
