사투리,표준어
혹시 자격증 같은 거 딴 적 있으세요?,혹시 자격증 같은 거 딴 적 있으세요?
아~ 네 최근에 그~ 품질 경영 기사라는 국가자격증을 취득했는데,아~ 네 최근에 그~ 품질 경영 기사라는 국가자격증을 취득했는데
아~ 이~ 이~ 자격증은,아~ 이~ 이~ 자격증은
품질 관리 기사를 준비하는 분들이 많이,품질 관리 기사를 준비하는 분들이 많이
어~ 준비하고 자격 요건도 쪼끔 제한이 있어서,어~ 준비하고 자격 요건도 쪼끔 제한이 있어서
음~ 이 자격증을 따면은 취업에 유리할 거 같다는 생각이 들어서,음~ 이 자격증을 따면은 취업에 유리할 거 같다는 생각이 들어서
음~ 취득하게 됐어요 준비는 어~,음~ 취득하게 됐어요 준비는 어~
요즘 코로나 때문에 학원이 잘 가기가 꺼려져서,요즘 코로나 때문에 학원이 잘 가기가 꺼려져서
인터넷으로 음~ 강의 보면서 문제 기출 문제도 많이 풀어보고,인터넷으로 음~ 강의 보면서 문제 기출 문제도 많이 풀어보고
음~ 그런 식으로 공부를 했어요 친구랑 같은 전공이어서,음~ 그런 식으로 공부를 했어요 친구랑 같은 전공이어서
친구랑 또 어~ 스터디 명목으로 만나서도,친구랑 또 어~ 스터디 명목으로 만나서도
공부를 해가고 음~ 그렇게 해서 한두 달 정도,공부를 해가고 음~ 그렇게 해서 한두 달 정도
공부해서 필기랑 실기 둘 다 음~,공부해서 필기랑 실기 둘 다 음~
바로 합격해서 음~ 취득했어요.,바로 합격해서 음~ 취득했어요.
음~ 혹시 뭐~ 자격증 취득하신 거 더 있으세요?,음~ 혹시 뭐~ 자격증 취득하신 거 더 있으세요?
아~ 저는 그~ 전공이 디자인계열이라서 사실 자격증,아~ 저는 그~ 전공이 디자인계열이라서 사실 자격증
컴퓨터 활용 이런 거를 크게 딸 필요가 없었어요.,컴퓨터 활용 이런 거를 크게 딸 필요가 없었어요.
근데 이제 일을 관두면서,근데 이제 일을 관두면서
아~ 다른 자격증도 쪼끔 필요할 거 같애서 요즘,아~ 다른 자격증도 쪼끔 필요할 거 같애서 요즘
토익이나 뭐~ 이런 다른 자격증 너무 기본이잖아요.,토익이나 뭐~ 이런 다른 자격증 너무 기본이잖아요.
그래서 아~ 그러면은 컴퓨터 활용도 한 번 따 봐야겠다 해서 제가 일 급을 도전했었거든요.,그래서 아~ 그러면은 컴퓨터 활용도 한 번 따 봐야겠다 해서 제가 일 급을 도전했었거든요.
근데 저는 사실 이게 뭐~ 사람들이,근데 저는 사실 이게 뭐~ 사람들이
어렵다 하지만 그래도 다 갖고 있는 거라고 생각해서,어렵다 하지만 그래도 다 갖고 있는 거라고 생각해서
쫌 진짜 쉽다고 했었 했나 봐요 그래서 학원도 안 다니고 나는,조금 진짜 쉽다고 했었 했나 봐요 그래서 학원도 안 다니고 나는
독학으로 이걸 따야겠다 해서 이제 도전을 했어요.,독학으로 이걸 따야겠다 해서 이제 도전을 했어요.
근데 제가 진짜 자격증 따다가 진짜,근데 제가 진짜 자격증 따다가 진짜
이렇게 스트레스받은 적은 처음이었을 정도로 진짜 괴롭게 땄거든요.,이렇게 스트레스받은 적은 처음이었을 정도로 진짜 괴롭게 땄거든요.
그래서 아~ 일 급 포기하고 이 급 딸까 하다가 또 그래도,그래서 아~ 일 급 포기하고 이 급 딸까 하다가 또 그래도
이게 자꾸 일이 점 차이로 떨어지는 거예요.,이게 자꾸 일이 점 차이로 떨어지는 거예요.
그래서 이게 과목이 그~ 두 개로 나뉘어가지고 엑셀이랑 그다음에,그래서 이게 과목이 그~ 두 개로 나뉘어가지고 엑셀이랑 그다음에
엑세스 이렇게 두 개를 치거든요 근데 시험을 내는 게,엑세스 이렇게 두 개를 치거든요 근데 시험을 내는 게
뭐~ 엑셀이 쉬우면 엑세스를 어렵게 내버리고 아니면은 바꿔서 뭐~,뭐~ 엑셀이 쉬우면 엑세스를 어렵게 내버리고 아니면은 바꿔서 뭐~
엑셀 어렵게 내거나 엑세스를 쉽게 내고 이러니까 자꾸 한 개 한 개씩 이렇게 왔다 갔다 하면서 떨어지는 거예요.,엑셀 어렵게 내거나 엑세스를 쉽게 내고 이러니까 자꾸 한 개 한 개씩 이렇게 왔다 갔다 하면서 떨어지는 거예요.
문제 자리 운도 쫌 있어야 되는데 제가 약간,문제 자리 운도 조금 있어야 되는데 제가 약간
그~ 합격을 아~ 백 점 맞을 생각으로 열심히 했어야 됐는데 거기서 쫌 어려운 거 몇 갠 버렸거든요.,그~ 합격을 아~ 백 점 맞을 생각으로 열심히 했어야 됐는데 거기서 조금 어려운 거 몇 갠 버렸거든요.
아~ 이거 이거는 버려도 되겠지 해서 버렸는데 그런 게 연달아서 나오고 이래 버리니까,아~ 이거 이거는 버려도 되겠지 해서 버렸는데 그런 게 연달아서 나오고 이래 버리니까
진짜 제가 이거 딴다고 열다섯 번 쳤나 제가 열 여섯 번째 합격을 했을 거예요 아마,진짜 제가 이거 딴다고 열다섯 번 쳤나 제가 열 여섯 번째 합격을 했을 거예요 아마
그래서 제가 이거 진짜 스트레스를 너무 많이 받아서,그래서 제가 이거 진짜 스트레스를 너무 많이 받아서
함수 엑셀도 이제 함수 계산 이런 것도 이런 건데 거기에 나오는,함수 엑셀도 이제 함수 계산 이런 것도 이런 건데 거기에 나오는
무슨 브이브이에이인가 이렇게 막 치는 게 있거든요 그렇게,무슨 브이브이에이인가 이렇게 막 치는 게 있거든요 그렇게
그런 걸 치는 것도 생전 처음 배워보고 하니까 진짜 이거는,그런 걸 치는 것도 생전 처음 배워보고 하니까 진짜 이거는
학원을 다닐 걸 그랬다 생각했는데 또 막상 학원에 다니려니까 이제,학원을 다닐 걸 그랬다 생각했는데 또 막상 학원에 다니려니까 이제
아까운 거예요 혼자 여태 또 공부했는데 그걸 아까워했으면 안 됐는데,아까운 거예요 혼자 여태 또 공부했는데 그걸 아까워했으면 안 됐는데
약간 아~ 쫌만 더 하면 붙을 거 같은데 삼십만 원주고 학원 다니면,약간 아~ 쫌만 더 하면 붙을 거 같은데 삼십만 원주고 학원 다니면
아까운데 하면서 혼자 하다가 이제 약간 더 길어진 케이스거든요.,아까운데 하면서 혼자 하다가 이제 약간 더 길어진 케이스거든요.
