사투리,표준어
저는 이렇게 생각해요 코로나가,저는 이렇게 생각해요 코로나가
우리가 너무 지구를  망가뜨리고 이래서,우리가 너무 지구를  망가뜨리고 이래서
코로나가 일부러 그런 거 같다,코로나가 일부러 그런 거 같다
지구가 일부러 그런 것 같다 왜 이케 뉴스 보잖아요?,지구가 일부러 그런 것 같다 왜 이렇게 뉴스 보잖아요?
전 텔레 티브이는 별로 잘 안 보는 편이고,전 텔레 티브이는 별로 잘 안 보는 편이고
보고 싶은 거는 그때그때,보고 싶은 거는 그때그때
이제 검색해서 보거든요 그런 거 보면은,이제 검색해서 보거든요 그런 거 보면은
뭐~ 멕시코인가 브라질 쪽에 그~ 해변가에 원래,뭐~ 멕시코인가 브라질 쪽에 그~ 해변가에 원래
그~ 빤짝빤짝거리는 그~ 뭐지 물에서 빤짝거리는,그~ 빤짝빤짝거리는 그~ 뭐지 물에서 빤짝거리는
걔네를 뭐라고 하지 박테리아는 아닌데,걔네를 뭐라고 하지 박테리아는 아닌데
하여튼 걔네들도 멸 뭐~ 없어졌다고 하다가 뭐~ 육십육년 만에 나타났다 뭐~ 이렇게 하고 사라진 줄 알았던,하여튼 걔네들도 멸 뭐~ 없어졌다고 하다가 뭐~ 육십육년 만에 나타났다 뭐~ 이렇게 하고 사라진 줄 알았던
동물들이 뭐~ 나타났다 그러고 이렇게 하는 거 보면은,동물들이 뭐~ 나타났다 그러고 이렇게 하는 거 보면은
벌 받은 거 같아서,벌 받은 거 같아서
코로나 때문에 환경도 많이 좋아지고,코로나 때문에 환경도 많이 좋아지고
그렇게 됐다곤 하던데 결국에는 뭐~,그렇게 됐다곤 하던데 결국에는 뭐~
다 사람이 한 대로 돌려받는 거 아닐까 싶기도 하고,다 사람이 한 대로 돌려받는 거 아닐까 싶기도 하고
그래 전체적으로 보면은 이것도 필요한 순간이었겠구나 라고 생각을 하긴 해요.,그래 전체적으로 보면은 이것도 필요한 순간이었겠구나 라고 생각을 하긴 해요.
아쉬운 부분도 많긴 하지만,아쉬운 부분도 많긴 하지만
그쵸 한 번 이제 말 그대로 그냥 쫌 쉽게 말해서 그냥 물갈이 한다 그래야 되나,그쵸 한 번 이제 말 그대로 그냥 조금 쉽게 말해서 그냥 물갈이 한다 그래야 되나
그렇게 하고 근데 뭐야 여행지 이런 데 다녀 보면은,그렇게 하고 근데 뭐야 여행지 이런 데 다녀 보면은
코로나 땜에 난리긴 한데 그래도 갈 사람들은 다 가더라구요.,코로나 땜에 난리긴 한데 그래도 갈 사람들은 다 가더라구요.
그러니까요.,그러니까요.
갈 사람들 다 가고 최근에 뉴스 보니깐 또,갈 사람들 다 가고 최근에 뉴스 보니깐 또
할로윈 데이 때 서울에서 뭐~,할로윈 데이 때 서울에서 뭐~
