사투리,표준어
오늘 조두순이 십이 년 만에 출소를 했다고 하는데,오늘 조두순이 십이 년 만에 출소를 했다고 하는데
이게 나는 십이 년이 진짜 짧다고 생각하거든.,이게 나는 십이 년이 진짜 짧다고 생각하거든.
말도 안 되는 거 같고 이사를 가니 마니,말도 안 되는 거 같고 이사를 가니 마니
하고 자기는 무슨 뭐~ 어디서 성적 흥분을 느껴서,하고 자기는 무슨 뭐~ 어디서 성적 흥분을 느껴서
느끼고 있다느니 라는 식의 말을 하고,느끼고 있다느니 라는 식의 말을 하고
인제 복수를 할 것처럼 계속 그런,인제 복수를 할 것처럼 계속 그런
뉘앙스를 풍기면서 안에서 운동을 하고 체력을,뉘앙스를 풍기면서 안에서 운동을 하고 체력을
기르면서 있다가 오늘 오전에 출소를 했다고 하거든?,기르면서 있다가 오늘 오전에 출소를 했다고 하거든?
뭐~ 내가 피해자가 직접 아니지만 언제 내가 피해자가 될 수 있는지도 알 수도 없는 없고,뭐~ 내가 피해자가 직접 아니지만 언제 내가 피해자가 될 수 있는지도 알 수도 없는 없고
뭐~ 진짜로 걔가 뭐~ 갑자기,뭐~ 진짜로 걔가 뭐~ 갑자기
부산을 오게 될지도 모르는 거고,부산을 오게 될지도 모르는 거고
나도 이렇게 무서운데 그 피해자들은 얼마나 무서울지,나도 이렇게 무서운데 그 피해자들은 얼마나 무서울지
가늠이 안 되거든 이십이 년이라는 숫자가 진짜,가늠이 안 되거든 이십이 년이라는 숫자가 진짜
말도 안 되게 짧다고 생각을 하는데 나는,말도 안 되게 짧다고 생각을 하는데 나는
닌 어떻게 생각해?,넌 어떻게 생각해?
어 나도 십이 년은 확실히 짧다고 생각한다 아니 애초에 무기징역을 때려야지 그건 맞는 거라고 생각하고,어 나도 십이 년은 확실히 짧다고 생각한다 아니 애초에 무기징역을 때려야지 그건 맞는 거라고 생각하고
어~ 당연히 그 피해자들도 엄청나게 겁나고,어~ 당연히 그 피해자들도 엄청나게 겁나고
십이 년은 너무 짧다고 생각한다 어~ 그런데,십이 년은 너무 짧다고 생각한다 어~ 그런데
니는 혹시 그거는 어떻게 생각하노 요즘에,너는 혹시 그거는 어떻게 생각하니 요즘에
또 청소년들이,또 청소년들이
촉법소년이라고 막 뺑소니치고 다니고 그런다 아이가,촉법소년이라고 막 뺑소니치고 다니고 그렇지 않니
그런 것들도 요즘에 엄청나게 논란인 거 같던데,그런 것들도 요즘에 엄청나게 논란인 거 같던데
니는 요즘에 그런 거 보고 어떤 생각이 드노?,너는 요즘에 그런 거 보고 어떤 생각이 들어?
청소년 뺑소니 그게,청소년 뺑소니 그게
그 민식이법에서 연관돼서 나온 건가?,그 민식이법에서 연관돼서 나온 건가?
그러면,그러면
그게 이게 이 친구들이,그게 이게 이 친구들이
뺑소니를 당할려고 하는 걸 청소년 뺑소니라고 말하는 게 맞지?,뺑소니를 당할려고 하는 걸 청소년 뺑소니라고 말하는 게 맞지?
어~ 그런 것도 있긴 한데 그~ 왜 그런 거 있다 아이가,어~ 그런 것도 있긴 한데 그~ 왜 그런 거 있지 않아
그~ 막 열여섯 살이나 열일곱 살짜리 애들이,그~ 막 열여섯 살이나 열일곱 살짜리 애들이
그~ 차 빌려가지구 렌트카 같은 거 빌려가지구,그~ 차 빌려가지구 렌트카 같은 거 빌려가지구
그~  치킨 배달하던,그~  치킨 배달하던
그 아저씨 차로 치여서 죽이게 했다 아이가,그 아저씨 차로 치여서 죽이게 했지 않니
그런 거 내는 그런 거 말한 기다.,그런 거 나는 그런 거 말한 거다.
그까 미성년자들이 무면허로,그러니까 미성년자들이 무면허로
끌고 나가서 이러 일으키는 사건 사고들을 얘기하는 거구나.,끌고 나가서 이러 일으키는 사건 사고들을 얘기하는 거구나.
그럼 이건,그럼 이건
엄연한 불법이고,엄연한 불법이고
말 한 참,말 한 참
그 처음에 그 사건 뉴스로 봤을 때는 너무 어이가 없어서 말도 안 나오고,그 처음에 그 사건 뉴스로 봤을 때는 너무 어이가 없어서 말도 안 나오고
나는 아직 면허가 없거든.,나는 아직 면허가 없거든.
나도 면허가 없어서 운전대를 한 번도 못 잡아 봤는데,나도 면허가 없어서 운전대를 한 번도 못 잡아 봤는데
어디 겁 없이,어디 겁 없이
어린 아이들이 그렇게,어린 아이들이 그렇게
하는지 나는,하는지 나는
이해할 수 없다 근데 이것도,이해할 수 없다 근데 이것도
애들이라서 또 감형이 되나?,애들이라서 또 감형이 되나?
우리나라 법은 청소년들은 좀 다 감형이 되는,우리나라 법은 청소년들은 좀 다 감형이 되는
법이 틀 자체가 그러니까 그랬겠지 얘네도?,법이 틀 자체가 그러니까 그랬겠지 얘네도?
하 이건 문제가 크지 않을까?,하 이건 문제가 크지 않을까?
한 번 두 번은 어쩌다가 정말,한 번 두 번은 어쩌다가 정말
주체할 수 없는 아이들을 감당하지 못해서 일어난 사건이라고 해도,주체할 수 없는 아이들을 감당하지 못해서 일어난 사건이라고 해도
똑같은 사건이 계속 일어나는 건 문제가 되니까 확실히 법을 정하고,똑같은 사건이 계속 일어나는 건 문제가 되니까 확실히 법을 정하고
더 이상 이런 일이 일어나지 않게 막아야 된다고 생각을 하거든?,더 이상 이런 일이 일어나지 않게 막아야 된다고 생각을 하거든?
뭐~ 대체 왜 이렇게 했을까 난 이해가 안 된다.,뭐~ 대체 왜 이렇게 했을까 난 이해가 안 된다.
그러면 그~ 아까 말했듯이 내가 말한 거처럼 민식이법도 있는데,그러면 그~ 아까 말했듯이 내가 말한 거처럼 민식이법도 있는데
이거는 인제 반대로,이거는 인제 반대로
그~ 요즘에 막 초등학생들이,그~ 요즘에 막 초등학생들이
자동차 지나갈 때 막 그~ 주 어린이 보호구역에서,자동차 지나갈 때 막 그~ 주 어린이 보호구역에서
살짝 가서 자기 몸을 부딪히고,살짝 가서 자기 몸을 부딪히고
내가 다쳤다 하고 드러눕고 이걸 또 악용하는 엄마들은,내가 다쳤다 하고 드러눕고 이걸 또 악용하는 엄마들은
자기 아들과 딸을 시켜서,자기 아들과 딸을 시켜서
인제 그렇게 해라 그렇게 하고,인제 그렇게 해라 그렇게 하고
그 운전자들은 꼼짝없이 당해야 되는데,그 운전자들은 꼼짝없이 당해야 되는데
이것도 좀 문제가 많잖아 이거는,이것도 좀 문제가 많잖아 이거는
법이 생긴 거부터 생긴 이후 지금까지도 말이 많고,법이 생긴 거부터 생긴 이후 지금까지도 말이 많고
이거에 대해선 어떻게 생각해?,이거에 대해선 어떻게 생각해?
우리 그~ 에스엔에스 같은 거 많이 볼 때도 그~ 차 블랙박스 영상 같은 거 많이 올라온다 아이가,우리 그~ 에스엔에스 같은 거 많이 볼 때도 그~ 차 블랙박스 영상 같은 거 많이 올라오지 않니
그런 거 봤을 때 또 어린이 보호구역 같은 데 지나가다가,그런 거 봤을 때 또 어린이 보호구역 같은 데 지나가다가
이거는 내가 내가 뭘 어떻게 해도 이건 도저히 갔다 와서 박은 거라고밖에 설명이 안 되는데,이거는 내가 내가 뭘 어떻게 해도 이건 도저히 갔다 와서 박은 거라고밖에 설명이 안 되는데
갑자기 애가 앞에서 튀어나와 그런데,갑자기 애가 앞에서 튀어나와 그런데
그걸 막 앞뒤 신경도 안 쓰고,그걸 막 앞뒤 신경도 안 쓰고
그냥 갑자기 무조건 운전자 잘못이라고 그렇게 되는 거는 일단은 내 생각에는 법이 법이 처음부터 잘못됐다고 본다.,그냥 갑자기 무조건 운전자 잘못이라고 그렇게 되는 거는 일단은 내 생각에는 법이 법이 처음부터 잘못됐다고 본다.
그거는 다시 만들어야 된다고 생각을 하는데,그거는 다시 만들어야 된다고 생각을 하는데
뭐~ 당연히 민식이 부모님들은,뭐~ 당연히 민식이 부모님들은
뭐~ 속상하고 그러겠지만,뭐~ 속상하고 그러겠지만
이거는 다시 만들어야 되는 게 맞지 않나 싶다 아니 애초에,이거는 다시 만들어야 되는 게 맞지 않나 싶다 아니 애초에
이건 운전자한테 너무 불리한 법이다 내가,이건 운전자한테 너무 불리한 법이다 내가
나는 면허를 땄는데,나는 면허를 땄는데
내가 가끔씩 그~,내가 가끔씩 그~
그런 데 돌아다니면은 괜히 나도 무서워져가지고,그런 데 돌아다니면은 괜히 나도 무서워져가지고
쪼금밖에 운전을 못 하겠더라 괜히 와서 들이 박으면은 이제 전부 다 내 잘못이니까,쪼금밖에 운전을 못 하겠더라 괜히 와서 들이 박으면은 이제 전부 다 내 잘못이니까
우리 아빠도 운전하는 일을 하시는데,우리 아빠도 운전하는 일을 하시는데
너무 걱정되고 그래가지고 이거는 법을 좀 바꿔야 된다고 생각한다.,너무 걱정되고 그래가지고 이거는 법을 좀 바꿔야 된다고 생각한다.
또 그런 것도 있다 아이가 요즘에 청소년들이 좀 문제가 많이 되잖아.,또 그런 것도 있지 않니 요즘에 청소년들이 좀 문제가 많이 되잖아.
근데 뭐~ 나는 그런 생각도 했거든 우리 집 밑에 편의점들이 많으니까 보면은 고등학생들이,근데 뭐~ 나는 그런 생각도 했거든 우리 집 밑에 편의점들이 많으니까 보면은 고등학생들이
막 와가지고 술 사고 담배를 사고 막 그런 거 한다 아이가,막 와가지고 술 사고 담배를 사고 막 그런 거 하지 않니
