사투리,표준어
어~ 우리가 초등 이케 초등 때부터,어~ 우리가 초등 이렇게 초등 때부터
역사 과목이 있었잖아요 저도 역사 과목을 굉장히 별로 좋아하지도  않았던 거 같은데 어~,역사 과목이 있었잖아요 저도 역사 과목을 굉장히 별로 좋아하지도  않았던 거 같은데 어~
그리 근데 제가 한 몇 년 전에 역사를 다룬 책 중에 하나가,그리 근데 제가 한 몇 년 전에 역사를 다룬 책 중에 하나가
왕비열전인가 기억이  책 제목이 기억이 안 나는데 어~,왕비열전인가 기억이  책 제목이 기억이 안 나는데 어~
왕의 계보는 많잖아요 조선왕조실록처럼 그런데 왕비의 이런 계보를 따라서 인제,왕의 계보는 많잖아요 조선왕조실록처럼 그런데 왕비의 이런 계보를 따라서 인제
책이 인제 나왔더라고요 그서 그 책을 인제 음~,책이 인제 나왔더라고요 그래서 그 책을 인제 음~
읽어 봤더니 여성의 입장에서 중전의 입장에서 역사를 바라보고,읽어 봤더니 여성의 입장에서 중전의 입장에서 역사를 바라보고
그 흐름을 이렇게 일케  하다 보니까 어~ 너무 역사 공부를 남성 위주로 쓰지 않았나.,그 흐름을 이렇게 일케  하다 보니까 어~ 너무 역사 공부를 남성 위주로 쓰지 않았나.
특히 역사에 보면 전쟁 이야기가 굉장히 많이 나오는데 저는 그 부부 그 부분에 공부할 때 제일 재미가 없었거든요.,특히 역사에 보면 전쟁 이야기가 굉장히 많이 나오는데 저는 그 부부 그 부분에 공부할 때 제일 재미가 없었거든요.
그런데 남학생들 같은 경우에는 뭐~ 삼국이 뭐~,그런데 남학생들 같은 경우에는 뭐~ 삼국이 뭐~
전쟁을 하고 어느 어느 땅을 어느 유역을 정복했고 이런 거에 굉장히 쫌 밝고 재밌어하더라고요.,전쟁을 하고 어느 어느 땅을 어느 유역을 정복했고 이런 거에 굉장히 조금 밝고 재밌어하더라고요.
저는 그 부분이 제일 재미가 없었거든요 근데 왕비가 이렇게 쭉,저는 그 부분이 제일 재미가 없었거든요 근데 왕비가 이렇게 쭉
이케 이어져 오는 역사책을 봤더니 어~ 이제 저~ 이게,이렇게 이어져 오는 역사책을 봤더니 어~ 이제 저~ 이게
이게 여성 입장에서도 역사책을 이케 새로 쓸 수 있구나  그러면서 인제 굉장히,이게 여성 입장에서도 역사책을 이렇게 새로 쓸 수 있구나  그러면서 인제 굉장히
머릿속에 쏙쏙 들어오는 경험이 있었어요.,머릿속에 쏙쏙 들어오는 경험이 있었어요.
혹시 학교 다닐 때 역사 공부를 좋아하셨나요?,혹시 학교 다닐 때 역사 공부를 좋아하셨나요?
저는 역사를 너무 싫어해서,저는 역사를 너무 싫어해서
이공계에 진학했을 정도로 역사에 대한 흥미를 많이 못 느꼈는데요 근데 최근에 설민석 강사님이,이공계에 진학했을 정도로 역사에 대한 흥미를 많이 못 느꼈는데요 근데 최근에 설민석 강사님이
