사투리,표준어
뭐야 요즘  씨는 뭐~ 드라마 보는 게 있나?,뭐야 요즘  씨는 뭐~ 드라마 보는 게 있나?
집에서 뭐~ 할 일 없으니까 드라마 많이 보지.,집에서 뭐~ 할 일 없으니까 드라마 많이 보지.
특히 요새 인기있는 드라마 있잖아 왜 팬트하우스 어~ 그거,특히 요새 인기있는 드라마 있잖아 왜 팬트하우스 어~ 그거
요번에 끝났는데 욕하면서 본다고 완전 막장은 세트로 다 와 있는데,요번에 끝났는데 욕하면서 본다고 완전 막장은 세트로 다 와 있는데
그래도 또 그다음 이렇게 이야기가 궁금하니까 그~ 완전히 그~ 혹해 갖고 계속 봤네,그래도 또 그다음 이렇게 이야기가 궁금하니까 그~ 완전히 그~ 혹해 갖고 계속 봤네
자기도 팬트하우스 봤어?,자기도 팬트하우스 봤어?
내가 그~ 그~ 나오는 거 아니야,내가 그~ 그~ 나오는 거 아니야
최홍림이 최홍림이 요번에 해 가지고 엄청 세게 나오대 그 형하고 나온 그거지,최홍림이 최홍림이 요번에 해 가지고 엄청 세게 나오대 그 형하고 나온 그거지
응~ 참 인생이 제일 잘 지내야 할 우리 그~ 주위 가족 특히 가족,응~ 참 인생이 제일 잘 지내야 할 우리 그~ 주위 가족 특히 가족
가족하고 그~ 가족한테 그거 상처를 받고 그 마음이 완전 헤어나오지 못해 가지고,가족하고 그~ 가족한테 그거 상처를 받고 그 마음이 완전 헤어나오지 못해 가지고
아니 그~ 지금  그거 말고 팬트하우스라고 부잣집 막 그~ 멋지게 지어 갖고 사는,아니 그~ 지금  그거 말고 팬트하우스라고 부잣집 막 그~ 멋지게 지어 갖고 사는
어~ 그 얘기 어~ 그 얘기 그거 안 봤어 그 드라마,어~ 그 얘기 어~ 그 얘기 그거 안 봤어 그 드라마
그 드라마는 어~ 내가 요즘 드라마를 잘 안 보니까 한 번 보면은 계속 빠져서,그 드라마는 어~ 내가 요즘 드라마를 잘 안 보니까 한 번 보면은 계속 빠져서
이렇게 보게 되니까,이렇게 보게 되니까
그렇지.,그렇지.
응~ 내가 착각했네.,응~ 내가 착각했네.
그~,그~
그렇지.,그렇지.
어~ 안 보게 되니까 뭐가 뭔지 잘 모르고,어~ 안 보게 되니까 뭐가 뭔지 잘 모르고
그~ 저기 뭐야 내가 한 번씩  놀러 우에 위에 집에 한번씩 가서 한,그~ 저기 뭐야 내가 한 번씩  놀러 위에 위에 집에 한번씩 가서 한
두 번 봤나 그건가 그거 아니지 음~ 그러면  씨가 쫌 얘기 쫌 해 봐봐,두 번 봤나 그건가 그거 아니지 음~ 그러면  씨가 조금 얘기 조금 해 봐봐
팬트하우스는 이렇게 그~ 서울에 강남에 최고의,팬트하우스는 이렇게 그~ 서울에 강남에 최고의
그~ 영 점 영 영 영 일 프로의 그런 부자들이,그~ 영 점 영 영 영 일 프로의 그런 부자들이
그 팬트 하우스 아주 멋진 이렇게 완전 그~,그 팬트 하우스 아주 멋진 이렇게 완전 그~
하늘을 찌르는 아주 높은 층에 그~ 어마어마한 넓은 데,하늘을 찌르는 아주 높은 층에 그~ 어마어마한 넓은 데
사는 그 부잣집 사람들이 그~ 거기 있는 자녀들이 이렇게 그 아이를,사는 그 부잣집 사람들이 그~ 거기 있는 자녀들이 이렇게 그 아이를
이제 그~ 거기 나오는 학교는 뭐~ 청아 예술 고등학교 저 음악하는 학교지.,이제 그~ 거기 나오는 학교는 뭐~ 청아 예술 고등학교 저 음악하는 학교지.
거기에 자기 자녀들을 이제 보내기 위해서 완전 온갖 비리를 다 저지르고 또 그~ 드라마에 인제,거기에 자기 자녀들을 이제 보내기 위해서 완전 온갖 비리를 다 저지르고 또 그~ 드라마에 인제
불륜도 나오고 그랬는데 그~ 막장 살인 뭐~ 어쨌든 살인 그다음에 뭐~,불륜도 나오고 그랬는데 그~ 막장 살인 뭐~ 어쨌든 살인 그다음에 뭐~
어쨌든 이 드라마가 거기에 나오는 이제 그~ 아주 요번에 그~ 상을 많이 받더라고 많이 받았는데,어쨌든 이 드라마가 거기에 나오는 이제 그~ 아주 요번에 그~ 상을 많이 받더라고 많이 받았는데
그랬는데 인제 그쪽에 나오는 그 여자 주인공들 악녀 그것도 이렇게 그 악녀 역할을 하는,그랬는데 인제 그쪽에 나오는 그 여자 주인공들 악녀 그것도 이렇게 그 악녀 역할을 하는
