사투리,표준어
먹거리에 대해서 얘기해 볼까요?,먹거리에 대해서 얘기해 볼까요?
난 먹거리 하면,난 먹거리 하면
그~ 가장 많이 생각나는 게 요즘 왜 옛날에는 그런 게 없었는데 맛집,그~ 가장 많이 생각나는 게 요즘 왜 옛날에는 그런 게 없었는데 맛집
쫌 많이 요즘에는 맛집 찾아서 많이 사람들이 다니잖아 근데 우리 때는,조금 많이 요즘에는 맛집 찾아서 많이 사람들이 다니잖아 근데 우리 때는
그~ 맛집이란 게 별로 없었다 아이가 그냥 뭐~,그~ 맛집이란 게 별로 없었지 않냐 그냥 뭐~
남포동이나 광복동 이런 데 가면,남포동이나 광복동 이런 데 가면
그~ 뭐~  이런 데 뭐~,그~ 뭐~  이런 데 뭐~
그~ 또 뭐~ &company-name3&,그~ 또 뭐~ &company-name3&
이런 데 외에는 별로 없었거든 근데 요즘에는 아~ 맞다 &company-name4&도 있다.,이런 데 외에는 별로 없었거든 근데 요즘에는 아~ 맞다 &company-name4&도 있다.
근데 맛집이,근데 맛집이
온천지에 많다 아이가 막 전부 다 뭐~ 에스엔에스나 이런 데 전신에 뭐~,온천지에 많지 않냐 막 전부 다 뭐~ 에스엔에스나 이런 데 전신에 뭐~
다 올리고 이렇게 하니까 사진 찍고,다 올리고 이렇게 하니까 사진 찍고
그~ 문화가 우리 때하고는 참 많이 다른데,그~ 문화가 우리 때하고는 참 많이 다른데
어~ 나는 개인적으로,어~ 나는 개인적으로
남포동에 나가면 그~ &company-name1& 있다 아이가,남포동에 나가면 그~ &company-name1& 있지 않냐
그 집을 되게 좋아라해 가지고,그 집을 되게 좋아해 가지고
우리 때 그때 그 가격이 오백 원이었거든 그~ 진짜 싸다 아이가,우리 때 그때 그 가격이 오백 원이었거든 그~ 진짜 싸지 않냐
그래서 늘 먹고 오고 이랬는데 요즘엔 쫌 비싸더라고,그래서 늘 먹고 오고 이랬는데 요즘엔 조금 비싸더라고
그~ 자기는 부산에서,그~ 자기는 부산에서
뭐~ 맛집이라든지,뭐~ 맛집이라든지
뭐~ 그런 거 잘 아는 데 있나?,뭐~ 그런 거 잘 아는 데 있어?
내는 뭐~ 고깃집하고 뭐~ 횟집 주로 뭐~ 이런 데지 뭐~ 찾아보면은,나는 뭐~ 고깃집하고 뭐~ 횟집 주로 뭐~ 이런 데지 뭐~ 찾아보면은
기장에 그~ &company-name5& 해쌓고 있었는데 있다 아이가 그거는 거의,기장에 그~ &company-name5& 해서 있었는데 있지 않냐 그거는 거의
세꼬시 전문이거든.,세꼬시 전문이거든.
근데 이만오천 원인가 이래 그게,근데 이만오천 원인가 이래 그게
그~ 참 맛있고,그~ 참 맛있고
그다음에 보면은 뭐~ 고깃집 같은 경우는 &company-name6& 뭐~ 해운대 쪽에,그다음에 보면은 뭐~ 고깃집 같은 경우는 &company-name6& 뭐~ 해운대 쪽에
&company-name6& 뭐~ 이런 게 뭐~ 주로 뭐~,&company-name6& 뭐~ 이런 게 뭐~ 주로 뭐~
먹거리 해 봤자 뭐~ 찾아보면 뭐~ 고기 아니면 회 아이가?,먹거리 해 봤자 뭐~ 찾아보면 뭐~ 고기 아니면 회 아니냐?
어~ 나는 그~ 예전에는,어~ 나는 그~ 예전에는
난 뭐~ 고기 아니면 회 이런 것도 먹으러 잘 안 가니까,난 뭐~ 고기 아니면 회 이런 것도 먹으러 잘 안 가니까
누가 뭐~ 쫌 잘 안 사주고 이러니 뭐~ 그냥 집에서,누가 뭐~ 조금 잘 안 사주고 이러니 뭐~ 그냥 집에서
대충 뭐~ 삼겹살 이런 거 내리 먹는다 아이가 근데,대충 뭐~ 삼겹살 이런 거 계속 먹지 않냐 근데
먹거리 이러면 물론 사 먹는 것도 좋지마는,먹거리 이러면 물론 사 먹는 것도 좋지마는
