사투리,표준어
예  님 어~ 참 이것도 인연인 것 같네요 많이,예  님 어~ 참 이것도 인연인 것 같네요 많이
큰 인연인 것 같습니다 저는,큰 인연인 것 같습니다 저는
녹음을 한다고 해도 잠깐 하고 말 줄 알았는데,녹음을 한다고 해도 잠깐 하고 말 줄 알았는데
이~ 제가 아까 법륜 스님 얘기도 했고,이~ 제가 아까 법륜 스님 얘기도 했고
어~ 인연 이야기도 하는 거 보니까 제 종교가 뭔지 아시겠죠?,어~ 인연 이야기도 하는 거 보니까 제 종교가 뭔지 아시겠죠?
저는 근데,저는 근데
어~ 열심히 공부를 하는 사람도 아니고,어~ 열심히 공부를 하는 사람도 아니고
누구처럼 삼천배를 하는 사람도 아니고 그냥,누구처럼 삼천배를 하는 사람도 아니고 그냥
그냥 부모님한테서 받은 종교고,그냥 부모님한테서 받은 종교고
그리고 제가 그 종교가 맞아서,그리고 제가 그 종교가 맞아서
그냥 불교 신자다 나는 그렇게 생각하면서,그냥 불교 신자다 나는 그렇게 생각하면서
살아가는 알라리 불교 신자입니다.,살아가는 알라리 불교 신자입니다.
님은 종교가 뭐예요?,님은 종교가 뭐예요?
저는 어렸을 때 할머니 따라서 교회를 갔었구요.,저는 어렸을 때 할머니 따라서 교회를 갔었구요.
초등학교 때는 아버지 따라서 성당을 가게 됐고,초등학교 때는 아버지 따라서 성당을 가게 됐고
중학교 때는 어머니 따라서,중학교 때는 어머니 따라서
불교를 가게,불교를 가게
된 적이 있거든요 이제 세 종교를 다 다녀 봤던 결과적으로는,된 적이 있거든요 이제 세 종교를 다 다녀 봤던 결과적으로는
다들 이제 뭐~,다들 이제 뭐~
어떤 신에 대한 신한테 의지를 하고 기도를 하고,어떤 신에 대한 신한테 의지를 하고 기도를 하고
하는 건데,하는 건데
저는 지금으로서는 솔직히 그냥 무교인 것 같습니다.,저는 지금으로서는 솔직히 그냥 무교인 것 같습니다.
뭐~ 누군가를 꼭,뭐~ 누군가를 꼭
믿고 의지하고 이렇게 사는 것보다는,믿고 의지하고 이렇게 사는 것보다는
그냥 내 자신을 믿고 내 자신을 쪼금 더,그냥 내 자신을 믿고 내 자신을 쪼금 더
이제 어~ 의지하고 기대해보자는 게 지금 와서 그런 것 같습니다 그~ 가끔씩 정말 힘들 때는,이제 어~ 의지하고 기대해보자는 게 지금 와서 그런 것 같습니다 그~ 가끔씩 정말 힘들 때는
이제 신을,이제 신을
이제 찾을 때도 있는데 꼭,이제 찾을 때도 있는데 꼭
찾을 신을 찾자면,찾을 신을 찾자면
저는 저도 불교 쪽으로 많이 가는 것 같습니다.,저는 저도 불교 쪽으로 많이 가는 것 같습니다.
저~  님은 그럼 에~,저~  님은 그럼 에~
불교 같은 가르침이나 이런 거를 한 그래도 한 번씩은 읽어 보셨을 것 같은데,불교 같은 가르침이나 이런 거를 한 그래도 한 번씩은 읽어 보셨을 것 같은데
그런 가르침이,그런 가르침이
어떤 영향을 주셨는지요?,어떤 영향을 주셨는지요?
어~ 불교는 인제,어~ 불교는 인제
사람이 워낙 약하고 하다 보니까 그리고,사람이 워낙 약하고 하다 보니까 그리고
어른들이 할머니들이나 이런 분들이,어른들이 할머니들이나 이런 분들이
그렇게 많이 부처님한테 뭐 해주기를 바라고 했지,그렇게 많이 부처님한테 뭐 해주기를 바라고 했지
근본적으로 불교는 구복 신앙이 아닙니다.,근본적으로 불교는 구복 신앙이 아닙니다.
자기가,자기가
