사투리,표준어
학교에 대해서 얘기해볼까요.,학교에 대해서 얘기해볼까요.
학교 참 이라면 참 많은,학교 참 이러면 참 많은
생각들이 나게 만드는 데가 학교 아이가 그자 참,생각들이 나게 만드는 데가 학교 아니니 그렇지 참
니나 내나 뭐~ 촌에서 커가지고 뭐~ 니 집에서 학교 가는데 얼마나 걸맀노?,너나 나나 뭐~ 촌에서 커가지고 뭐~ 너 집에서 학교 가는데 얼마나 걸렸니?
나는 있다 아이가 바로 엎어지면 코 닿을 때 있었다.,나는 있지 않니 바로 엎어지면 코 닿을 때 있었다.
와 좋았네 내는 있다 아이가 집에서 학교 갈라면은 버스를 타고 비포장도로라.,와 좋았네 나는 있지 않니 집에서 학교 가려면은 버스를 타고 비포장도로야.
비포장도로에 그~ 촌에 빨간 버스 아나?,비포장도로에 그~ 촌에 빨간 버스 알아?
빨간 버스가 시간 두 시간마다 한 번씩 오는 버스라.,빨간 버스가 시간 두 시간마다 한 번씩 오는 버스야.
그걸 타고 댕겼는데 그것도 아까와가 돈이 없으니까네,그걸 타고 다녔는데 그것도 아까워서 돈이 없으니까는
학 집에서 학교까지 키도 쪼맨해가 인제 초등학교 국민학교 일 학년 생이,학 집에서 학교까지 키도 조그만해서 인제 초등학교 국민학교 일 학년 생이
걸어 댕겼는 기라 사십 분 정도를 걸리는 기라 집에서,걸어 다녔는 거야 사십 분 정도를 걸리는 거야 집에서
길도 뭐~ 좋은 데도 아이고 전부 다 뭐~ 자갈밭이고 뭐~ 이런 데 걸어 댕겼다 니는 우찌 댕겼노?,길도 뭐~ 좋은 데도 아니고 전부 다 뭐~ 자갈밭이고 뭐~ 이런 데 걸어 다녔다 너는 어찌 다녔니?
아니 우리는 집에 학교하고 너무 가까워갖고,아니 우리는 집에 학교하고 너무 가까워갖고
학교 뒤편이 우리 집이었거든 그래서 인자 정문으로 갈라 하면 우리 집에서,학교 뒤편이 우리 집이었거든 그래서 이제 정문으로 가려 하면 우리 집에서
쪼금 가는데 우리는 후문하고 가까워서,쪼금 가는데 우리는 후문하고 가까워서
인자 학교 갈 때 후문으로 다닜거든.,이제 학교 갈 때 후문으로 다녔거든.
그~ 쪼끔만 가면은 학교라서 학교 다닐 때 별로 뭐~,그~ 쪼끔만 가면은 학교라서 학교 다닐 때 별로 뭐~
고생한 것도 없고 초 국민학교도 마찬가지고 중고등학교도,고생한 것도 없고 초 국민학교도 마찬가지고 중고등학교도
뭐~ 가까워갖고 뭐~ 학교 다니면서 막 막 이케 아들하고 같이 뭐~ 또 우리 뭐~ 우리 아들 친구들도 이야기 들어보면은 뭐~,뭐~ 가까워갖고 뭐~ 학교 다니면서 막 막 이렇게 아이들하고 같이 뭐~ 또 우리 뭐~ 우리 애들 친구들도 이야기 들어보면은 뭐~
학교 오면서 가면서 뭐~ 논두랑길 걸어가고 뭐~ 어짜고저짜고 막 이런 이야기 막 하는데,학교 오면서 가면서 뭐~ 논두렁길 걸어가고 뭐~ 어쩌고저쩌고 막 이런 이야기 막 하는데
나는 그런 추억은 별로 없거든.,나는 그런 추억은 별로 없거든.
아~ 참 좋은 데 살았네.,아~ 참 좋은 데 살았네.
