사투리,표준어
결혼 생활 니는 어떻게 생각해?,결혼 생활 너는 어떻게 생각해?
내 주변에 사람들이 전부 다 알다시피 내가 결혼에 되게 부정적이잖아?,내 주변에 사람들이 전부 다 알다시피 내가 결혼에 되게 부정적이잖아?
결혼할 생각도 없고,결혼할 생각도 없고
근데 일단 내가 결혼이 별로 안 좋은 이유는,근데 일단 내가 결혼이 별로 안 좋은 이유는
제도에 묶이는 게 싫어 여자한테 되게 마이너스인 제도고,제도에 묶이는 게 싫어 여자한테 되게 마이너스인 제도고
어쨌든 결혼은 내 일은 아니잖아 내 행복추구와 그런 거와 관련된 거지.,어쨌든 결혼은 내 일은 아니잖아 내 행복추구와 그런 거와 관련된 거지.
그거랑 일이랑 상충하는 게 싫어 난 일에서 오는 행복도 되게 중요하고 내 자신에 행복도 중요한데,그거랑 일이랑 상충하는 게 싫어 난 일에서 오는 행복도 되게 중요하고 내 자신에 행복도 중요한데
보통 결혼을 하게 되면 일과 가정사 가정이면 약간 쫌 주관적인?,보통 결혼을 하게 되면 일과 가정사 가정이면 약간 조금 주관적인?
개인적인 그런 행복이 되게 부딪치게 되잖아.,개인적인 그런 행복이 되게 부딪치게 되잖아.
근데 난 그게 결혼으로 부딪치는 게 되게 껄끄러워,근데 난 그게 결혼으로 부딪치는 게 되게 껄끄러워
결혼은 일단 내 문제가 아니고 나랑 내 배우자의 문제인데 그렇게까지 확장되는 것도 무섭고,결혼은 일단 내 문제가 아니고 나랑 내 배우자의 문제인데 그렇게까지 확장되는 것도 무섭고
그리고 배우자랑 나랑 같이 함께 나가야 되는 거잖아 난 사실 그런,그리고 배우자랑 나랑 같이 함께 나가야 되는 거잖아 난 사실 그런
이인삼각 경주가 사실 별로 자신이 없어.,이인삼각 경주가 사실 별로 자신이 없어.
나는 엄청 결혼에 대해서 긍정적인 편이잖아.,나는 엄청 결혼에 대해서 긍정적인 편이잖아.
근데 나는 내가 진짜 하고 싶은 일이 있어.,근데 나는 내가 진짜 하고 싶은 일이 있어.
그거를 내가 성공해서 지금 직업으로 가지고 있다 이러면은 진짜 결혼을 망설일 수도 있을 거 같단 말이야.,그거를 내가 성공해서 지금 직업으로 가지고 있다 이러면은 진짜 결혼을 망설일 수도 있을 거 같단 말이야.
근데 나는 그게 아닌 이상 있잖아 그냥 난 내걸 다 포기하고 나는 전업주부로 생활해도 상관없을 정도거든?,근데 나는 그게 아닌 이상 있잖아 그냥 난 내걸 다 포기하고 나는 전업주부로 생활해도 상관없을 정도거든?
그 정도로 만약에 내가 결혼한 사람이 그만큼 돈을 벌 수만 있다면 나는 내 꺼를 다 포기할 수 있단 말이야.,그 정도로 만약에 내가 결혼한 사람이 그만큼 돈을 벌 수만 있다면 나는 내 거를 다 포기할 수 있단 말이야.
그래서 그 정도의 생각이 드니까 뭔가 제도에 묶인다 이런 생각이 쪼끔 덜한 것 같애.,그래서 그 정도의 생각이 드니까 뭔가 제도에 묶인다 이런 생각이 쪼끔 덜한 것 같애.
왜냐면은 굳이 그런 제도 묶여도 내가 전업주부면 그렇게 크나큰 영향이 없을 수도 있잖아.,왜냐면은 굳이 그런 제도 묶여도 내가 전업주부면 그렇게 크나큰 영향이 없을 수도 있잖아.
근데 모르겠어 근데 이게 예전에는 이런 생각이 엄청 강해가지고 나는 전업주부도 괜찮구 막 이랬는데,근데 모르겠어 근데 이게 예전에는 이런 생각이 엄청 강해가지고 나는 전업주부도 괜찮구 막 이랬는데
아~ 쫌 몇 년만 지나면은 왠지 진짜 내가 하고 싶은 일이 있을 거란 생각이 들어.,아~ 조금 몇 년만 지나면은 왠지 진짜 내가 하고 싶은 일이 있을 거란 생각이 들어.
그래서 뭔가 결혼생활을 처음에는 그렇게 하면 행복할진 말로도 이게 한 십 년 지나다 보면은,그래서 뭔가 결혼생활을 처음에는 그렇게 하면 행복할진 말로도 이게 한 십 년 지나다 보면은
내가 지금 인지 아니면 그 남편의 아내로 살아가는 건지 이거에 대한 혼란이 엄청 올 거 같애.,내가 지금 인지 아니면 그 남편의 아내로 살아가는 건지 이거에 대한 혼란이 엄청 올 거 같애.
그러다 보면 내가 하고 싶은 거를 하기엔 이미 늦은 나이일 테고 그렇다고 평생 이렇게 살자니 답답해 죽을 꺼고,그러다 보면 내가 하고 싶은 거를 하기엔 이미 늦은 나이일 테고 그렇다고 평생 이렇게 살자니 답답해 죽을 거고
이런 뭐~ 혼란이 있을 수도 있지 않을까 생각을 했어.,이런 뭐~ 혼란이 있을 수도 있지 않을까 생각을 했어.
근데 너는 결혼을 하면은 가정의 행복을 지키고,근데 너는 결혼을 하면은 가정의 행복을 지키고
거기어서 오는 행복이 너도 중요하니까,거기어서 오는 행복이 너도 중요하니까
그래서 너는 뭔가 결혼생활 잘할 꺼 같애.,그래서 너는 뭔가 결혼생활 잘할 거 같애.
그리고 나는 나 혼자 살아갈 자신은 없어.,그리고 나는 나 혼자 살아갈 자신은 없어.
일단 내가 뭔가 친구든 가족이든 누군가한테 의지를 한다는 느낌은 아니란 말이야?,일단 내가 뭔가 친구든 가족이든 누군가한테 의지를 한다는 느낌은 아니란 말이야?
난 내가 생각했을 때 누군가한테 의지를 하는 성격은 아닌 거 같애.,난 내가 생각했을 때 누군가한테 의지를 하는 성격은 아닌 거 같애.
근데 내가 지금 남자친구를 오래 사겼잖아 육 년 칠 년 사귀니까 얘는 뭔가 예외란 말이야?,근데 내가 지금 남자친구를 오래 사겼잖아 육 년 칠 년 사귀니까 얘는 뭔가 예외란 말이야?
나는 가족한테도 진짜 내 속 얘기도 절대 안 하고,나는 가족한테도 진짜 내 속 얘기도 절대 안 하고
너네한테는 속 얘기는 하지만 막 내 힘든 점 있다고 바로 연락해가지구 나 너무 힘들어 나 어떻게 해야 돼 이런 식으로 그런 느낌 아닌 거 같거든?,너네한테는 속 얘기는 하지만 막 내 힘든 점 있다고 바로 연락해가지구 나 너무 힘들어 나 어떻게 해야 돼 이런 식으로 그런 느낌 아닌 거 같거든?
근데 남자친구는 지금 너무 오래 만나서 그런 거일 수도 있지만 그냥 필터링이 안 거쳐져.,근데 남자친구는 지금 너무 오래 만나서 그런 거일 수도 있지만 그냥 필터링이 안 거쳐져.
그냥 내가 생각이 나면 그냥 바로 말하게 되고,그냥 내가 생각이 나면 그냥 바로 말하게 되고
내가 있는 그대로를 다 표현하고 그거를 받아주니까 더 긍정적으로 내가 생각이 변화하게 되는 그런 것도 있어.,내가 있는 그대로를 다 표현하고 그거를 받아주니까 더 긍정적으로 내가 생각이 변화하게 되는 그런 것도 있어.
완전한 니 편이라는 그런 생각이 안정감을 준다는 거지?,완전한 네 편이라는 그런 생각이 안정감을 준다는 거지?
세상에서 내가 뭘 해도 내 편이 돼주는 사람이 있다는 게 엄청 좋은 거지?,세상에서 내가 뭘 해도 내 편이 돼주는 사람이 있다는 게 엄청 좋은 거지?
그리고 또 예를 들어서 사소하게라도,그리고 또 예를 들어서 사소하게라도
밤에 어두운데 길 걷는 게 무섭잖아.,밤에 어두운데 길 걷는 게 무섭잖아.
그러면은 친구들한테 매번 전화해가지고 막 매일 알바 끝나고 무서운데 전화해서 나 무서우니까 전화해줘 이렇게 하는 거나,그러면은 친구들한테 매번 전화해가지고 막 매일 알바 끝나고 무서운데 전화해서 나 무서우니까 전화해줘 이렇게 하는 거나
남자친구한테 전화해서 나 무서우니까 전화해줘 이러는 거랑 다르잖아.,남자친구한테 전화해서 나 무서우니까 전화해줘 이러는 거랑 다르잖아.
친구들은 혹시라도 얘네가 일이 있을 수도 있고 그걸 매일 받아줄 사람도 거의 없을 거고,친구들은 혹시라도 얘네가 일이 있을 수도 있고 그걸 매일 받아줄 사람도 거의 없을 거고
근데 남자친구는 그냥 얘는 내 남자친구니까 내가 전화하면 되지 당연히 해줘야 되는 그 정도는 해줄 수 있는 거 아니야 이 생각 들어서 그냥 막 하게 되구,근데 남자친구는 그냥 얘는 내 남자친구니까 내가 전화하면 되지 당연히 해줘야 되는 그 정도는 해줄 수 있는 거 아니야 이 생각 들어서 그냥 막 하게 되구
굳이 뭐~ 불편은 없구,굳이 뭐~ 불편은 없구
나는 그런 사소한 거라면 사소한 거지만 그런 거에 있어서도 뭔가 내 옆에는 사람이 필요한 듯 한 생각이 들어.,나는 그런 사소한 거라면 사소한 거지만 그런 거에 있어서도 뭔가 내 옆에는 사람이 필요한 듯 한 생각이 들어.
난 아까 너가 말한 것처럼 무슨 일 있을 때마다 연락하고 뭐~ 힘들 때마다 연락하고 그런,난 아까 너가 말한 것처럼 무슨 일 있을 때마다 연락하고 뭐~ 힘들 때마다 연락하고 그런
게 근데 난 그런 거 자체가 나한테 되게 어려운 거 같애.,게 근데 난 그런 거 자체가 나한테 되게 어려운 거 같애.
나는 나 아니면 다 남이거든?,나는 나 아니면 다 남이거든?
나는 그게 모든 사람한테 적용돼 가족까지도,나는 그게 모든 사람한테 적용돼 가족까지도
나는 항상 나를 알 수 있고 나를 허용해줄 수 있는 사람은 나밖에 없다고 생각을 해.,나는 항상 나를 알 수 있고 나를 허용해줄 수 있는 사람은 나밖에 없다고 생각을 해.
사실 연인 간에 다툼도 이 사람을 어디까지 받아주고 이해하고 그런 거에 문제잖아 근데 난 그런 거에 있어서 항상 방어적이란 말이야.,사실 연인 간에 다툼도 이 사람을 어디까지 받아주고 이해하고 그런 거에 문제잖아 근데 난 그런 거에 있어서 항상 방어적이란 말이야.
내가 만약에 이렇게까지 요구해도 될까라는 생각이 엄청 방어적이야.,내가 만약에 이렇게까지 요구해도 될까라는 생각이 엄청 방어적이야.
그래서 나 약간 내가 잘 못 기대는 그런 스타일이라서,그래서 나 약간 내가 잘 못 기대는 그런 스타일이라서
그래서 나는 결혼에 안정감에 해답을 못 찾는 거 같아.,그래서 나는 결혼에 안정감에 해답을 못 찾는 거 같아.
결혼이 참 그렇지 그리고 뭔가 내가 어렸을 때는 결혼이라는 것은,결혼이 참 그렇지 그리고 뭔가 내가 어렸을 때는 결혼이라는 것은
상대방을 서로 좋아하면은 결혼하는 거지라고 생각을 했는데,상대방을 서로 좋아하면은 결혼하는 거지라고 생각을 했는데
지금 생각해보면은 이게 개인과 개인의 만남이 아니라 모든 상황과 상황의 만남이라서,지금 생각해보면은 이게 개인과 개인의 만남이 아니라 모든 상황과 상황의 만남이라서
