사투리,표준어
혹시 제일 최근 연애가 언제세요?,혹시 제일 최근 연애가 언제세요?
제일 최근 연애는 지금도 하고 있습니다.,제일 최근 연애는 지금도 하고 있습니다.
최근 연애가 언제세요?,최근 연애가 언제세요?
어 저는 마지막 연애가 일 년 전?,어 저는 마지막 연애가 일 년 전?
작년 팔월에 이제 헤어졌었거든요.,작년 팔월에 이제 헤어졌었거든요.
어 시 그럼 이제 지금 여자친구랑 지금  만나고 계시는 거면 지금 얼마나 만나신 거예요 지금?,어 시 그럼 이제 지금 여자친구랑 지금  만나고 계시는 거면 지금 얼마나 만나신 거예요 지금?
저는 지금 여자친구랑 이백 일 정도 됐구요.,저는 지금 여자친구랑 이백 일 정도 됐구요.
연애 중에 그러면 제일 쫌 오래 사귄 거는 며칠 정도 되는 거예요?,연애 중에 그러면 제일 조금 오래 사귄 거는 며칠 정도 되는 거예요?
제가 스무 살 때 이게 그 친구를 만나서 스물세 살?,제가 스무 살 때 이게 그 친구를 만나서 스물세 살?
군대 전역하고 이제까지 만나고 한 삼 년 삼 년 만났던 게 제일 길었던 것 같애요 이제,군대 전역하고 이제까지 만나고 한 삼 년 삼 년 만났던 게 제일 길었던 것 같애요 이제
그 친구가 군대를 기다려줘 가지고 이게 쫌 시간이 길어졌죠 어떻게 보면,그 친구가 군대를 기다려줘 가지고 이게 조금 시간이 길어졌죠 어떻게 보면
아무튼 전 그래서 삼 년이 짐 좀 제일 길었어요 혹시 그러면 이제 제일 오래 사겼던 기 연애 기간이  얼마큼 되는 거예요?,아무튼 전 그래서 삼 년이 짐 좀 제일 길었어요 혹시 그러면 이제 제일 오래 사귀었던 기 연애 기간이  얼마큼 되는 거예요?
저는 연애 경험이 쫌 없는 편이에요 근데 이제 제일 오래 사귄 거는,저는 연애 경험이 조금 없는 편이에요 근데 이제 제일 오래 사귄 거는
일 년 정도 사겼구요 근데 이제,일 년 정도 사귀었구요 근데 이제
여자친구가 이제 곧 생기실 텐데 혹시 이상형은 어떻게 되세요?,여자친구가 이제 곧 생기실 텐데 혹시 이상형은 어떻게 되세요?
어 저는 약간 이상형이 연예인으로 치면 악동뮤지션 이수현이라고,어 저는 약간 이상형이 연예인으로 치면 악동뮤지션 이수현이라고
있거든요 그 악동뮤지션 동생 전 약간  그렇게 생긴 스타일이 좋더라구요 저는,있거든요 그 악동뮤지션 동생 전 약간  그렇게 생긴 스타일이 좋더라구요 저는
약간 성격이라던가 어 시 뭐 외형이라던가 약간 거기서,약간 성격이라던가 어 시 뭐 외형이라던가 약간 거기서
저는  이상형이 이수현이에요 혹시 그러면 이상형이 어떻게 되세요?,저는  이상형이 이수현이에요 혹시 그러면 이상형이 어떻게 되세요?
저는 이상형이 그 얼굴로 따지면은 근데 보면은 제가 딱,저는 이상형이 그 얼굴로 따지면은 근데 보면은 제가 딱
어 쫌 이쁘다 약간,어 조금 이쁘다 약간
얼굴은 제가 막 눈이 커야 되고 막 입이 뭐 작아야 되고 막 코가 작아야 되고 그런 건 없구요 그냥 딱 봤을 때,얼굴은 제가 막 눈이 커야 되고 막 입이 뭐 작아야 되고 막 코가 작아야 되고 그런 건 없구요 그냥 딱 봤을 때
내가 어 이쁘다 이거는 얼굴에 대한 이상형은 이건데,내가 어 이쁘다 이거는 얼굴에 대한 이상형은 이건데
최근에 제일 최근에 한  알아낸 거는 약간 웃는 게 이쁜 여자가 전 좋더라구요.,최근에 제일 최근에 한  알아낸 거는 약간 웃는 게 이쁜 여자가 전 좋더라구요.
근데 웃는 게 예쁜 여자가 뭐 연예인 중엔 또,근데 웃는 게 예쁜 여자가 뭐 연예인 중엔 또
얼굴만 따지는 게 아니라 쫌 매력적인 막,얼굴만 따지는 게 아니라 조금 매력적인 막
약간 아이즈원,약간 아이즈원
