사투리,표준어
어~  님 혹시 지금,어~  님 혹시 지금
어~ 코로나 때문에 다들 밖에 못 나가고 있는데,어~ 코로나 때문에 다들 밖에 못 나가고 있는데
님도 집에 많이 오랜 시간 계실 것 같은데,님도 집에 많이 오랜 시간 계실 것 같은데
집에 있으면서 운동하고 계시나요?,집에 있으면서 운동하고 계시나요?
어~ 네 저는 예전에,어~ 네 저는 예전에
운동을 거의 안 했었는데,운동을 거의 안 했었는데
요즘에는 또 집에 쫌 오래,요즘에는 또 집에 조금 오래
집에 있는 시간이 오래 있고 오래되고 이러다 보니까,집에 있는 시간이 오래 있고 오래되고 이러다 보니까
몸도 찌뿌둥해지고 이래서 저도,몸도 찌뿌둥해지고 이래서 저도
어 홈트레이닝을 시작하게 되었어요.,어 홈트레이닝을 시작하게 되었어요.
그~ 유튜브 영상 같은 거 보면서 어 하루에 한두 시간 정도,그~ 유튜브 영상 같은 거 보면서 어 하루에 한두 시간 정도
이렇게 투자해서 하고 있는데,이렇게 투자해서 하고 있는데
어~ 운동을 시작하고 난 뒤로 몸이 쫌,어~ 운동을 시작하고 난 뒤로 몸이 조금
개운해 지는 느낌이 들고,개운해 지는 느낌이 들고
어~ 쫌 더 가벼워지는 느낌이 들더라고요.,어~ 조금 더 가벼워지는 느낌이 들더라고요.
그래서 운동하기 정말 잘했다는 생각이 들었어요.,그래서 운동하기 정말 잘했다는 생각이 들었어요.
어~ 혹시  님도,어~ 혹시  님도
요즘 운동을 하고 계시나요?,요즘 운동을 하고 계시나요?
저도 집에만 있는 시간이 많다 보니까,저도 집에만 있는 시간이 많다 보니까
거 어~ 집에 있으면서 운동을 계속 안 하고 지냈는데,거 어~ 집에 있으면서 운동을 계속 안 하고 지냈는데
어느 날 친구들이랑 이렇게 만나 가지구,어느 날 친구들이랑 이렇게 만나 가지구
쫌 오르막길을 걷게 됐는데,조금 오르막길을 걷게 됐는데
만 보도 안 걸었는데 무릎이 너무 쑤시더라고요.,만 보도 안 걸었는데 무릎이 너무 쑤시더라고요.
그래 가지구 그때부터 아~ 이제는 진짜 운동을,그래 가지구 그때부터 아~ 이제는 진짜 운동을
안 하면 안 되겠구나 싶어 가지고,안 하면 안 되겠구나 싶어 가지고
저도 이제 운동 시작한지 한 달 그래서,저도 이제 운동 시작한지 한 달 그래서
어디 나 헬스장에 갈려고 하니까 또 어~,어디 나 헬스장에 갈려고 하니까 또 어~
이 점 몇 단계 이래 가지구 못 열고 이래서 집에서 저도,이 점 몇 단계 이래 가지구 못 열고 이래서 집에서 저도
유튜브 보면서 홈트레이닝으로 운동을 한 한 달째 하고 있는데,유튜브 보면서 홈트레이닝으로 운동을 한 한 달째 하고 있는데
생각보다 처음에는 쪼끔,생각보다 처음에는 쪼끔
이게 근육통이라고 해야 되나 쫌 많이 뻐근했는데,이게 근육통이라고 해야 되나 조금 많이 뻐근했는데
이제 점점 시간 지나니까 쫌 적응이 돼 가지고,이제 점점 시간 지나니까 조금 적응이 돼 가지고
이제 오 스스로도 건강하구나 이런 거를 많이 느끼게 되더라고요.,이제 오 스스로도 건강하구나 이런 거를 많이 느끼게 되더라고요.
그러면  님은 혹시,그러면  님은 혹시
운동 중에 어떤 게 제일 힘드세요?,운동 중에 어떤 게 제일 힘드세요?
어~ 저는 저는 유산소 운동도 해 보고,어~ 저는 저는 유산소 운동도 해 보고
어~ 근력 운동도 해 보고 집에,어~ 근력 운동도 해 보고 집에
턱걸이 운동 기구도 사놔 가지고 그것도 해 봤는데,턱걸이 운동 기구도 사놔 가지고 그것도 해 봤는데
어~ 제일 몸이 힘들었던 운동은,어~ 제일 몸이 힘들었던 운동은
요즘 제가 하고 있는 버피 테스트 백 개 챌린지,요즘 제가 하고 있는 버피 테스트 백 개 챌린지
그게 제일,그게 제일
어~ 해 봤던 운동 중에 제일 힘든 것 같애요.,어~ 해 봤던 운동 중에 제일 힘든 것 같애요.
처음에는 어~ 구 초에 한 번씩,처음에는 어~ 구 초에 한 번씩
이렇게 하는 걸로 시작을 했었는데 지금은,이렇게 하는 걸로 시작을 했었는데 지금은
육 초에 한 번씩 하는 걸로 많이 쭐어들었거든요.,육 초에 한 번씩 하는 걸로 많이 줄어들었거든요.
근데 그거를 처음 했을 때는,근데 그거를 처음 했을 때는
진짜 다 하고 난 뒤에,진짜 다 하고 난 뒤에
쏙에서 이게,속에서 이게
아까 먹었던 게 막 올라올려고 할 정도로,아까 먹었던 게 막 올라올려고 할 정도로
너무  힘들어 가지구 그다음 날도 할 수 있을까 했는데,너무  힘들어 가지구 그다음 날도 할 수 있을까 했는데
어~ 그다음 날 되니까,어~ 그다음 날 되니까
몸이 너무 근육통이 심하게 오더라고요 그래서,몸이 너무 근육통이 심하게 오더라고요 그래서
그다음 날은 못 했고 그다음 다음 날에 했었는데,그다음 날은 못 했고 그다음 다음 날에 했었는데
그때부터 하니까 몸이 쪼끔씩 안정되는 게 느껴져서,그때부터 하니까 몸이 쪼끔씩 안정되는 게 느껴져서
어~ 차례차례 하다 보니까,어~ 차례차례 하다 보니까
시간이 점점 쭐어서 지금은 육 초에 한 번씩 하는 걸로 됐어요 다음에는,시간이 점점 줄어서 지금은 육 초에 한 번씩 하는 걸로 됐어요 다음에는
쫌 더 쭐어서 한 사 초에 한 번씩 하는 걸로,조금 더 줄어서 한 사 초에 한 번씩 하는 걸로
해 볼까 하고 목표를 잡고 있어요.,해 볼까 하고 목표를 잡고 있어요.
어~  님 혹시 했던 운동 중에,어~  님 혹시 했던 운동 중에
가장 힘들었던 운동이 어떤 게 있으신가요?,가장 힘들었던 운동이 어떤 게 있으신가요?
저는 딱히 많은 운동을 해 보지 않아서,저는 딱히 많은 운동을 해 보지 않아서
음~ 어떤 게 제일 힘들었다 이렇게 딱 꼽을 순 없는데,음~ 어떤 게 제일 힘들었다 이렇게 딱 꼽을 순 없는데
저도 요즘하고 있는 것 중에는 버피 테스트가 진짜 진짜 힘든 것 같애요.,저도 요즘하고 있는 것 중에는 버피 테스트가 진짜 진짜 힘든 것 같애요.
그 운동도 루틴이라는 게 이케 있잖아요.,그 운동도 루틴이라는 게 이렇게 있잖아요.
그래서 이제 젤 마지막에 타바타 운동을 하고 끝내는데,그래서 이제 젤 마지막에 타바타 운동을 하고 끝내는데
그 타바타 운동 제일 마지막에 하필이면 또,그 타바타 운동 제일 마지막에 하필이면 또
슬 어 그 버피 테스트가 있어 가지구 그걸 하고 나면 진짜,슬 어 그 버피 테스트가 있어 가지구 그걸 하고 나면 진짜
당장 드러눕고 싶을 정도로,당장 드러눕고 싶을 정도로
너무 숨이 많이 차고 힘들더라고요 이게,너무 숨이 많이 차고 힘들더라고요 이게
유산소 운동이라고 들었 되게 좋은 운동이라고는 알고 있는데,유산소 운동이라고 들었 되게 좋은 운동이라고는 알고 있는데
아~ 진짜 하고 나니깐 이거를,아~ 진짜 하고 나니깐 이거를
할려구 이 앞에 다른 타바타 운동을 했구나 이거를 위해서 기초를 쌓은 거구나 싶을 정도로 진짜 너무 힘들더라고요.,할려구 이 앞에 다른 타바타 운동을 했구나 이거를 위해서 기초를 쌓은 거구나 싶을 정도로 진짜 너무 힘들더라고요.
그래서 지금도 컨디션 쪼금 안 좋으면은,그래서 지금도 컨디션 쪼금 안 좋으면은
그 운동은 빼고 다른 운동 하고 있는 것 같애요.,그 운동은 빼고 다른 운동 하고 있는 것 같애요.
님은,님은
어~ 말 몸무게가 제일 많이 나가게 됐을 때,어~ 말 몸무게가 제일 많이 나가게 됐을 때
뭐 땜에 많이 찌셨는지?,뭐 때문에 많이 찌셨는지?
그리구,그리구
뭐~ 지금 살이 빠지셨다면 어떻게 빠지셨는지 궁금한데요.,뭐~ 지금 살이 빠지셨다면 어떻게 빠지셨는지 궁금한데요.
어~ 제가 제일 많이 쪘을 때는,어~ 제가 제일 많이 쪘을 때는
어~ 군대 가기 전이었던 것 같은데 그때,어~ 군대 가기 전이었던 것 같은데 그때
입대를 한다는 마음에 너무 스트레스를 받아서 막,입대를 한다는 마음에 너무 스트레스를 받아서 막
이것저것 맛있는 것만 찾아서 먹고 하다 보니,이것저것 맛있는 것만 찾아서 먹고 하다 보니
그~ 먹고 나서 운동도 잘 안 하고,그~ 먹고 나서 운동도 잘 안 하고
잘 움직이지도 않아서 그때 쫌,잘 움직이지도 않아서 그때 조금
몸이 확 뿔어 가지고 입대를 하게 됐었는데,몸이 확 뿔어 가지고 입대를 하게 됐었는데
그때,그때
어~ 보통 몸무게 평균 몸무게에서 한 십 키로 정도 더 쪘던 것 같애요.,어~ 보통 몸무게 평균 몸무게에서 한 십 키로 정도 더 쪘던 것 같애요.
그러고 한 훈련소 한 달 지내면서,그러고 한 훈련소 한 달 지내면서
그~ 쪘던 게 다시 쏙 빠져 가지고 다시 다행히도,그~ 쪘던 게 다시 쏙 빠져 가지고 다시 다행히도
평균 몸무게로 돌아오긴 했었는데,평균 몸무게로 돌아오긴 했었는데
그때 제일 많이 쪘었고,그때 제일 많이 쪘었고
