사투리,표준어
요새 뭐 무슨 일 없나 무슨 일 있어 보이는데?,요새 뭐 무슨 일 없어 무슨 일 있어 보이는데?
아니 그게 아니라 그 동아리에 남자 선배가 있거든.,아니 그게 아니라 그 동아리에 남자 선배가 있거든.
눈에 밟혀 계속,눈에 밟혀 계속
맞나 계속 얘기해 봐.,진짜 계속 얘기해 봐.
그래가지고 그 선배한테 여자친구가 있는지 잘 모르겠다.,그래가지고 그 선배한테 여자친구가 있는지 잘 모르겠다.
어떻게 연락해야 되지 연락을 해야 하나?,어떻게 연락해야 되지 연락을 해야 하나?
여자친구 있는지 없는지 잘 몰라가지고 연락하기가 힘든 거가?,여자친구 있는지 없는지 잘 몰라가지고 연락하기가 힘든 거야?
지금 학교도 잘 안 나가고 있어서,지금 학교도 잘 안 나가고 있어서
그 사람에 대한 정보를 알기가 너무 어렵다.,그 사람에 대한 정보를 알기가 너무 어렵다.
그 사람은 니한테 어때 보여 쫌 마음이 있는 거 같애 보여?,그 사람은 너한테 어때 보여 조금 마음이 있는 거 같애 보여?
날 좋아하는 거 같어 주변에서도,날 좋아하는 거 같아 주변에서도
니 좋아하는 거 아이가 니 좋아하는 거 아이가 약간 이렇기는 하는데 나는 잘 모르겠다.,너 좋아하는 거 아니야 너 좋아하는 거 아니야 약간 이렇기는 하는데 나는 잘 모르겠다.
그 사람이 마음이 있었으면 니한테 먼저 연락했지 않았을까?,그 사람이 마음이 있었으면 너한테 먼저 연락했지 않았을까?
그런가 그 사람도 나랑 똑같은 고민하고 있는 거 아이가,그런가 그 사람도 나랑 똑같은 고민하고 있는 거 아니야
그거는 잘 모르겠고 어떤 표현이라도 했었을 거 같은데?,그거는 잘 모르겠고 어떤 표현이라도 했었을 거 같은데?
안 그래도 그 사람이 옆에서 계속 도와주거든 뭐 족보도 갖다 주고,안 그래도 그 사람이 옆에서 계속 도와주거든 뭐 족보도 갖다 주고
그 가끔씩 기프티콘도 하나씩 주긴 하는데,그 가끔씩 기프티콘도 하나씩 주긴 하는데
기프티콘을 보내준다고?,기프티콘을 보내준다고?
그냥 약간 좀 츤데레처럼,그냥 약간 좀 츤데레처럼
그냥 하나씩 툭툭 먹으라면서 주고 그러긴 하거든,그냥 하나씩 툭툭 먹으라면서 주고 그러긴 하거든
원래 성격이 그런 거 아이가?,원래 성격이 그런 거 아니야?
그래서 내가 옆에 그 같은 동아리 친구들한테 물어봤거든,그래서 내가 옆에 그 같은 동아리 친구들한테 물어봤거든
물어보니까 자기들한테는 그런 거 안 준대.,물어보니까 자기들한테는 그런 거 안 준대.
그냥 아무 연락도 없고 우리가 먼저 연락해서 물어보면,그냥 아무 연락도 없고 우리가 먼저 연락해서 물어보면
단답형으로 그냥 대답한다던데?,단답형으로 그냥 대답한다던데?
그럼 니한테만 그런 거야?,그럼 너한테만 그런 거야?
그런가봐 물어 보니까 그런 거 같더라 니랑 이렇게 얘기해 보니까,그런가봐 물어 보니까 그런 거 같더라 너랑 이렇게 얘기해 보니까
그 선배도 나 관심 있는 거 같애.,그 선배도 나 관심 있는 거 같애.
맞나 그럼 니가 이번에 연락 먼저 해봐 받아줄 수도 있다 아이가.,진짜 그럼 니가 이번에 연락 먼저 해봐 받아줄 수도 있지 않니.
내가 먼저 연락하면 그 사람이 좀 부담스러워할까 봐 선뜻 용기가 안난다.,내가 먼저 연락하면 그 사람이 좀 부담스러워할까 봐 선뜻 용기가 안난다.
그래도 너무 불편한 사이보다 먼저 해보는 게 또 낫다 아이가.,그래도 너무 불편한 사이보다 먼저 해보는 게 또 낫지 않니.
내가 먼저 연락 해볼까 그러면?,내가 먼저 연락 해볼까 그러면?
너무 부담스럽지 않게 좀 자연스럽게 할 수 있는 방법 없을라나,너무 부담스럽지 않게 좀 자연스럽게 할 수 있는 방법 없을까
아니면 그냥 내가 먼저 말할까 좋아한다고?,아니면 그냥 내가 먼저 말할까 좋아한다고?
아니면 그 선배가 먼저 좋아한다고 말하게 유도를 할까?,아니면 그 선배가 먼저 좋아한다고 말하게 유도를 할까?
일단 둘 다 마음의 상태가 확인이 된 게 아니니까,일단 둘 다 마음의 상태가 확인이 된 게 아니니까
밥 한 끼 먹자고 보내보던가 어때?,밥 한 끼 먹자고 보내보던가 어때?
선배 다음에 나랑 같이 뭐 동아리 끝나고 점심 먹어요?,선배 다음에 나랑 같이 뭐 동아리 끝나고 점심 먹어요?
아니면 끝나고 술 한 잔 먹어요 괜찮은 거 같애.,아니면 끝나고 술 한 잔 먹어요 괜찮은 거 같애.
하고 잘 되면 내가 니한테 맛있는 거 쏠게.,하고 잘 되면 내가 너한테 맛있는 거 쏠게.
좋은데 알았다.,좋은데 알았다.
니는 요새 뭐 남자친구랑 뭐 없나?,너는 요새 뭐 남자친구랑 뭐 없어?
남자친구랑 뭐 있는 건 아닌데 요새 연락이 좀 뜸하긴 하네.,남자친구랑 뭐 있는 건 아닌데 요새 연락이 좀 뜸하긴 하네.
뜸하다고 왜?,뜸하다고 왜?
요즘 남자친구가 일한다고 많이 바쁜데 연락이 잘 안 되네.,요즘 남자친구가 일한다고 많이 바쁜데 연락이 잘 안 되네.
니가 먼저 연락 해봤어?,니가 먼저 연락 해봤어?
나는 늘 하지.,나는 늘 하지.
근데 답장이 없는 거야?,근데 답장이 없는 거야?
늘 쫌 늦더라고.,늘 조금 늦더라고.
왜 계속 연락 한 번 해보지 일하는 거 맞나?,왜 계속 연락 한 번 해보지 일하는 거 맞아?
그래서 나도 의심해가지고 한 번 그거 때문에 싸웠던 적이 있는데,그래서 나도 의심해가지고 한 번 그거 때문에 싸웠던 적이 있는데
이게 좀 안 고쳐지나봐.,이게 좀 안 고쳐지나봐.
일 때문에 연락 안 되는 건 맞나?,일 때문에 연락 안 되는 건 맞아?
앞에 싸우고 난 후에도 일 땜에 그런 거 맞는데,앞에 싸우고 난 후에도 일 땜에 그런 거 맞는데
원래 표현 자체도 좀 서툰 사람이고 연락 수도 좀 늘었긴 해 평소보다 그 사람이,원래 표현 자체도 좀 서툰 사람이고 연락 수도 좀 늘었긴 해 평소보다 그 사람이
그러면 다행이다 야 무작정 의심하는 거 보다는 그래도 조금 진전이 있으니까,그러면 다행이다 야 무작정 의심하는 거 보다는 그래도 조금 진전이 있으니까
그래 앞에 한번 싸워봐서 알긴 아는데,그래 앞에 한번 싸워봐서 알긴 아는데
바쁜 시기긴 해 근데 지금 그래도 서운한 건 서운한 거다 아이가.,바쁜 시기긴 해 근데 지금 그래도 서운한 건 서운한 거지 않니.
서운하다고 말은 해봤나?,서운하다고 말은 해봤어?
말은 하지 매번,말은 하지 매번
그럼 그 사람이 뭐래?,그럼 그 사람이 뭐래?
미안하다고 신경써주겠다고 얘기하는데 잘 안되나봐.,미안하다고 신경써주겠다고 얘기하는데 잘 안되나봐.
거기 일이 진짜 바쁘긴 바쁜가보다 그라면,거기 일이 진짜 바쁘긴 바쁜가보다 그러면
우리가 좀 거리가 있다 보니까 할 수 있는 방법이 연락밖에 없는데,우리가 좀 거리가 있다 보니까 할 수 있는 방법이 연락밖에 없는데
아니면 내가 쪼끔 불안하지,아니면 내가 조금 불안하지
그래 이게 매일 보는 거랑 또 연락만 하는 거랑 또 다르지,그래 이게 매일 보는 거랑 또 연락만 하는 거랑 또 다르지
매일 보면 그래도,매일 보면 그래도
얼굴이 보이니까 아 이사람이 그래도 어제는 괜찮았구나 어제는 그게 진짜 맞았구나 하는데,얼굴이 보이니까 아 이사람이 그래도 어제는 괜찮았구나 어제는 그게 진짜 맞았구나 하는데
안 보이니까 의심은 의심대로 늘어가고,안 보이니까 의심은 의심대로 늘어가고
그래 내가 진짜 일을 하고 있는지 안 하고 있는지,그래 내가 진짜 일을 하고 있는지 안 하고 있는지
