사투리,표준어
엄마 있잖아.,엄마 있잖아.
올해 이제  지났으니까 여름 휴가 계획 한 번 잡아볼려고 하는데,올해 이제  지났으니까 여름 휴가 계획 한 번 잡아보려고 하는데
어디가 좋을까?,어디가 좋을까?
어디가 좋겠노 우리 어지간한 데는 마이 마이 가 봤잖아.,어디가 좋겠니 우리 어지간한 데는 많이 많이 가 봤잖아.
그래가지구 안 그래도 뭐~  이래 저래 다 얘기를 한 번 해 볼려고 하는데 일단은 엄마랑 먼저 얘기를 해 보고,그래가지구 안 그래도 뭐~  이래 저래 다 얘기를 한 번 해 보려고 하는데 일단은 엄마랑 먼저 얘기를 해 보고
얘기를 해 달라고 해 가지구,얘기를 해 달라고 해 가지구
느그 가는 데 따라가지마는 그래도,너희 가는 데 따라가지마는 그래도
꼬맹이들 데리고 가니까 너무 그 안 데를 몬 가고,꼬맹이들 데리고 가니까 너무 그 안 데를 못 가고
쫌 시원하고 뭐~ 좋은 데 이런 데 가야 안 되겠나.,조금 시원하고 뭐~ 좋은 데 이런 데 가야 안 되겠니.
그러면 엄마 우리,그러면 엄마 우리
일단은 경북 쪽으로,일단은 경북 쪽으로
애기가 너무 어리니까 이도 그렇고 이도 그렇고 너무 어리니까 경북 쪽으로 가야 되잖아.,애기가 너무 어리니까 이도 그렇고 이도 그렇고 너무 어리니까 경북 쪽으로 가야 되잖아.
바닷가 쪽으로 아예 애들 어려가지고 몬 간다 위험해서,바닷가 쪽으로 아예 애들 어려가지고 못 간다 위험해서
그럼 어디로 예약하라고,그럼 어디로 예약하라고
이 자체가 이제,이 자체가 이제
이월 달 중순 지났으니까 보통 이거 펜션이나 이런 거 예약을,이월 달 중순 지났으니까 보통 이거 펜션이나 이런 거 예약을
한 육월 정도 오월 육월 정도 추첨해가지고 하거든.,한 육월 정도 오월 육월 정도 추첨해가지고 하거든.
우리 저~ 손자 데리고 가는데,우리 저~ 손자 데리고 가는데
쫌 넓고 좋은 데 가야 안 되겠나.,조금 넓고 좋은 데 가야 안 되겠니.
시원하고,시원하고
근데 엄마 그게,근데 엄마 그게
올케 같은 경우에는 우리가 갔던 데를 안 갔잖아 안 가봤기 때문에,올케 같은 경우에는 우리가 갔던 데를 안 갔잖아 안 가봤기 때문에
다시 가 봐야 되나 애기 데리고 이렇게,다시 가 봐야 되나 애기 데리고 이렇게
다시 가면 싫어하겠제 이랑 이랑 언니랑,다시 가면 싫어하겠지 이랑 이랑 언니랑
갔던 데 가믄 아들 싫어 안 하겠나.,갔던 데 가면 아이들 싫어 안 하겠지.
보니까 우리 여행 이제 갔던 여름 휴가 갔던 데가 죽 보니까 뭐~ 경주 가 가지구,보니까 우리 여행 이제 갔던 여름 휴가 갔던 데가 죽 보니까 뭐~ 경주 가 가지구
